date,open,high,low,close,volume
2015-02-13,28.77,29.07,28.66,28.78,80571
2015-02-17,29.07,29.08,28.53,28.94,61882
2015-02-18,28.9,28.9,28.58,28.68,78362
2015-02-19,28.31,28.74,28.19,28.69,178459
2015-02-20,28.8,29.02,28.64,29.02,296968
2015-02-23,28.7,28.88,28.52,28.57,86304
2015-02-24,28.76,28.91,28.52,28.56,46251
2015-02-25,28.69,29.05,28.69,28.85,110731
2015-02-26,28.22,28.22,27.85,27.94,79915
2015-02-27,27.92,28.22,27.76,28.22,68824
2015-03-02,28.06,28.15,27.75,27.81,85791
2015-03-03,27.75,28.07,27.75,28.05,36919
2015-03-04,28.12,28.12,27.76,27.91,36180
2015-03-05,27.94,28.22,27.89,28.0,62692
2015-03-06,27.66,27.86,27.36,27.53,44267
2015-03-09,27.64,27.64,26.99,27.06,92359
2015-03-10,26.94,27.19,26.59,27.01,118350
2015-03-11,27.05,27.05,26.5,26.55,124599
2015-03-12,26.65,26.68,26.44,26.48,72673
2015-03-13,26.36,26.37,26.08,26.32,241663
2015-03-16,26.36,26.36,25.84,26.19,88037
2015-03-17,25.95,26.44,25.91,26.2,46305
2015-03-18,25.96,27.03,25.95,26.85,491409
2015-03-19,26.67,26.67,26.44,26.57,36771
2015-03-20,26.84,26.85,26.71,26.74,23734
2015-03-23,26.89,27.47,26.76,27.27,110173
2015-03-24,27.35,27.35,26.83,26.86,107447
2015-03-25,27.08,27.1,26.87,26.95,39369
2015-03-26,27.16,27.16,26.89,26.99,34982
2015-03-27,26.83,27.12,26.73,26.87,44499
2015-03-30,27.12,27.12,26.96,27.1,88249
2015-03-31,27.07,27.34,26.95,27.02,79908
2015-04-01,27.1,27.26,26.95,26.95,24657
2015-04-02,26.95,27.22,26.95,27.13,66781
2015-04-06,27.01,27.34,27.01,27.25,89807
2015-04-07,27.32,27.69,27.12,27.4,48132
2015-04-08,27.5,27.5,27.22,27.33,36483
2015-04-09,27.4,27.45,27.29,27.42,51212
2015-04-10,27.33,27.62,27.33,27.59,40289
2015-04-13,27.51,27.62,27.38,27.39,65409
2015-04-14,27.55,27.84,27.5,27.67,39146
2015-04-15,27.84,28.11,27.77,28.01,35467
2015-04-16,27.91,28.15,27.9,28.13,37044
2015-04-17,27.89,28.14,27.82,27.89,71089
2015-04-20,28.03,28.19,27.95,28.01,46386
2015-04-21,28.21,28.21,27.83,27.91,37916
2015-04-22,28.0,28.05,27.77,27.99,28942
2015-04-23,28.05,28.1,27.95,28.06,64732
2015-04-24,28.16,28.19,28.04,28.19,33759
2015-04-27,28.15,28.3,28.08,28.08,45185
2015-04-28,28.13,28.16,27.99,28.07,68998
2015-04-29,28.08,28.59,27.98,28.46,692978
2015-04-30,28.51,28.79,28.46,28.58,109131
2015-05-01,28.72,28.86,28.62,28.69,36215
2015-05-04,28.8,28.86,28.6,28.61,37878
2015-05-05,28.8,28.85,28.57,28.68,19479
2015-05-06,28.72,28.9,28.22,28.34,52892
2015-05-07,28.2,28.2,27.83,27.89,9753
2015-05-08,27.94,28.17,27.91,28.1,22083
2015-05-11,28.0,28.02,27.8,27.85,94676
2015-05-12,27.71,28.07,27.7,28.0,55868
2015-05-13,28.6,28.6,28.13,28.33,30374
2015-05-14,28.5,28.54,28.38,28.45,367617
2015-05-15,28.57,28.57,28.25,28.42,31775
2015-05-18,28.4,28.63,28.21,28.6,44580
2015-05-19,28.54,28.54,28.29,28.41,12409
2015-05-20,28.32,28.32,28.21,28.28,50949
2015-05-21,28.26,28.34,28.19,28.31,24046
2015-05-22,28.25,28.45,28.2,28.42,43766
2015-05-26,28.38,28.38,27.94,28.09,86451
2015-05-27,27.62,27.82,27.56,27.71,36603
2015-05-28,27.47,27.6,27.27,27.38,28402
2015-05-29,27.56,27.58,27.21,27.27,36333
2015-06-01,27.28,27.86,27.11,27.15,57145
2015-06-02,27.24,27.35,27.08,27.24,32128
2015-06-03,27.31,27.31,26.79,26.87,46714
2015-06-04,26.59,26.77,26.36,26.38,25397
2015-06-05,26.19,26.66,26.16,26.6,436062
2015-06-08,26.43,26.55,26.32,26.42,45165
2015-06-09,26.45,26.53,26.34,26.35,234707
2015-06-10,26.6,26.6,26.3,26.36,126839
2015-06-11,26.32,26.38,26.23,26.27,44982
2015-06-12,26.27,26.27,26.05,26.27,18763
2015-06-15,26.18,26.6,26.11,26.52,59503
2015-06-16,26.56,26.58,26.4,26.49,20115
2015-06-17,26.48,26.67,26.34,26.49,83941
2015-06-18,26.62,26.62,26.43,26.47,29718
2015-06-19,26.51,26.51,26.03,26.1,117802
2015-06-22,26.15,26.24,26.1,26.1,29024
2015-06-23,26.15,26.24,26.11,26.17,37721
2015-06-24,26.6,26.6,26.04,26.13,75794
2015-06-25,26.24,26.25,25.73,25.74,24696
2015-06-26,25.7,25.71,25.53,25.55,72905
2015-06-29,25.43,25.43,25.13,25.19,64849
2015-06-30,25.33,25.36,24.87,25.02,171643
2015-07-01,25.12,25.41,24.51,24.64,39027
2015-07-02,24.92,25.1,24.87,24.96,47287
2015-07-06,24.8,24.89,24.62,24.74,66115
2015-07-07,24.8,25.35,24.38,25.29,93891
2015-07-08,25.05,25.2,24.64,24.73,54103
2015-07-09,24.97,25.4,24.78,24.8,459061
2015-07-10,25.05,25.24,24.9,25.14,82608
2015-07-13,25.39,25.49,25.23,25.4,43771
2015-07-14,25.35,25.75,25.35,25.63,67655
2015-07-15,25.62,25.69,25.12,25.15,990610
2015-07-16,25.01,25.01,24.75,24.84,52901
2015-07-17,24.9,24.9,24.34,24.45,36286
2015-07-20,24.4,24.4,23.86,23.87,71409
2015-07-21,23.9,24.19,23.55,23.71,57117
2015-07-22,23.7,23.93,23.0,23.24,196338
2015-07-23,23.35,23.46,23.17,23.24,188212
2015-07-24,23.2,23.68,22.88,23.36,347744
2015-07-27,23.33,23.71,23.09,23.59,155152
2015-07-28,23.55,24.33,23.55,24.2,103910
2015-07-29,24.27,24.78,24.1,24.78,226522
2015-07-30,24.81,24.81,24.3,24.37,211894
2015-07-31,24.46,24.46,24.09,24.11,289996
2015-08-03,23.86,24.0,23.47,23.54,91140
2015-08-04,23.55,23.72,23.27,23.33,45088
2015-08-05,23.5,23.84,22.1,22.16,731113
2015-08-06,22.13,22.19,21.43,22.05,655764
2015-08-07,22.03,22.35,21.9,22.07,577097
2015-08-10,22.09,22.81,22.09,22.76,69492
2015-08-11,22.6,22.72,22.39,22.62,240579
2015-08-12,22.5,23.33,22.5,23.31,336543
2015-08-13,23.26,23.71,22.83,22.97,159608
2015-08-14,23.09,23.21,22.97,23.11,67418
2015-08-17,23.15,23.6,23.06,23.52,297762
2015-08-18,23.4,23.79,23.27,23.35,137639
2015-08-19,23.36,23.38,22.71,22.95,256548
2015-08-20,22.78,23.26,22.41,22.47,1016191
2015-08-21,22.47,22.63,21.94,21.99,165359
2015-08-24,21.2,24.33,20.35,21.25,587474
2015-08-25,21.77,21.85,21.25,21.25,1213926
