date,open,high,low,close,volume
2015-07-31,6.5,6.55,5.25,5.35,537516
2015-08-03,5.93,5.97,4.85,5.03,290653
2015-08-04,4.9,5.05,4.66,4.99,278648
2015-08-05,4.99,5.1,4.78,5.0,103893
2015-08-06,5.04,5.24,5.04,5.15,35543
2015-08-07,5.15,5.6,5.15,5.42,58363
2015-08-10,5.45,5.55,5.3,5.31,42659
2015-08-11,5.4,5.48,5.3,5.36,34006
2015-08-12,5.38,5.56,5.36,5.49,30589
2015-08-13,5.55,5.61,5.33,5.36,25131
2015-08-14,5.61,5.75,5.3,5.44,43785
2015-08-17,5.5,5.56,5.3,5.5,27779
2015-08-18,5.5,5.5,5.21,5.5,16708
2015-08-19,5.26,5.4,5.11,5.19,22070
2015-08-20,5.09,5.39,4.76,4.88,29420
2015-08-21,4.85,5.14,4.85,5.0,25987
2015-08-24,5.05,5.05,4.62,4.78,25963
2015-08-25,4.8,5.0,4.5,5.0,49200
2015-08-26,5.0,5.0,4.8,5.0,19545
2015-08-27,4.9,4.99,4.75,4.92,23127
2015-08-28,4.99,5.2,4.86,5.2,59766
2015-08-31,5.14,5.14,4.85,4.99,38388
2015-09-01,4.84,4.99,4.65,4.85,18397
2015-09-02,4.93,4.93,4.78,4.84,2761
2015-09-03,4.88,5.09,4.88,4.98,18478
2015-09-04,5.0,5.0,4.88,4.96,10655
2015-09-08,5.1,5.1,4.95,5.07,26864
2015-09-09,5.03,5.1,5.01,5.09,12569
2015-09-10,5.03,5.1,5.0,5.05,17397
2015-09-11,4.91,5.45,4.91,5.45,79788
2015-09-14,5.43,5.55,5.11,5.26,68920
2015-09-15,5.41,5.49,5.12,5.23,33312
2015-09-16,5.29,5.42,5.21,5.38,11684
2015-09-17,5.33,5.46,5.3,5.38,20279
2015-09-18,5.31,5.45,4.94,4.94,285679
2015-09-21,5.05,5.17,5.0,5.01,19918
2015-09-22,5.01,5.3,4.81,4.9,128913
2015-09-23,4.82,5.04,4.7,4.98,6551
2015-09-24,4.78,5.08,4.71,4.92,4874
2015-09-25,4.9,5.1,4.83,4.9,7586
2015-09-28,4.8,5.0,4.8,4.89,11592
2015-09-29,4.81,4.97,4.8,4.92,9804
2015-09-30,5.0,5.2,4.99,5.07,37135
2015-10-01,5.14,5.15,5.0,5.08,46661
2015-10-02,5.03,5.15,5.01,5.11,39532
2015-10-05,5.18,5.18,5.1,5.13,16065
2015-10-06,5.13,5.14,5.0,5.14,14617
2015-10-07,5.05,5.05,5.0,5.0,629
2015-10-08,5.0,5.15,5.0,5.06,4706
2015-10-09,5.0,5.14,5.0,5.08,1625
2015-10-12,5.0,5.14,5.0,5.14,5028
2015-10-13,5.01,5.01,5.0,5.0,10195
2015-10-14,5.04,5.2,5.02,5.19,10759
2015-10-15,5.0,5.2,5.0,5.09,15227
2015-10-16,5.2,5.2,5.1,5.18,3350
2015-10-19,5.2,5.2,5.11,5.11,2045
2015-10-20,5.17,5.2,5.05,5.19,6180
2015-10-21,5.19,5.19,4.9,4.9,29477
2015-10-22,5.17,5.17,4.89,4.89,19319
2015-10-23,4.92,5.0,4.86,4.93,5339
2015-10-26,5.03,5.11,4.97,5.05,4520
2015-10-27,4.99,4.99,4.8,4.86,9434
2015-10-28,5.08,5.08,4.82,4.85,4778
2015-10-29,4.9,5.0,4.9,4.98,9193
2015-10-30,4.97,5.0,4.96,5.0,5600
2015-11-02,4.94,4.95,4.76,4.89,6857
2015-11-03,4.98,5.05,4.94,5.01,17886
2015-11-04,5.04,5.05,4.9,5.0,4501
2015-11-05,4.95,5.0,4.95,4.99,7143
2015-11-06,5.08,5.08,5.0,5.02,12308
2015-11-09,5.04,5.2,4.87,5.1,30092
2015-11-10,5.15,5.37,5.05,5.36,38369
2015-11-11,5.37,5.37,5.18,5.19,11205
2015-11-12,5.29,5.37,5.29,5.3,13127
2015-11-13,5.35,5.35,5.13,5.15,14802
2015-11-16,5.34,5.34,5.15,5.16,15008
2015-11-17,5.2,5.2,5.0,5.18,21924
2015-11-18,5.05,5.06,5.0,5.0,9347
2015-11-19,5.05,5.05,5.01,5.04,4768
2015-11-20,5.03,5.09,4.9,4.99,12638
2015-11-23,4.99,5.1,4.99,5.06,8014
2015-11-24,5.1,5.13,5.02,5.13,14147
2015-11-25,5.19,5.19,5.08,5.08,6914
2015-11-27,5.11,5.17,5.11,5.17,7975
2015-11-30,5.12,5.12,5.0,5.05,7648
2015-12-01,5.1,5.2,5.1,5.16,23356
2015-12-02,5.16,5.18,5.14,5.17,3510
2015-12-03,5.17,5.18,5.16,5.17,10039
2015-12-04,5.17,5.17,5.12,5.15,13571
2015-12-07,5.17,5.2,5.02,5.11,86227
2015-12-08,5.11,5.14,5.07,5.07,5654
2015-12-09,5.11,5.11,5.0,5.03,4455
2015-12-10,5.06,5.1,5.06,5.09,9827
2015-12-11,5.12,5.14,5.1,5.12,11039
2015-12-14,5.12,5.2,5.11,5.12,9677
2015-12-15,5.15,5.19,5.07,5.19,13861
2015-12-16,5.19,5.19,5.06,5.06,3265
2015-12-17,5.09,5.15,5.06,5.07,5112
2015-12-18,5.19,5.19,5.05,5.05,54348
2015-12-21,5.18,5.19,5.05,5.1,11127
2015-12-22,5.15,5.16,5.03,5.08,4342
2015-12-23,5.13,5.17,5.09,5.12,6302
2015-12-24,5.14,5.14,5.06,5.07,1303
2015-12-28,5.08,5.15,5.07,5.12,13600
2015-12-29,5.17,5.35,5.11,5.27,26576
2015-12-30,5.26,5.4,5.18,5.38,15007
2015-12-31,5.4,5.49,5.25,5.33,53144
2016-01-04,5.29,5.48,5.17,5.17,19113
2016-01-05,5.18,5.39,5.1,5.39,14733
2016-01-06,5.34,5.34,5.25,5.25,1640
2016-01-07,5.2,5.3,5.15,5.16,8290
2016-01-08,5.23,5.24,5.08,5.2,24766
2016-01-11,5.31,5.31,5.0,5.09,25187
2016-01-12,5.09,5.09,5.0,5.04,14038
2016-01-13,5.08,5.08,5.0,5.0,5423
2016-01-14,5.0,5.1,5.0,5.07,3319
2016-01-15,5.0,5.07,5.0,5.0,9056
2016-01-19,5.01,5.01,4.91,4.93,6305
2016-01-20,4.96,4.96,4.74,4.8,12252
2016-01-21,4.85,4.86,4.5,4.51,37235
2016-01-22,4.65,4.66,4.5,4.55,14168
2016-01-25,4.55,4.66,4.55,4.65,6930
2016-01-26,4.67,4.75,4.51,4.74,37475
2016-01-27,4.65,4.75,4.6,4.68,1466
2016-01-28,4.72,4.72,4.66,4.66,290
2016-01-29,4.7,4.75,4.63,4.63,7404
2016-02-01,5.35,5.35,4.71,4.85,10970
2016-02-02,4.85,4.89,4.68,4.81,15080
2016-02-03,4.77,4.91,4.77,4.89,17108
2016-02-04,4.85,4.93,4.76,4.93,5732
2016-02-05,4.84,4.92,4.84,4.89,874
2016-02-08,4.94,4.94,4.92,4.94,3703
2016-02-09,4.87,4.92,4.71,4.71,14563
2016-02-10,4.82,4.82,4.6,4.67,54697
2016-02-11,4.73,4.74,4.68,4.7,10881
2016-02-12,4.78,4.81,4.78,4.8,3056
2016-02-16,4.9,4.9,4.77,4.9,5624
2016-02-17,4.95,5.02,4.86,4.94,8003
2016-02-18,5.17,5.18,5.0,5.02,5073
2016-02-19,0.0,0.0,0.0,5.02,228
2016-02-22,5.09,5.09,5.01,5.08,21333
2016-02-23,5.08,5.2,5.0,5.06,20709
2016-02-24,5.19,5.2,5.01,5.03,15521
2016-02-25,5.11,5.11,4.82,4.83,25272
2016-02-26,4.98,5.42,4.96,5.42,41510
2016-02-29,5.5,5.9,5.49,5.8,66587
2016-03-01,5.71,5.78,5.56,5.77,26677
2016-03-02,5.79,5.9,5.73,5.9,20891
2016-03-03,5.8,6.41,5.8,6.15,35420
2016-03-04,6.34,6.34,5.95,5.99,26685
2016-03-07,6.34,7.0,5.83,6.2,140569
2016-03-08,6.2,6.74,6.2,6.55,43599
2016-03-09,6.39,6.65,6.39,6.42,23920
2016-03-10,6.49,6.49,5.87,5.94,25278
2016-03-11,5.99,6.16,5.88,6.16,27185
2016-03-14,6.17,6.31,6.01,6.14,30263
2016-03-15,6.16,6.22,5.96,5.98,29229
