date,open,high,low,close,volume
2015-02-17,17.28,17.35,16.93,16.99,101408
2015-02-18,17.0,17.27,17.0,17.14,62809
2015-02-19,17.13,17.13,16.7,16.71,49947
2015-02-20,16.72,16.83,16.52,16.55,61225
2015-02-23,16.52,16.57,16.34,16.36,111153
2015-02-24,16.28,16.37,16.08,16.12,72856
2015-02-25,16.12,16.5,16.12,16.23,67387
2015-02-26,16.2,16.4,16.15,16.32,94869
2015-02-27,16.33,16.4,16.1,16.27,193303
2015-03-02,16.36,16.57,16.2,16.5,111125
2015-03-03,16.42,16.63,16.28,16.51,200860
2015-03-04,16.46,16.46,16.22,16.23,60883
2015-03-05,16.21,16.25,16.05,16.18,49429
2015-03-06,16.03,16.1,15.64,15.75,130781
2015-03-09,15.82,15.95,15.67,15.93,69874
2015-03-10,15.77,15.97,15.65,15.9,86935
2015-03-11,15.88,16.05,15.74,16.02,72911
2015-03-12,16.1,16.61,16.1,16.61,68716
2015-03-13,16.6,16.6,16.31,16.53,54084
2015-03-16,16.6,16.65,16.35,16.47,61762
2015-03-17,16.42,16.63,16.37,16.54,39647
2015-03-18,16.52,16.81,16.28,16.75,60894
2015-03-19,16.65,16.93,16.56,16.67,51775
2015-03-20,16.7,16.99,16.64,16.91,313226
2015-03-23,16.85,17.24,16.85,17.12,90657
2015-03-24,17.03,17.3,16.97,17.23,87388
2015-03-25,17.21,17.22,16.53,16.61,128123
2015-03-26,16.55,16.71,16.33,16.5,54581
2015-03-27,16.45,16.75,16.3,16.7,128193
2015-03-30,16.71,16.75,16.57,16.72,48894
2015-03-31,16.65,16.79,16.35,16.77,164213
2015-04-01,16.69,17.02,16.5,16.99,74582
2015-04-02,16.94,17.25,16.91,17.09,69140
2015-04-06,17.07,17.24,16.97,16.99,55012
2015-04-07,16.9,17.07,16.55,16.58,38154
2015-04-08,16.58,16.9,16.49,16.53,71098
2015-04-09,16.53,16.53,16.13,16.2,184642
2015-04-10,16.27,16.43,16.17,16.2,93569
2015-04-13,16.11,16.23,16.06,16.06,120101
2015-04-14,16.11,16.23,15.96,16.08,88051
2015-04-15,16.14,16.17,15.88,15.9,83911
2015-04-16,15.9,15.92,15.78,15.9,152114
2015-04-17,15.83,15.99,15.81,15.87,169043
2015-04-20,15.99,16.14,15.91,15.95,206084
2015-04-21,15.95,16.2,15.95,16.01,235351
2015-04-22,15.99,16.24,15.94,16.14,111577
2015-04-23,16.15,16.22,16.09,16.14,94326
2015-04-24,16.2,16.32,16.14,16.18,129372
2015-04-27,16.17,16.4,16.02,16.17,120133
2015-04-28,16.2,16.48,16.11,16.36,143172
2015-04-29,16.26,16.33,16.01,16.05,63145
2015-04-30,15.95,15.99,15.53,15.66,149103
2015-05-01,15.64,15.83,15.64,15.8,59307
2015-05-04,15.8,16.06,15.74,15.87,223458
2015-05-05,15.84,15.91,15.55,15.74,136716
2015-05-06,15.73,15.85,15.7,15.81,84634
2015-05-07,15.88,16.05,15.71,15.95,398578
2015-05-08,16.14,16.14,15.84,15.93,249139
2015-05-11,15.87,15.99,15.85,15.91,142420
2015-05-12,15.91,15.95,15.58,15.9,127880
2015-05-13,16.02,16.11,15.99,16.01,110152
2015-05-14,16.14,16.2,16.02,16.15,187557
2015-05-15,16.15,16.2,16.06,16.19,154910
2015-05-18,16.13,16.27,16.1,16.2,203739
2015-05-19,16.17,16.2,16.07,16.19,90845
2015-05-20,16.2,16.22,16.1,16.18,65082
2015-05-21,16.14,16.2,15.92,15.96,71622
2015-05-22,15.87,15.97,15.77,15.84,103420
2015-05-26,15.76,15.78,15.49,15.66,373879
2015-05-27,15.66,15.96,15.6,15.89,67412
2015-05-28,15.83,15.97,15.78,15.95,203967
2015-05-29,15.94,16.0,15.69,15.74,521926
2015-06-01,15.84,16.0,15.75,15.95,213228
2015-06-02,15.9,15.97,15.68,15.69,123049
2015-06-03,15.67,15.8,15.52,15.6,200977
2015-06-04,15.55,15.75,15.47,15.72,126743
2015-06-05,15.62,15.7,15.36,15.62,173654
2015-06-08,15.57,15.57,15.36,15.5,115704
2015-06-09,15.52,15.63,15.35,15.52,92313
2015-06-10,15.64,15.72,15.37,15.61,90135
2015-06-11,15.56,15.68,15.52,15.53,64731
2015-06-12,15.52,15.64,15.35,15.4,75485
2015-06-15,15.33,15.43,14.77,14.89,137148
2015-06-16,14.87,15.28,14.79,15.24,80702
2015-06-17,15.27,15.27,14.95,15.14,43855
2015-06-18,15.19,15.5,15.19,15.46,76655
2015-06-19,15.51,15.51,15.25,15.39,175389
2015-06-22,15.38,15.52,15.33,15.34,60329
2015-06-23,15.29,15.36,15.18,15.33,31219
2015-06-24,15.42,15.42,15.28,15.31,56329
2015-06-25,15.37,15.37,14.98,15.13,75118
2015-06-26,15.08,15.5,14.95,15.48,171488
2015-06-29,15.43,15.48,14.38,14.85,280501
2015-06-30,14.93,15.13,14.84,15.02,189361
2015-07-01,15.08,15.37,14.94,15.16,138768
2015-07-02,15.25,15.32,15.09,15.18,69911
2015-07-06,15.15,15.34,15.15,15.24,82333
2015-07-07,15.31,15.47,15.19,15.28,107830
2015-07-08,15.17,15.39,15.13,15.31,114195
2015-07-09,15.42,15.54,15.0,15.21,88975
2015-07-10,15.33,15.51,15.19,15.35,77758
2015-07-13,15.34,15.7,15.34,15.48,136598
2015-07-14,15.35,15.5,15.35,15.39,53123
2015-07-15,15.34,15.48,15.34,15.45,79627
2015-07-16,15.5,15.81,15.24,15.44,342001
2015-07-17,15.47,15.58,15.35,15.53,92517
2015-07-20,15.82,15.82,15.58,15.63,149789
2015-07-21,15.58,15.73,15.43,15.56,62899
2015-07-22,15.54,16.22,15.54,15.8,469460
2015-07-23,15.76,15.86,15.23,15.37,144836
2015-07-24,15.31,15.36,15.0,15.05,160396
2015-07-27,15.0,15.24,14.64,14.9,132969
2015-07-28,14.88,14.98,14.56,14.59,330457
2015-07-29,14.53,14.59,14.35,14.55,453376
2015-07-30,14.43,14.75,14.43,14.46,360011
2015-07-31,14.49,14.6,14.43,14.56,141595
2015-08-03,14.57,14.76,14.47,14.63,400137
2015-08-04,14.58,14.69,14.39,14.42,205428
2015-08-05,14.44,14.55,13.62,13.89,201022
2015-08-06,13.93,14.18,12.65,14.0,809832
2015-08-07,13.5,14.5,11.91,12.92,1425357
2015-08-10,12.93,13.27,12.9,13.19,220922
2015-08-11,13.09,13.73,13.09,13.47,204402
2015-08-12,13.36,13.47,12.17,12.62,1185885
2015-08-13,12.66,12.77,12.5,12.58,204114
2015-08-14,12.52,12.59,12.41,12.57,143627
2015-08-17,12.53,12.63,12.41,12.62,196094
2015-08-18,12.64,12.66,12.48,12.61,198126
