date,open,high,low,close,volume
2015-02-12,49.94,49.94,49.0,49.75,125722
2015-02-13,49.85,50.09,48.89,49.59,200961
2015-02-17,49.33,49.49,48.61,49.4,176475
2015-02-18,49.16,50.65,49.16,49.61,228367
2015-02-19,49.55,49.83,49.37,49.51,103062
2015-02-20,49.6,49.92,49.16,49.66,293450
2015-02-23,49.77,50.15,49.67,50.0,147254
2015-02-24,50.06,50.52,49.72,49.91,114742
2015-02-25,49.69,49.91,49.03,49.71,154429
2015-02-26,49.71,50.3,49.23,49.73,134842
2015-02-27,49.8,51.0,49.8,50.3,142734
2015-03-02,50.29,51.78,50.11,51.48,248223
2015-03-03,51.22,51.48,50.17,51.05,242491
2015-03-04,51.05,51.71,50.66,51.27,214279
2015-03-05,51.02,51.02,48.11,48.44,489152
2015-03-06,48.22,48.93,47.42,47.93,231223
2015-03-09,47.87,48.85,47.87,48.67,246971
2015-03-10,48.49,49.26,48.32,48.5,287963
2015-03-11,48.66,48.94,48.13,48.5,209646
2015-03-12,48.63,49.32,48.35,48.78,422594
2015-03-13,48.85,48.85,47.22,48.04,375282
2015-03-16,48.1,49.29,47.99,49.06,299502
2015-03-17,49.06,49.81,48.81,49.22,291884
2015-03-18,49.0,49.55,48.01,49.55,190777
2015-03-19,49.55,50.2,49.55,49.96,151226
2015-03-20,50.16,51.08,49.79,50.93,338628
2015-03-23,50.85,52.0,50.85,51.54,241052
2015-03-24,51.49,51.8,51.15,51.72,206290
2015-03-25,51.6,51.72,49.84,49.85,224100
2015-03-26,49.63,49.75,49.05,49.25,167067
2015-03-27,49.24,49.43,48.03,49.35,497913
2015-03-30,49.53,50.24,49.53,49.9,172010
2015-03-31,49.68,51.43,49.68,51.09,350841
2015-04-01,50.94,51.28,50.0,50.68,347640
2015-04-02,50.64,51.59,50.42,50.98,196848
2015-04-06,50.98,51.2,49.62,49.76,379125
2015-04-07,49.7,50.23,49.25,49.33,222032
2015-04-08,49.41,49.8,49.17,49.67,201644
2015-04-09,49.67,49.83,46.7,47.46,499411
2015-04-10,47.67,49.18,47.49,48.85,424292
2015-04-13,48.76,49.18,48.55,48.84,323970
2015-04-14,49.1,49.1,48.41,48.62,393213
2015-04-15,48.86,49.59,48.13,48.25,231868
2015-04-16,48.24,48.72,48.02,48.11,235054
2015-04-17,47.84,48.03,46.74,46.83,302024
2015-04-20,47.15,48.4,46.85,47.98,335386
2015-04-21,48.05,48.4,47.4,47.6,212216
2015-04-22,47.7,47.7,47.04,47.25,124068
2015-04-23,47.15,47.89,47.14,47.7,177205
2015-04-24,47.75,48.26,47.63,47.7,123651
2015-04-27,47.72,48.29,46.99,47.13,147841
2015-04-28,47.19,47.38,46.32,46.73,211633
2015-04-29,46.55,46.55,45.01,45.24,422622
2015-04-30,45.16,45.9,44.7,44.8,222716
2015-05-01,44.93,46.08,44.8,45.63,233697
2015-05-04,45.7,46.41,45.21,45.25,192787
2015-05-05,45.21,45.4,44.66,45.02,221143
2015-05-06,45.09,45.39,44.03,45.36,349307
2015-05-07,45.39,46.25,45.32,45.76,217443
2015-05-08,46.29,46.45,45.19,45.33,214854
2015-05-11,45.26,45.61,44.73,44.8,237188
2015-05-12,44.55,44.96,44.11,44.63,166415
2015-05-13,44.63,45.11,44.24,44.6,229338
2015-05-14,44.83,44.99,43.75,44.47,300009
2015-05-15,44.55,44.88,44.17,44.41,204577
2015-05-18,44.56,45.37,44.33,45.07,227509
2015-05-19,45.12,45.37,44.18,44.25,328517
2015-05-20,44.48,44.48,43.66,44.1,457261
2015-05-21,42.25,43.64,40.54,43.1,841407
2015-05-22,43.17,44.46,42.75,44.07,561085
2015-05-26,44.06,44.5,43.41,43.44,347161
2015-05-27,43.49,43.91,43.05,43.71,174441
2015-05-28,43.78,44.02,43.6,43.66,160905
2015-05-29,43.54,43.76,42.51,42.58,352287
2015-06-01,42.67,43.09,42.21,42.66,279535
2015-06-02,42.56,43.31,42.47,43.24,252349
2015-06-03,43.26,44.24,43.13,44.02,327528
2015-06-04,44.4,46.78,44.04,46.42,587233
2015-06-05,46.17,46.41,44.84,46.16,566089
2015-06-08,46.08,46.39,45.32,45.52,375786
2015-06-09,45.46,45.48,44.97,45.07,258940
2015-06-10,45.18,45.59,44.74,44.95,266352
2015-06-11,45.06,45.67,44.86,45.0,206540
2015-06-12,44.9,45.18,44.63,45.0,223790
2015-06-15,44.76,45.11,44.32,45.02,284707
2015-06-16,44.97,45.99,44.97,45.58,222512
2015-06-17,45.69,46.04,45.24,45.55,191481
2015-06-18,45.68,45.97,45.38,45.79,210385
2015-06-19,45.99,46.65,45.57,46.04,320218
2015-06-22,46.09,46.52,45.75,46.47,237832
2015-06-23,46.4,47.36,46.4,47.19,257618
2015-06-24,47.24,47.32,46.78,46.85,215511
2015-06-25,47.03,47.34,46.76,46.98,245330
2015-06-26,47.14,47.22,46.53,46.99,319902
2015-06-29,46.8,47.09,46.05,46.2,345919
2015-06-30,46.4,46.45,45.54,45.77,315336
2015-07-01,46.18,46.41,45.56,45.97,276996
2015-07-02,46.09,46.67,45.34,45.62,214055
2015-07-06,45.24,46.02,45.17,45.59,217569
2015-07-07,45.6,46.07,44.8,46.06,167272
2015-07-08,45.87,46.4,45.7,46.29,314383
2015-07-09,47.0,47.0,46.15,46.69,325039
2015-07-10,46.79,46.93,46.13,46.27,382016
2015-07-13,46.1,46.55,45.58,46.14,319709
2015-07-14,45.95,46.11,45.48,45.77,112034
