date,open,high,low,close,volume
2015-02-23,139.74,145.23,137.38,138.01,748
2015-02-24,137.78,139.35,135.62,137.58,438
2015-02-25,134.56,134.56,134.24,134.24,66
2015-02-26,133.46,133.46,126.79,126.79,58
2015-02-27,123.65,124.43,123.65,124.43,79
2015-03-02,125.61,127.57,125.61,127.57,56
2015-03-03,127.57,128.75,127.57,128.75,56
2015-03-04,124.82,124.82,123.65,123.65,257
2015-03-05,119.72,121.02,119.72,120.11,226
2015-03-06,121.28,121.28,118.15,118.6,342
2015-03-09,115.8,115.8,115.8,115.8,25
2015-03-10,115.8,115.8,111.48,111.48,576
2015-03-11,113.68,115.4,112.26,113.05,145
2015-03-12,128.36,128.36,125.61,125.61,206
2015-03-13,129.93,129.93,126.79,127.57,38
2015-03-16,123.65,124.04,123.25,124.04,391
2015-03-17,120.51,122.0,120.51,120.51,501
2015-03-18,113.83,122.86,113.83,119.72,36
2015-03-19,117.76,118.54,117.76,118.54,51
2015-03-20,119.72,123.25,119.72,121.29,319
2015-03-23,123.1,123.1,123.1,123.1,13
2015-03-24,125.61,125.61,123.65,123.65,98
2015-03-25,0.0,0.0,0.0,123.65,0
2015-03-26,123.65,123.65,119.72,121.6,66
2015-03-27,119.72,121.6,119.72,121.6,59
2015-03-30,109.51,118.15,109.51,118.15,31
2015-03-31,116.5,116.5,116.5,116.5,3
2015-04-01,0.0,0.0,0.0,116.5,0
2015-04-02,104.82,105.2,93.81,100.09,1202
2015-04-06,105.24,105.24,103.63,104.02,364
2015-04-07,105.2,105.59,104.02,104.02,130
2015-04-08,106.37,107.16,106.37,107.16,733
2015-04-09,113.83,115.8,113.05,113.05,454
2015-04-10,125.61,129.14,118.94,127.57,563
2015-04-13,121.6,121.6,114.62,114.62,97
2015-04-14,117.76,117.76,113.75,117.37,79
2015-04-15,124.82,127.57,124.37,124.43,122
2015-04-16,126.79,126.79,123.65,123.65,148
2015-04-17,128.36,128.36,128.36,128.36,3
2015-04-20,0.0,0.0,0.0,128.36,0
2015-04-21,0.0,0.0,0.0,128.36,0
2015-04-22,118.94,119.72,115.01,117.76,132
2015-04-23,123.25,123.25,123.25,123.25,3
2015-04-24,0.0,0.0,0.0,123.25,0
2015-04-27,120.9,120.9,118.54,118.54,81
2015-04-28,120.11,126.55,120.11,124.67,18
2015-04-29,125.22,125.22,124.57,124.78,54
2015-04-30,121.68,124.51,121.29,121.29,89
2015-05-01,125.22,125.22,118.29,118.29,77
2015-05-04,129.93,129.93,127.18,127.96,125
2015-05-05,123.57,123.57,123.25,123.25,56
2015-05-06,0.0,0.0,0.0,123.25,0
