date,open,high,low,close,volume
2015-03-02,52.43,53.52,52.05,53.49,19384199
2015-03-03,53.94,54.0,53.43,53.73,24281856
2015-03-04,53.48,53.86,53.24,53.67,14698051
2015-03-05,53.71,53.73,53.15,53.56,13853848
2015-03-06,53.75,54.01,52.93,53.06,40296620
2015-03-09,52.88,53.17,52.77,52.95,17542634
2015-03-10,52.07,52.3,51.23,51.23,29061253
2015-03-11,51.62,52.76,51.52,52.33,32443600
2015-03-12,54.0,54.72,53.45,54.08,50191173
2015-03-13,53.9,54.24,53.26,53.54,20780566
2015-03-16,53.74,54.04,53.4,53.69,17031579
2015-03-17,53.21,53.99,53.16,53.84,13902934
2015-03-18,53.42,53.94,53.17,53.72,18383718
2015-03-19,53.57,53.62,52.2,52.38,21150002
2015-03-20,52.44,53.17,52.41,52.98,22466236
2015-03-23,53.03,53.05,52.48,52.48,13148904
2015-03-24,52.35,52.44,51.94,51.94,12887743
2015-03-25,51.98,52.11,51.35,51.38,15418182
2015-03-26,51.19,51.46,50.47,51.19,21839614
2015-03-27,51.49,51.49,50.72,51.0,16052366
2015-03-30,51.33,52.0,51.31,51.64,13289150
2015-03-31,51.26,51.77,51.16,51.52,13928941
2015-04-01,51.37,51.9,51.01,51.62,21577679
2015-04-02,51.68,52.22,51.59,51.86,13966921
2015-04-06,51.16,51.96,50.98,51.62,13250840
2015-04-07,51.83,51.93,51.39,51.52,11562697
2015-04-08,51.67,52.22,51.63,51.89,11773034
2015-04-09,51.73,52.21,51.69,52.13,13591430
2015-04-10,52.08,52.68,51.98,52.43,13032016
2015-04-13,52.48,52.95,52.41,52.66,11984406
2015-04-14,52.93,53.0,52.38,52.73,13259731
2015-04-15,52.93,53.38,52.75,53.21,19041097
2015-04-16,53.98,54.46,53.8,54.02,38345622
2015-04-17,53.51,54.1,52.95,53.07,23286981
2015-04-20,53.3,53.57,53.09,53.2,14729995
2015-04-21,53.35,53.46,52.25,52.48,19554373
2015-04-22,52.52,53.38,52.35,53.1,14873394
2015-04-23,53.01,53.4,52.82,53.22,13049573
2015-04-24,53.16,53.22,52.85,52.9,10150537
2015-04-27,52.88,53.39,52.78,52.8,15613029
2015-04-28,52.67,53.1,52.25,53.02,14134525
2015-04-29,52.65,53.99,52.61,53.76,22542387
2015-04-30,53.75,53.97,52.92,53.32,19420556
2015-05-01,53.64,53.84,53.31,53.76,13148680
2015-05-04,53.85,54.26,53.74,54.17,15670096
2015-05-05,53.99,54.3,53.25,53.35,20669083
2015-05-06,53.56,53.9,52.35,52.82,19414806
2015-05-07,52.59,53.44,52.41,53.31,14954178
2015-05-08,53.55,54.11,53.3,54.02,17333515
2015-05-11,53.92,54.16,53.8,53.97,13896756
2015-05-12,53.67,53.98,53.23,53.74,13336881
2015-05-13,53.72,54.36,53.48,54.2,15810396
2015-05-14,54.43,54.73,54.33,54.6,14250782
2015-05-15,54.59,54.61,54.03,54.24,10378117
2015-05-18,54.19,54.9,54.17,54.67,11717553
2015-05-19,54.79,55.37,54.75,55.33,18207423
2015-05-20,55.27,55.3,54.75,54.89,13955559
2015-05-21,54.69,55.1,54.61,54.84,11799919
2015-05-22,54.78,55.33,54.68,54.97,12652016
2015-05-26,54.75,54.84,54.01,54.24,16564517
2015-05-27,54.34,54.98,54.2,54.87,13699424
2015-05-28,54.82,54.82,54.22,54.55,13381912
2015-05-29,54.46,54.49,53.87,54.08,13841381
2015-06-01,54.68,55.05,54.44,54.45,18156312
2015-06-02,54.4,55.02,54.13,54.72,17765569
2015-06-03,55.04,56.02,55.01,55.63,21240463
2015-06-04,55.45,56.0,55.16,55.33,18517634
2015-06-05,56.02,56.58,55.84,56.24,26500448
2015-06-08,56.25,56.5,55.65,55.65,14961647
2015-06-09,55.57,56.36,55.22,56.0,15193141
2015-06-10,56.27,57.21,56.18,57.02,21275642
2015-06-11,57.2,57.5,56.93,57.21,19187109
2015-06-12,57.01,57.25,56.67,57.11,13860635
2015-06-15,56.62,56.94,56.11,56.65,17698443
2015-06-16,56.52,57.13,56.36,57.07,13563808
2015-06-17,57.07,57.15,56.38,56.54,17801874
2015-06-18,56.66,56.88,55.98,56.76,18739307
2015-06-19,56.51,56.81,56.17,56.23,18840468
2015-06-22,56.86,57.21,56.76,56.95,13011615
2015-06-23,57.28,57.64,57.12,57.39,16216064
2015-06-24,56.66,56.99,56.5,56.66,19235533
2015-06-25,56.99,57.06,56.18,56.19,12176170
2015-06-26,56.47,56.65,56.1,56.34,12148270
2015-06-29,55.04,55.62,54.85,54.88,22260419
2015-06-30,55.52,55.68,54.81,55.24,17737444
2015-07-01,56.01,56.01,55.24,55.68,17606104
2015-07-02,55.43,55.85,55.07,55.37,12062781
2015-07-06,54.79,55.25,54.5,55.08,12706190
2015-07-07,54.97,55.05,53.03,54.5,32011242
2015-07-08,53.81,53.81,52.77,52.8,26169423
2015-07-09,53.84,54.15,53.6,53.71,23540424
2015-07-10,54.55,54.79,53.71,54.56,16578662
2015-07-13,55.04,55.69,55.04,55.54,18803919
2015-07-14,55.37,56.12,55.24,55.91,18174852
2015-07-15,56.26,56.79,55.95,56.46,20470527
2015-07-16,57.9,58.65,57.71,58.59,41084043
2015-07-17,58.53,58.89,58.34,58.75,21055333
2015-07-20,58.96,59.3,58.63,58.85,16016635
2015-07-21,58.8,59.31,58.8,59.1,21541708
2015-07-22,59.12,60.53,59.03,60.34,30156194
2015-07-23,60.29,60.95,59.73,59.87,29432315
2015-07-24,59.7,59.77,58.33,58.7,24760756
2015-07-27,57.9,58.33,57.43,57.96,20378381
2015-07-28,58.45,58.5,57.78,58.37,12566708
2015-07-29,58.56,59.15,58.43,58.92,14460768
2015-07-30,58.73,59.05,58.3,58.88,11202069
2015-07-31,58.79,58.84,58.37,58.46,12529315
2015-08-03,58.62,58.67,57.95,58.44,10508705
2015-08-04,58.37,58.87,58.29,58.47,10984522
2015-08-05,58.94,59.25,58.6,58.74,10630976
2015-08-06,58.82,58.96,57.9,58.1,14707408
2015-08-07,58.18,58.61,57.44,57.91,11933951
2015-08-10,58.26,58.84,58.21,58.74,10812191
2015-08-11,58.01,58.25,57.24,57.64,18897619
2015-08-12,56.94,57.24,55.31,56.91,27569091
2015-08-13,57.03,57.6,56.5,57.33,15837852
2015-08-14,57.18,57.72,57.18,57.59,8864981
2015-08-17,57.16,57.85,56.99,57.77,11140334
2015-08-18,57.67,57.92,57.4,57.55,11593241
2015-08-19,57.18,57.52,56.56,57.0,17673210
2015-08-20,56.03,56.31,55.33,55.33,28455508
2015-08-21,54.4,55.05,53.58,53.6,33437526
2015-08-24,49.13,52.53,47.1,50.34,37766989
2015-08-25,52.7,52.75,49.88,49.88,27809203
2015-08-26,51.41,52.38,50.25,52.28,30721887
2015-08-27,53.19,53.62,52.35,53.44,26467336
2015-08-28,53.09,53.56,52.82,53.28,17205353
2015-08-31,53.13,53.66,52.72,53.48,20629022
2015-09-01,52.4,52.4,50.29,50.94,28621585
2015-09-02,51.81,52.03,50.99,51.75,17515830
2015-09-03,51.96,52.71,51.59,51.79,15708685
2015-09-04,51.13,51.3,50.12,50.59,19054523
2015-09-08,51.4,51.88,51.02,51.65,17160164
2015-09-09,52.4,52.62,50.73,50.88,16930921
2015-09-10,50.56,51.5,50.29,51.07,17467020
2015-09-11,51.01,51.15,50.63,51.1,12001784
2015-09-14,51.08,51.18,50.68,50.98,11426957
2015-09-15,51.18,52.29,51.06,52.0,17858941
2015-09-16,52.26,52.71,51.79,52.59,17369472
2015-09-17,52.61,53.0,51.38,51.65,24075192
2015-09-18,50.7,50.84,50.11,50.29,33404568
2015-09-21,50.82,51.1,50.36,50.71,14936595
2015-09-22,49.95,50.45,49.86,50.38,19610639
2015-09-23,50.4,50.65,49.95,50.12,13680224
2015-09-24,49.66,49.75,48.75,49.13,32241013
2015-09-25,50.17,50.72,49.87,50.55,22341773
2015-09-28,50.63,50.7,48.95,49.03,21919777
2015-09-29,49.05,49.45,48.47,49.0,16485029
2015-09-30,49.81,49.84,48.9,49.61,17628957
2015-10-01,49.42,50.0,49.22,49.89,16291039
2015-10-02,48.51,49.88,47.71,49.88,27320857
2015-10-05,50.4,51.34,50.34,51.16,14881154
