date,open,high,low,close,volume
2015-03-27,25.0,25.2,25.0,25.0,1922069
2015-03-30,25.04,25.08,25.0,25.01,53764
2015-03-31,25.03,25.07,25.01,25.01,81886
2015-04-01,25.09,25.09,25.01,25.01,17920
2015-04-02,25.05,25.23,25.01,25.19,36592
2015-04-06,25.07,25.24,25.07,25.23,14700
2015-04-07,25.2,25.39,25.15,25.35,41203
2015-04-08,25.2,25.28,25.17,25.25,19678
2015-04-09,25.29,25.37,25.19,25.29,39102
2015-04-10,25.4,25.4,25.1,25.16,23271
2015-04-13,25.3,25.3,25.07,25.1,29143
2015-04-14,25.19,25.23,25.08,25.1,21357
2015-04-15,25.19,25.19,25.07,25.16,14054
2015-04-16,25.24,25.29,25.13,25.28,21576
2015-04-17,25.34,25.34,25.26,25.3,19263
2015-04-20,25.3,25.37,25.28,25.37,30103
2015-04-21,25.18,25.39,25.18,25.18,23958
2015-04-22,25.48,25.59,25.22,25.36,23204
2015-04-23,25.44,25.49,25.25,25.49,23269
2015-04-24,25.5,25.62,25.37,25.55,26295
2015-04-27,25.51,25.65,25.26,25.26,48355
2015-04-28,25.25,25.63,25.06,25.44,150524
2015-04-29,25.5,25.98,25.12,25.17,322650
2015-04-30,25.5,25.72,25.05,25.47,277276
2015-05-01,25.3,25.43,25.13,25.16,14645
2015-05-04,25.0,25.05,25.0,25.0,546896
2015-05-05,25.0,25.01,25.0,25.0,139986
2015-05-06,25.0,25.11,25.0,25.0,105529
2015-05-07,25.13,25.15,25.0,25.05,48134
2015-05-08,25.03,25.1,25.0,25.0,96707
2015-05-11,24.56,24.77,23.96,24.28,153012
2015-05-12,24.5,24.5,24.0,24.44,49417
2015-05-13,24.45,24.71,24.36,24.71,37054
2015-05-14,24.9,24.9,24.58,24.84,57263
2015-05-15,24.9,24.9,24.52,24.55,22965
2015-05-18,24.56,24.86,24.05,24.85,190645
2015-05-19,24.75,25.05,24.24,24.56,360454
2015-05-20,24.6,24.93,24.36,24.42,120125
2015-05-21,24.85,24.85,24.01,24.39,70641
2015-05-22,24.34,24.69,23.67,24.42,179618
2015-05-26,24.32,24.69,24.12,24.56,221397
2015-05-27,24.54,24.66,24.25,24.28,137713
2015-05-28,24.25,24.6,24.25,24.3,33956
2015-05-29,24.25,24.4,23.85,24.0,45755
2015-06-01,23.95,24.44,23.92,24.42,31542
2015-06-02,24.59,24.59,24.11,24.2,39774
2015-06-03,24.52,24.54,24.16,24.21,37285
2015-06-04,24.69,24.69,24.1,24.27,35624
2015-06-05,24.51,24.68,24.2,24.45,85643
2015-06-08,24.69,24.69,24.02,24.04,41671
2015-06-09,24.07,24.07,21.16,23.02,164158
