date,open,high,low,close,volume
2015-02-17,41.95,43.98,41.92,43.41,61140
2015-02-18,43.9,44.25,42.97,43.53,15203
2015-02-19,43.52,43.55,42.18,42.78,10141
2015-02-20,42.92,43.45,42.5,42.86,12572
2015-02-23,42.84,43.03,42.3,42.65,11145
2015-02-24,42.6,43.55,42.6,43.39,5579
2015-02-25,43.4,43.77,42.19,42.53,21525
2015-02-26,42.95,43.72,42.85,43.33,5831
2015-02-27,43.33,43.42,43.07,43.07,8073
2015-03-02,43.99,43.99,42.4,42.88,8047
2015-03-03,42.47,43.0,42.4,42.41,8515
2015-03-04,42.96,42.96,41.2,41.49,6516
2015-03-05,42.33,42.51,41.22,41.61,4432
2015-03-06,41.17,42.3,40.99,41.0,4834
2015-03-09,41.45,41.97,40.75,41.25,8493
2015-03-10,41.25,41.93,40.61,40.65,6541
2015-03-11,40.3,40.8,39.74,39.74,8708
2015-03-12,40.23,40.85,40.01,40.56,4367
2015-03-13,40.38,41.3,39.95,40.9,3173
2015-03-16,41.09,41.09,39.58,40.5,8142
2015-03-17,40.31,41.1,39.45,40.49,5606
2015-03-18,40.88,42.42,40.06,42.42,11038
2015-03-19,42.42,42.92,41.8,42.91,3849
2015-03-20,43.0,43.0,41.45,42.97,18564
2015-03-23,42.75,43.0,42.4,42.44,7101
2015-03-24,42.9,43.47,42.75,42.9,9346
2015-03-25,43.0,43.11,42.25,42.25,4883
2015-03-26,42.12,43.24,42.12,42.16,2604
2015-03-27,42.41,43.14,42.41,43.14,4327
2015-03-30,43.25,43.74,43.01,43.68,7652
2015-03-31,43.58,43.74,43.58,43.73,4434
2015-04-01,43.48,43.5,43.41,43.49,3658
2015-04-02,43.5,43.5,42.62,43.36,3787
2015-04-06,42.75,43.5,42.75,42.89,3776
2015-04-07,43.09,43.5,43.0,43.5,3589
2015-04-08,43.18,43.91,42.25,43.62,16101
2015-04-09,43.7,43.77,43.05,43.5,3694
2015-04-10,43.76,43.76,42.64,43.41,5585
2015-04-13,43.5,43.8,43.1,43.8,4730
2015-04-14,43.76,43.76,42.57,42.76,4077
2015-04-15,43.33,43.45,42.7,42.95,12995
2015-04-16,42.33,43.25,42.07,42.64,12935
2015-04-17,42.44,42.44,41.55,41.55,4902
2015-04-20,41.8,43.01,41.65,42.79,5114
2015-04-21,43.47,43.47,42.19,42.19,1660
2015-04-22,42.49,42.49,41.93,42.32,3661
2015-04-23,41.81,42.87,41.81,42.42,1860
2015-04-24,41.82,43.25,41.82,43.25,4004
2015-04-27,42.95,43.3,41.6,41.71,7249
2015-04-28,42.17,42.33,40.76,40.77,11546
2015-04-29,40.8,40.8,38.14,38.2,13040
2015-04-30,38.25,38.32,35.61,35.81,30782
2015-05-01,38.13,38.5,37.5,38.45,31027
2015-05-04,38.4,38.45,37.29,37.84,25259
2015-05-05,37.31,37.53,36.0,36.06,7157
2015-05-06,36.15,37.0,35.46,36.63,22159
2015-05-07,37.0,38.6,37.0,38.51,18391
2015-05-08,38.91,39.43,38.29,39.19,18216
2015-05-11,39.06,40.5,39.02,40.49,6085
2015-05-12,40.39,40.39,38.52,38.95,10672
2015-05-13,39.21,39.86,39.02,39.18,9546
2015-05-14,39.54,39.7,38.07,39.7,10911
2015-05-15,39.43,39.56,38.01,38.08,11513
2015-05-18,38.08,38.72,37.11,38.22,12268
2015-05-19,37.88,38.59,37.32,38.28,9738
2015-05-20,38.43,39.3,38.36,38.4,4813
2015-05-21,38.58,38.79,38.2,38.5,5494
2015-05-22,38.02,38.15,37.33,37.66,6862
2015-05-26,36.5,38.0,36.4,36.98,15662
2015-05-27,37.4,38.57,37.4,38.57,12049
2015-05-28,38.5,39.86,37.26,38.93,10314
2015-05-29,38.8,41.35,38.8,40.73,12370
2015-06-01,40.74,41.25,39.77,40.64,12107
2015-06-02,40.62,40.72,39.07,39.52,7378
2015-06-03,39.5,40.25,39.49,40.19,6127
2015-06-04,40.24,40.24,39.53,39.7,2567
2015-06-05,39.53,39.61,38.8,39.55,2181
2015-06-08,39.66,40.73,39.61,39.8,2864
2015-06-09,39.7,40.75,39.59,39.59,1382
2015-06-10,40.35,40.92,39.65,40.81,5940
2015-06-11,40.3,40.78,40.01,40.37,2014
2015-06-12,40.24,41.0,40.07,40.43,7844
2015-06-15,40.53,40.59,38.51,39.34,5855
2015-06-16,39.41,39.5,38.56,38.98,4958
2015-06-17,39.45,39.65,39.26,39.65,2068
2015-06-18,39.86,40.02,38.99,40.02,9901
2015-06-19,39.03,39.38,38.52,38.52,14407
2015-06-22,38.49,40.99,38.49,40.92,10523
2015-06-23,40.6,41.05,39.94,40.98,10011
2015-06-24,40.8,40.8,39.37,39.37,7635
2015-06-25,39.69,41.47,39.18,40.78,11115
2015-06-26,41.0,41.49,39.46,40.86,25115
2015-06-29,40.78,40.78,39.01,39.01,7692
2015-06-30,39.3,40.37,39.3,39.75,8171
2015-07-01,39.52,40.24,39.5,40.02,8384
2015-07-02,40.05,40.73,39.41,40.41,4299
2015-07-06,40.41,41.5,39.9,40.63,7233
