date,open,high,low,close,volume
2015-02-20,1.67,1.73,1.67,1.73,2031
2015-02-23,1.84,1.84,1.61,1.67,3150
2015-02-24,1.88,2.05,1.83,1.9,13088
2015-02-25,1.91,2.06,1.91,2.06,4800
2015-02-26,2.05,2.05,1.77,1.9,4431
2015-02-27,2.04,2.04,1.72,1.87,1050
2015-03-02,1.9,2.04,1.87,1.9,2790
2015-03-03,2.03,2.03,1.83,1.85,3722
2015-03-04,2.03,2.06,1.88,1.94,3300
2015-03-05,2.25,2.25,1.97,2.01,14550
2015-03-06,1.88,1.99,1.75,1.77,6347
2015-03-09,2.08,2.08,1.79,1.98,1467
2015-03-10,0.0,0.0,0.0,1.98,0
2015-03-11,0.0,0.0,0.0,1.98,0
2015-03-12,2.03,2.03,1.79,1.93,4769
2015-03-13,0.0,0.0,0.0,1.93,0
2015-03-16,1.81,1.88,1.81,1.88,615
2015-03-17,1.99,2.0,1.9,1.9,1500
2015-03-18,0.0,0.0,0.0,1.9,0
2015-03-19,0.0,0.0,0.0,1.9,0
2015-03-20,1.82,2.01,1.79,1.9,3407
2015-03-23,1.89,1.89,1.83,1.83,3104
2015-03-24,1.75,1.83,1.75,1.79,2313
2015-03-25,0.0,0.0,0.0,1.79,0
2015-03-26,1.99,1.99,1.69,1.8,750
2015-03-27,1.9,2.57,1.74,2.35,167587
2015-03-30,2.45,2.94,2.2,2.29,255598
2015-03-31,2.19,2.3,1.93,1.94,61530
2015-04-01,1.95,2.03,1.82,1.85,31899
2015-04-02,1.85,1.87,1.77,1.87,15945
2015-04-06,1.99,1.99,1.8,1.85,4521
2015-04-07,1.8,1.83,1.8,1.83,1881
2015-04-08,1.84,2.15,1.84,1.98,15660
2015-04-09,2.03,2.03,1.89,1.97,5277
2015-04-10,2.07,2.5,2.02,2.17,90640
2015-04-13,2.17,2.17,1.96,2.0,15024
2015-04-14,1.91,2.17,1.91,2.17,4841
2015-04-15,2.22,2.25,1.95,2.05,14482
2015-04-16,2.0,2.18,1.97,2.05,25470
2015-04-17,1.99,2.0,1.91,1.91,11037
2015-04-20,2.17,2.17,1.95,1.95,6429
2015-04-21,1.95,2.08,1.94,1.99,5145
2015-04-22,1.97,1.99,1.93,1.93,2207
2015-04-23,1.94,2.03,1.94,2.0,3839
2015-04-24,2.1,2.1,1.97,2.01,3945
2015-04-27,1.98,1.98,1.95,1.97,7965
2015-04-28,1.97,1.99,1.97,1.99,738
2015-04-29,1.95,1.99,1.94,1.99,1472
2015-04-30,1.95,1.97,1.95,1.97,2379
2015-05-01,1.95,1.97,1.94,1.94,17907
2015-05-04,0.0,0.0,0.0,1.94,78
2015-05-05,1.93,1.93,1.9,1.92,2397
2015-05-06,1.98,1.98,1.92,1.92,2723
2015-05-07,1.89,1.89,1.8,1.86,6842
2015-05-08,1.9,1.91,1.9,1.91,2306
2015-05-11,1.84,1.93,1.84,1.93,1614
2015-05-12,1.87,1.87,1.87,1.87,150
2015-05-13,1.9,1.93,1.83,1.87,13620
2015-05-14,1.82,1.87,1.82,1.87,5741
2015-05-15,1.8,1.86,1.8,1.86,1200
2015-05-18,1.81,1.81,1.81,1.81,521
2015-05-19,1.78,1.81,1.74,1.76,13119
2015-05-20,1.73,1.83,1.73,1.83,1988
2015-05-21,1.81,1.85,1.8,1.8,1349
2015-05-22,1.74,1.77,1.61,1.7,23448
2015-05-26,1.74,1.74,1.73,1.73,450
2015-05-27,1.69,1.76,1.69,1.76,1169
2015-05-28,1.69,1.79,1.69,1.7,5219
2015-05-29,1.69,1.71,1.69,1.69,1050
2015-06-01,1.67,1.67,1.67,1.67,1665
2015-06-02,1.65,1.72,1.63,1.67,12150
2015-06-03,1.71,1.72,1.7,1.71,1955
2015-06-04,1.71,1.71,1.69,1.7,1355
2015-06-05,0.0,0.0,0.0,1.7,2
2015-06-08,0.0,0.0,0.0,1.7,0
2015-06-09,0.0,0.0,0.0,1.7,114
2015-06-10,1.71,1.81,1.71,1.76,7286
2015-06-11,1.77,1.91,1.77,1.89,11108
2015-06-12,1.83,1.83,1.77,1.82,6258
2015-06-15,1.76,1.89,1.76,1.87,2715
2015-06-16,1.81,1.88,1.81,1.88,1808
2015-06-17,1.83,1.83,1.83,1.83,150
2015-06-18,0.0,0.0,0.0,1.83,0
2015-06-19,1.77,1.83,1.77,1.82,1812
2015-06-22,1.75,1.77,1.75,1.77,1808
2015-06-23,1.77,1.77,1.77,1.77,158
2015-06-24,1.77,1.77,1.77,1.77,306
2015-06-25,1.75,1.75,1.75,1.75,150
2015-06-26,1.75,1.75,1.75,1.75,215
2015-06-29,1.77,1.93,1.77,1.81,5805
2015-06-30,1.76,1.82,1.74,1.81,1617
2015-07-01,1.73,1.73,1.73,1.73,240
2015-07-02,1.8,1.8,1.71,1.71,1715
2015-07-06,1.73,1.73,1.73,1.73,180
2015-07-07,1.7,1.73,1.55,1.73,15603
2015-07-08,0.0,0.0,0.0,1.73,0
2015-07-09,0.0,0.0,0.0,1.73,0
2015-07-10,1.7,1.74,1.66,1.66,1500
2015-07-13,1.69,1.69,1.69,1.69,2048
2015-07-14,0.0,0.0,0.0,1.69,75
2015-07-15,0.0,0.0,0.0,1.69,150
2015-07-16,1.8,2.0,1.61,1.72,141567
2015-07-17,1.77,1.89,1.67,1.85,9335
2015-07-20,1.9,1.9,1.72,1.77,6941
2015-07-21,1.9,1.9,1.77,1.77,900
2015-07-22,1.77,1.77,1.77,1.77,2162
2015-07-23,1.75,1.75,1.69,1.7,2943
2015-07-24,1.89,1.89,1.69,1.77,1116
