date,open,high,low,close,volume
2015-02-13,16.98,17.13,16.89,17.02,964200
2015-02-17,16.97,17.04,16.71,16.79,918614
2015-02-18,16.71,16.78,16.4,16.45,919536
2015-02-19,16.31,16.76,16.27,16.62,880812
2015-02-20,16.51,16.59,16.14,16.39,1350925
2015-02-23,16.35,16.51,16.23,16.46,548110
2015-02-24,16.49,16.77,16.47,16.49,623375
2015-02-25,16.44,16.56,16.27,16.42,572919
2015-02-26,16.38,16.48,16.22,16.35,626662
2015-02-27,16.36,16.46,16.26,16.26,903726
2015-03-02,16.25,16.43,16.15,16.3,971830
2015-03-03,16.22,16.38,16.2,16.29,940924
2015-03-04,16.21,16.38,16.06,16.32,1008247
2015-03-05,16.33,16.69,16.23,16.6,1436836
2015-03-06,16.55,17.2,16.55,16.93,2713402
2015-03-09,16.97,16.97,16.47,16.76,1464557
2015-03-10,16.53,16.55,16.02,16.03,1400385
2015-03-11,16.06,16.75,15.98,16.73,1530566
2015-03-12,16.91,17.05,16.79,17.0,1057142
2015-03-13,16.97,17.1,16.65,17.08,1215648
2015-03-16,17.14,17.47,16.96,17.42,1639144
2015-03-17,17.31,17.53,17.25,17.4,1078808
2015-03-18,17.31,17.43,17.17,17.3,1373601
2015-03-19,17.27,17.33,16.91,17.09,821931
2015-03-20,17.18,17.44,17.04,17.39,1559657
2015-03-23,17.39,17.54,17.27,17.46,1210816
2015-03-24,17.43,17.49,17.26,17.28,777894
2015-03-25,17.29,17.39,16.96,16.99,813984
2015-03-26,16.98,17.12,16.82,17.05,1362513
2015-03-27,17.02,17.05,16.84,16.94,702716
2015-03-30,17.0,17.38,16.95,17.24,690997
2015-03-31,17.11,17.28,17.03,17.22,792044
2015-04-01,17.19,17.28,16.94,17.13,994125
2015-04-02,17.95,18.08,17.55,17.79,11150443
2015-04-06,17.63,17.92,17.54,17.81,25123546
2015-04-07,17.77,17.8,17.45,17.49,3074369
2015-04-08,17.5,17.58,17.34,17.54,1931906
2015-04-09,17.51,18.0,17.48,17.97,1602835
2015-04-10,17.97,18.0,17.52,17.72,1647470
2015-04-13,17.67,17.8,17.54,17.7,1171940
2015-04-14,17.66,17.77,17.43,17.58,1666971
2015-04-15,17.58,17.82,17.54,17.72,1182949
2015-04-16,17.66,17.77,17.58,17.74,1062121
2015-04-17,17.54,17.57,17.29,17.47,1648829
2015-04-20,17.52,17.87,17.48,17.83,1432283
2015-04-21,17.9,17.96,17.73,17.92,1685756
2015-04-22,17.91,18.09,17.73,17.99,2204873
2015-04-23,17.9,18.18,17.78,18.11,1677577
2015-04-24,18.1,18.12,17.79,17.79,1383188
2015-04-27,17.82,17.84,17.39,17.55,1679756
2015-04-28,17.52,17.96,17.48,17.94,1502054
2015-04-29,17.87,18.2,17.84,17.99,1608664
2015-04-30,17.13,17.7,16.87,17.0,3102793
2015-05-01,17.1,17.46,17.03,17.41,2669427
2015-05-04,17.45,17.69,17.42,17.57,1444105
2015-05-05,17.5,17.7,17.41,17.53,1538536
2015-05-06,17.64,17.7,17.44,17.69,1314771
2015-05-07,17.66,17.98,17.59,17.84,1505315
2015-05-08,17.94,18.02,17.76,18.0,1118012
2015-05-11,18.05,18.56,18.03,18.47,2292109
2015-05-12,18.4,18.67,18.26,18.62,2746270
2015-05-13,18.6,18.68,18.44,18.44,1116768
2015-05-14,18.54,18.62,18.33,18.36,1259877
2015-05-15,18.36,18.47,18.09,18.14,1296846
2015-05-18,18.15,18.36,18.09,18.31,1488608
2015-05-19,18.36,18.47,18.27,18.38,1137757
2015-05-20,18.4,18.46,18.18,18.19,1603996
2015-05-21,18.13,18.57,18.1,18.36,2092270
2015-05-22,18.32,18.45,18.24,18.3,1191433
2015-05-26,18.23,18.25,17.87,17.89,940379
2015-05-27,17.92,18.26,17.9,18.22,1318881
2015-05-28,18.19,18.2,17.99,18.13,1548299
2015-05-29,18.08,18.12,17.84,18.0,1207867
2015-06-01,18.06,18.18,17.73,17.88,1607398
2015-06-02,17.88,18.28,17.81,18.21,1261513
2015-06-03,18.31,18.56,18.16,18.38,1481868
2015-06-04,18.24,18.43,18.17,18.19,945525
2015-06-05,18.32,18.41,18.11,18.28,1586623
2015-06-08,18.15,18.27,17.98,17.99,973256
2015-06-09,17.99,18.2,17.87,18.09,1300192
2015-06-10,18.27,18.66,18.21,18.55,1790953
2015-06-11,18.57,18.78,18.52,18.76,1513775
2015-06-12,18.62,18.86,18.61,18.81,934853
2015-06-15,18.55,18.76,18.4,18.42,1524187
2015-06-16,18.37,18.71,18.34,18.65,1219532
2015-06-17,18.75,18.86,18.53,18.57,1028641
2015-06-18,18.65,18.86,18.56,18.78,1381225
2015-06-19,18.94,19.32,18.7,19.3,5381568
2015-06-22,19.42,19.49,19.05,19.26,1817648
2015-06-23,19.34,19.35,18.97,19.32,1672814
2015-06-24,19.32,19.38,19.12,19.16,1345180
2015-06-25,19.04,19.17,18.81,18.82,2497412
2015-06-26,18.93,19.01,18.78,18.93,3228339
2015-06-29,18.66,18.89,18.17,18.19,1776685
2015-06-30,18.43,18.59,18.23,18.35,1735076
2015-07-01,18.65,18.8,18.34,18.38,1825026
2015-07-02,18.38,18.44,18.21,18.33,1091428
2015-07-06,18.06,18.41,18.06,18.19,1199843
2015-07-07,18.18,18.33,17.79,18.29,1320957
2015-07-08,18.09,18.21,17.65,17.79,2345555
2015-07-09,18.08,18.24,17.97,18.02,1158222
2015-07-10,18.35,18.5,18.12,18.36,1045301
2015-07-13,18.55,18.69,18.42,18.6,992654
2015-07-14,18.5,18.69,18.31,18.66,724365
2015-07-15,18.74,18.81,18.51,18.76,766902
2015-07-16,18.97,19.15,18.83,19.0,960839
2015-07-17,18.97,18.97,18.79,18.93,731861
