date,open,high,low,close,volume
2015-02-17,33.73,34.0,33.53,33.93,243758
2015-02-18,33.8,34.41,33.74,34.34,100192
2015-02-19,34.34,34.84,33.95,34.63,112864
2015-02-20,34.67,34.83,34.09,34.67,157604
2015-02-23,34.78,35.39,34.67,35.08,217370
2015-02-24,35.08,35.35,34.77,34.85,235426
2015-02-25,34.91,35.07,34.59,35.0,201584
2015-02-26,34.9,35.76,34.73,35.68,252802
2015-02-27,35.43,35.72,35.07,35.16,357808
2015-03-02,34.3,34.74,29.88,32.15,1748664
2015-03-03,31.95,31.95,30.87,31.65,841474
2015-03-04,31.44,31.57,30.48,30.55,554982
2015-03-05,30.42,30.61,29.5,29.62,667802
2015-03-06,29.35,29.9,29.34,29.77,480468
2015-03-09,29.63,30.24,29.47,30.17,569016
2015-03-10,29.95,30.15,29.07,29.26,454840
2015-03-11,29.0,29.54,29.0,29.45,299254
2015-03-12,29.74,30.75,29.74,30.56,435260
2015-03-13,30.63,30.8,30.01,30.47,365838
2015-03-16,30.77,31.92,30.68,31.81,510964
2015-03-17,31.85,32.05,31.35,31.78,437524
2015-03-18,31.77,32.58,31.56,32.25,463516
2015-03-19,32.03,32.55,32.03,32.53,354028
2015-03-20,33.1,33.17,32.44,32.62,1113642
2015-03-23,32.7,32.83,31.84,32.01,449130
2015-03-24,32.03,32.34,31.84,32.32,420248
2015-03-25,32.44,32.46,32.0,32.13,630794
2015-03-26,32.14,32.55,31.98,32.14,484920
2015-03-27,32.15,32.61,31.97,32.3,412396
2015-03-30,32.38,32.6,32.08,32.19,251704
2015-03-31,32.03,32.34,31.66,32.16,300844
2015-04-01,32.02,32.37,31.71,32.22,337612
2015-04-02,32.19,33.35,32.19,32.72,317242
2015-04-06,32.63,33.04,32.16,32.24,219196
2015-04-07,32.32,32.59,32.05,32.17,304142
2015-04-08,32.24,32.63,32.1,32.46,281478
2015-04-09,32.48,32.69,31.89,32.24,277344
2015-04-10,32.45,32.46,32.15,32.3,264002
2015-04-13,32.19,32.23,29.06,29.23,1228854
2015-04-14,29.19,29.45,28.66,28.99,683050
2015-04-15,29.17,29.35,27.84,28.58,681932
2015-04-16,28.48,28.82,28.37,28.58,648016
2015-04-17,28.24,28.55,27.4,27.81,817782
2015-04-20,27.75,28.83,27.75,28.18,390132
2015-04-21,28.21,28.58,27.93,28.14,294550
2015-04-22,28.19,28.23,27.21,27.71,349114
2015-04-23,27.74,28.25,27.59,28.12,287618
2015-04-24,28.06,28.15,27.72,27.89,234810
2015-04-27,27.87,28.28,27.09,27.3,223836
2015-04-28,27.36,27.71,27.21,27.42,252124
2015-04-29,27.36,27.46,26.84,26.87,224870
2015-04-30,26.62,26.85,26.06,26.36,298678
2015-05-01,26.41,26.81,26.31,26.75,275438
2015-05-04,26.66,27.17,26.64,26.75,227862
2015-05-05,26.68,26.78,26.2,26.31,341156
2015-05-06,26.47,26.71,26.28,26.7,248074
2015-05-07,29.77,31.53,28.81,29.53,867116
2015-05-08,29.62,29.68,26.74,27.13,936796
2015-05-11,27.19,27.45,26.61,26.94,269616
2015-05-12,26.73,27.0,26.19,26.73,279332
