date,open,high,low,close,volume
2019-07-25,20.0,21.99,17.11,21.4,2156379
2019-07-26,21.5,24.75,21.5,22.99,509163
2019-07-29,22.97,24.52,22.84,23.99,368116
2019-07-30,23.93,23.93,21.02,22.81,122112
2019-07-31,22.95,22.95,19.64,19.65,294470
2019-08-01,19.81,21.98,19.81,21.95,149195
2019-08-02,21.77,22.59,21.25,21.81,85101
2019-08-05,21.67,21.91,20.0,20.99,116173
2019-08-06,20.99,22.16,20.65,21.43,38788
2019-08-07,21.81,21.99,19.56,19.9,183957
2019-08-08,19.42,20.49,19.05,19.56,87420
2019-08-09,19.2,21.81,19.16,21.51,48537
2019-08-12,21.45,21.45,20.25,20.76,73006
2019-08-13,20.88,21.91,20.57,21.47,68952
2019-08-14,21.25,21.59,19.87,21.45,54327
2019-08-15,21.28,21.59,20.19,20.5,65796
2019-08-16,20.51,20.72,19.57,20.25,45178
2019-08-19,20.4,21.25,18.68,19.5,182600
2019-08-20,19.14,19.41,18.64,18.92,61915
2019-08-21,19.0,20.59,18.55,19.93,133652
2019-08-22,20.95,23.1,20.94,22.75,326799
2019-08-23,22.61,24.0,21.93,23.5,149803
2019-08-26,23.76,24.62,23.46,24.0,162704
2019-08-27,24.0,25.47,23.2,25.16,115424
2019-08-28,25.4,26.6,24.92,25.0,268771
2019-08-29,25.41,25.9,24.05,25.73,116944
2019-08-30,25.65,28.05,25.31,27.92,129684
2019-09-03,28.13,28.5,26.47,27.91,166660
2019-09-04,27.99,28.1,25.65,25.98,217984
2019-09-05,25.94,26.59,25.39,25.85,133173
2019-09-06,25.95,26.11,24.52,25.41,51798
2019-09-09,25.39,25.39,22.21,22.5,82008
2019-09-10,22.14,23.94,20.98,22.03,83417
2019-09-11,22.03,22.64,21.38,21.68,104164
2019-09-12,21.77,22.59,21.03,22.17,48649
2019-09-13,22.06,22.38,21.71,22.03,50026
2019-09-16,21.78,22.03,21.16,21.36,164203
2019-09-17,21.35,22.8,20.26,22.17,170063
2019-09-18,22.31,23.04,21.49,22.49,77298
2019-09-19,22.64,23.89,21.75,22.94,178993
2019-09-20,22.96,24.16,22.6,23.0,695552
2019-09-23,22.72,23.97,22.21,23.36,83442
2019-09-24,23.45,23.45,19.95,20.25,177723
2019-09-25,20.17,21.37,18.29,19.61,177160
2019-09-26,19.54,20.11,19.0,19.92,113142
2019-09-27,19.87,20.1,17.93,18.45,179377
2019-09-30,18.51,18.51,17.1,18.09,151833
2019-10-01,18.13,18.26,17.47,17.75,161971
2019-10-02,17.63,18.71,16.78,18.34,97285
2019-10-03,18.26,18.59,17.68,18.49,63745
2019-10-04,18.57,20.01,18.3,19.0,116527
2019-10-07,19.07,19.95,18.24,18.64,41659
2019-10-08,18.48,18.84,17.79,18.62,49349
2019-10-09,18.62,19.61,18.28,19.03,75285
2019-10-10,19.3,20.11,19.11,19.88,97079
2019-10-11,20.05,20.08,19.48,19.67,100837
2019-10-14,19.71,20.2,18.9,19.91,74986
2019-10-15,20.01,20.07,18.92,19.35,69692
2019-10-16,19.17,19.92,18.23,19.76,91120
2019-10-17,19.95,20.37,19.54,19.87,65199
2019-10-18,19.6,20.38,18.26,18.74,102322
2019-10-21,19.02,19.5,18.53,18.91,101702
2019-10-22,19.6,19.6,16.09,16.67,154923
2019-10-23,16.62,16.95,15.35,15.74,214822
2019-10-24,15.85,17.11,15.26,16.92,266633
2019-10-25,16.86,18.5,16.56,18.11,156462
2019-10-28,18.12,18.91,17.35,18.04,108960
2019-10-29,17.88,21.56,17.7,20.05,199494
2019-10-30,20.23,22.49,19.66,21.71,181503
2019-10-31,21.88,23.98,21.32,23.54,64177
2019-11-01,23.77,23.77,22.22,22.77,90992
2019-11-04,22.8,22.9,21.51,22.25,60216
2019-11-05,21.91,22.29,21.0,21.93,62555
2019-11-06,21.92,22.15,21.39,21.84,51932
2019-11-07,21.65,21.97,21.11,21.3,127198
2019-11-08,21.15,22.18,20.98,22.08,74165
2019-11-11,21.57,22.61,21.34,21.81,115563
2019-11-12,24.0,26.15,23.25,26.09,442688
2019-11-13,26.44,27.81,24.34,26.17,205855
2019-11-14,26.0,28.79,25.53,28.44,117487
2019-11-15,28.49,30.27,28.1,28.76,216530
2019-11-18,29.15,29.75,27.79,28.81,80348
2019-11-19,28.85,29.31,27.84,28.17,92551
2019-11-20,28.25,29.75,27.86,28.42,123390
2019-11-21,28.17,28.6,25.97,26.83,111063
2019-11-22,27.0,27.01,25.73,26.79,50243
2019-11-25,26.45,27.77,25.95,27.54,111539
2019-11-26,27.58,27.96,26.72,27.21,72785
2019-11-27,27.16,28.05,26.8,27.05,65207
2019-11-29,26.88,27.36,25.79,26.93,43011
2019-12-02,26.95,27.52,26.23,27.07,52160
2019-12-03,26.79,29.16,25.73,28.86,107979
2019-12-04,28.86,29.22,28.54,29.09,67706
2019-12-05,29.34,29.95,29.23,29.43,114367
2019-12-06,29.5,31.16,29.3,30.32,111863
2019-12-09,30.41,30.6,28.57,28.66,102154
2019-12-10,28.8,29.5,28.17,29.34,88169
2019-12-11,29.45,29.57,29.08,29.35,61092
2019-12-12,29.41,29.65,25.8,26.94,127779
2019-12-13,26.86,29.77,26.45,29.5,92483
2019-12-16,29.5,29.52,27.5,27.62,112256
2019-12-17,27.63,28.41,24.81,25.75,131454
2019-12-18,25.72,27.94,24.85,27.23,67337
2019-12-19,27.23,27.62,26.74,27.01,53737
2019-12-20,27.2,29.84,27.2,29.32,349499
2019-12-23,29.5,30.84,28.84,30.0,172664
2019-12-24,30.0,30.11,28.7,29.44,34918
2019-12-26,29.67,30.41,28.14,28.59,65269
2019-12-27,28.84,39.77,28.84,33.99,272021
2019-12-30,34.93,37.5,33.7,35.04,134189
2019-12-31,35.04,35.15,32.35,34.37,74382
