date,open,high,low,close,volume
2015-02-13,61.46,61.58,59.51,59.94,22140
2015-02-17,59.63,60.83,58.79,60.05,8079
2015-02-18,60.0,60.53,59.0,59.05,6015
2015-02-19,59.27,60.4,59.05,59.51,16718
2015-02-20,59.68,60.05,59.0,59.15,14597
2015-02-23,58.98,59.93,58.98,59.93,14928
2015-02-24,59.62,59.91,59.0,59.34,12239
2015-02-25,59.0,59.98,57.25,58.11,12215
2015-02-26,58.4,59.45,58.16,58.91,10170
2015-02-27,59.0,59.4,58.55,58.83,8543
2015-03-02,59.68,59.68,58.78,58.84,8468
2015-03-03,59.17,59.99,58.86,58.87,10713
2015-03-04,58.43,59.82,58.06,59.29,8083
2015-03-05,57.05,58.0,53.5,54.04,270929
2015-03-06,57.0,57.36,55.05,55.05,67986
2015-03-09,56.95,56.95,54.3,55.0,31833
2015-03-10,54.53,55.0,54.52,54.64,7677
2015-03-11,55.39,55.83,54.88,55.0,11762
2015-03-12,55.83,57.99,55.45,57.98,26139
2015-03-13,58.04,58.99,57.21,57.88,26596
2015-03-16,58.07,59.66,55.55,57.46,59943
2015-03-17,55.6,58.04,55.6,57.67,21049
2015-03-18,57.24,58.53,56.8,57.67,26568
2015-03-19,57.07,57.88,57.0,57.5,9938
2015-03-20,57.31,57.83,57.0,57.83,29314
2015-03-23,57.86,58.54,57.68,58.24,32914
2015-03-24,58.51,58.51,57.25,57.74,33934
2015-03-25,58.12,58.43,57.55,57.55,38647
2015-03-26,58.23,58.45,57.35,57.56,15445
2015-03-27,57.38,58.2,57.27,57.94,16899
2015-03-30,58.4,59.98,58.21,59.92,28372
2015-03-31,59.82,60.48,59.03,59.66,27782
2015-04-01,59.16,59.9,58.08,58.21,12454
2015-04-02,58.27,59.74,58.27,59.42,10170
2015-04-06,58.95,60.0,57.85,59.27,22063
2015-04-07,59.97,59.97,58.56,59.22,8036
2015-04-08,58.83,59.39,58.19,58.89,4580
2015-04-09,58.45,58.78,56.84,57.64,17643
2015-04-10,57.68,58.1,57.0,57.69,9442
2015-04-13,57.15,57.96,56.75,57.49,4150
2015-04-14,57.05,57.56,56.65,56.65,7484
2015-04-15,56.62,57.48,56.62,57.15,12093
2015-04-16,57.48,57.48,57.09,57.09,2587
2015-04-17,56.64,58.2,56.64,56.66,16858
2015-04-20,57.25,57.76,56.05,56.52,15625
2015-04-21,57.0,57.0,56.0,56.0,11617
2015-04-22,56.99,56.99,55.4,55.62,19296
2015-04-23,55.55,56.22,55.55,55.71,16618
2015-04-24,55.71,56.05,55.5,56.05,24512
2015-04-27,55.5,55.92,55.24,55.75,15994
2015-04-28,55.38,55.5,55.19,55.2,8006
2015-04-29,55.23,55.5,54.6,54.63,13870
2015-04-30,55.23,55.51,54.5,54.74,16989
2015-05-01,55.0,55.22,54.56,54.75,9782
2015-05-04,54.79,55.19,54.44,54.44,10628
2015-05-05,54.7,54.79,53.03,53.7,19078
