date,open,high,low,close,volume
2015-02-17,44.38,44.45,43.94,44.34,424001
2015-02-18,44.33,44.49,44.13,44.41,288235
2015-02-19,43.82,44.3,43.72,44.09,263837
2015-02-20,43.98,44.38,43.83,44.31,362795
2015-02-23,43.95,44.0,43.47,43.52,857154
2015-02-24,43.87,44.23,43.6,44.12,662124
2015-02-25,44.0,44.16,43.85,44.05,354164
2015-02-26,44.15,44.32,43.93,44.02,452041
2015-02-27,43.98,44.28,43.91,44.06,300674
2015-03-02,43.9,44.01,43.67,43.74,211984
2015-03-03,43.6,43.74,43.54,43.59,189831
2015-03-04,43.28,43.29,42.72,42.97,383698
2015-03-05,43.17,43.45,42.74,42.87,265107
2015-03-06,42.52,42.57,42.04,42.14,491607
2015-03-09,42.17,42.36,42.02,42.05,266224
2015-03-10,41.36,41.36,40.91,40.91,461613
2015-03-11,41.02,41.2,40.88,41.07,471067
2015-03-12,41.66,41.74,41.25,41.32,301198
2015-03-13,41.01,41.08,40.6,40.77,287072
2015-03-16,41.05,41.17,40.9,41.07,210760
2015-03-17,41.04,41.53,40.95,41.47,293080
2015-03-18,41.56,42.69,41.44,42.59,280046
2015-03-19,42.14,42.17,41.68,41.72,273103
2015-03-20,42.21,42.67,42.15,42.54,423447
2015-03-23,42.52,42.78,42.48,42.69,237499
2015-03-24,42.86,42.94,42.74,42.91,290695
2015-03-25,42.86,42.87,42.3,42.3,310342
2015-03-26,42.34,42.39,41.96,42.04,649850
2015-03-27,42.0,42.09,41.86,41.9,344422
2015-03-30,42.38,42.84,42.38,42.76,279712
2015-03-31,42.44,42.68,42.29,42.5,291068
2015-04-01,43.05,43.32,42.96,43.22,175216
2015-04-02,43.74,44.13,43.6,44.07,303415
2015-04-06,44.4,44.95,44.38,44.68,309660
2015-04-07,44.69,44.78,44.59,44.59,290270
2015-04-08,45.26,45.5,45.16,45.37,223350
2015-04-09,45.7,45.93,45.5,45.9,579569
2015-04-10,45.61,45.78,45.5,45.68,1065489
2015-04-13,46.0,46.18,45.65,45.68,282311
2015-04-14,45.94,46.2,45.74,46.11,518511
2015-04-15,46.43,47.12,46.4,47.07,707050
2015-04-16,47.17,47.69,47.1,47.46,318545
2015-04-17,46.3,46.4,45.93,46.23,883429
2015-04-20,46.32,46.42,46.18,46.22,433202
2015-04-21,46.7,46.8,46.58,46.61,247689
2015-04-22,46.67,46.99,46.6,46.93,375886
2015-04-23,46.85,47.58,46.85,47.5,251945
2015-04-24,47.77,47.97,47.77,47.97,212286
2015-04-27,48.21,48.41,48.09,48.13,332985
2015-04-28,48.28,48.56,48.21,48.4,232925
2015-04-29,47.93,48.11,47.78,47.94,213798
2015-04-30,47.55,47.55,47.28,47.41,263519
2015-05-01,47.63,47.68,47.39,47.65,185111
