date,open,high,low,close,volume
2017-11-09,24.97,24.97,24.91,24.97,762
2017-11-10,25.0,25.0,24.91,24.97,9012
2017-11-13,24.96,24.96,24.92,24.94,1391
2017-11-14,24.9,24.9,24.83,24.83,7716
2017-11-15,24.85,24.85,24.76,24.81,410
2017-11-16,24.81,25.0,24.81,25.0,2220
2017-11-17,24.97,25.01,24.97,24.97,5100
2017-11-20,25.04,25.04,24.98,24.98,7050
2017-11-21,25.07,25.14,25.07,25.12,2688
2017-11-22,25.12,25.14,25.12,25.12,11113
2017-11-24,0.0,0.0,0.0,25.12,0
2017-11-27,25.14,25.14,25.12,25.12,1945
2017-11-28,25.21,25.23,25.21,25.23,1072
2017-11-29,25.59,25.59,25.55,25.55,1202
2017-11-30,25.7,25.83,25.69,25.83,300
2017-12-01,25.75,25.78,25.64,25.64,1552
2017-12-04,25.97,25.97,25.86,25.86,6241
2017-12-05,25.85,25.86,25.85,25.86,2534
2017-12-06,25.7,25.7,25.69,25.69,1084
2017-12-07,25.66,25.73,25.66,25.69,3736
2017-12-08,25.87,25.87,25.8,25.84,6294
2017-12-11,25.9,25.95,25.89,25.94,5836
2017-12-12,25.98,26.06,25.98,26.03,8626
2017-12-13,26.09,26.11,26.07,26.07,4725
2017-12-14,26.08,26.08,25.9,25.9,10001
2017-12-15,26.1,26.19,26.04,26.18,7163
2017-12-18,26.35,26.38,26.31,26.35,32927
2017-12-19,26.31,26.38,26.21,26.38,3942
2017-12-20,26.35,26.35,26.2,26.21,4482
2017-12-21,26.28,26.31,26.22,26.3,4002
2017-12-22,26.28,26.39,26.22,26.39,10370
2017-12-26,26.42,26.42,26.19,26.21,5447
2017-12-27,26.23,26.45,26.23,26.41,5780
2017-12-28,26.33,26.48,26.33,26.36,1797
2017-12-29,0.0,26.36,26.36,26.36,10019
2018-01-02,26.64,26.64,26.15,26.23,34578
2018-01-03,26.25,26.33,26.25,26.33,7717
2018-01-04,26.46,26.53,26.46,26.49,10488
2018-01-05,26.58,26.66,26.56,26.66,4753
2018-01-08,26.7,26.7,26.65,26.66,4801
2018-01-09,26.74,26.87,26.74,26.76,14045
2018-01-10,26.64,26.73,26.61,26.71,4487
2018-01-11,26.81,26.91,26.79,26.91,4720
2018-01-12,27.05,27.15,27.02,27.15,13366
2018-01-16,27.42,27.51,27.05,27.06,11476
2018-01-17,27.04,27.23,27.04,27.23,5680
2018-01-18,27.26,27.26,27.2,27.21,3320
2018-01-19,27.23,27.29,27.22,27.29,3583
2018-01-22,27.37,27.51,27.37,27.45,7612
2018-01-23,27.62,27.74,27.51,27.74,4703
2018-01-24,27.52,27.95,27.51,27.73,11435
2018-01-25,27.97,27.97,27.55,27.55,10872
2018-01-26,27.7,27.83,27.61,27.83,5925
2018-01-29,27.84,28.0,27.7,27.71,15054
2018-01-30,27.56,27.56,27.28,27.36,7034
2018-01-31,27.38,27.38,27.2,27.31,6085
2018-02-01,27.27,27.45,27.2,27.2,4378
2018-02-02,27.06,27.08,26.71,26.73,9358
2018-02-05,26.5,26.65,25.69,25.69,9210
2018-02-06,25.39,26.0,25.15,26.0,5175
2018-02-07,26.17,26.25,26.14,26.16,3230
2018-02-08,25.9,25.92,25.35,25.43,7142
2018-02-09,25.49,25.5,24.73,25.5,9319
2018-02-12,25.79,25.87,25.6,25.7,10069
2018-02-13,25.74,25.84,25.61,25.84,741
2018-02-14,25.75,26.06,25.74,26.06,2331
2018-02-15,26.3,26.33,26.05,26.33,7224
2018-02-16,26.4,26.59,26.4,26.45,10867
2018-02-20,26.17,26.41,26.17,26.3,2832
2018-02-21,26.3,26.44,26.22,26.31,3165
2018-02-22,26.29,26.32,26.1,26.1,1894
2018-02-23,26.28,26.3,26.28,26.3,580
2018-02-26,26.79,26.79,26.05,26.77,15053
2018-02-27,26.93,26.93,26.51,26.51,1626
2018-02-28,26.56,26.59,26.25,26.25,7490
2018-03-01,26.11,26.17,25.73,25.87,4206
2018-03-02,25.76,25.96,25.76,25.96,3021
2018-03-05,26.13,26.26,24.05,26.26,6276
2018-03-06,26.13,26.29,26.13,26.29,7902
2018-03-07,25.86,26.13,25.86,26.1,2352
2018-03-08,26.29,26.29,26.29,26.29,169
2018-03-09,26.42,26.52,26.42,26.52,551
2018-03-12,26.79,26.79,26.63,26.74,4024
2018-03-13,26.78,26.78,26.48,26.5,5644
2018-03-14,26.75,26.75,26.27,26.29,5141
2018-03-15,26.47,26.47,26.29,26.34,2535
2018-03-16,0.0,26.34,26.34,26.34,0
2018-03-19,26.27,26.27,26.0,26.0,4211
2018-03-20,26.06,26.13,26.06,26.12,3394
2018-03-21,26.13,26.2,26.04,26.04,1410
2018-03-22,25.66,25.66,25.25,25.25,2420
2018-03-23,24.1,25.1,24.1,24.75,1729
2018-03-26,24.95,25.26,24.95,25.26,31877
2018-03-27,25.38,25.38,25.17,25.19,3371
2018-03-28,25.1,25.16,25.1,25.16,412
2018-03-29,25.22,25.22,25.22,25.22,379
2018-04-02,25.03,25.03,24.6,24.72,1612
2018-04-03,24.9,25.1,24.9,25.1,2083
2018-04-04,25.08,25.08,25.06,25.07,1833
2018-04-05,25.62,25.62,25.5,25.5,1193
2018-04-06,25.23,25.23,25.07,25.08,1041
2018-04-09,25.2,25.2,25.2,25.2,530
2018-04-10,25.45,25.45,25.39,25.39,2226
2018-04-11,25.38,25.38,25.38,25.38,167
2018-04-12,25.59,25.59,25.5,25.56,1590
2018-04-13,0.0,25.59,25.59,25.59,57
2018-04-16,25.73,25.73,25.73,25.73,111
2018-04-17,25.82,25.82,25.82,25.82,388
2018-04-18,25.97,25.97,25.83,25.85,1652
2018-04-19,25.87,25.87,25.55,25.68,6401
2018-04-20,25.55,25.55,25.48,25.48,963
2018-04-23,25.41,25.42,25.41,25.42,675
2018-04-24,25.59,25.59,25.23,25.23,2234
2018-04-25,25.13,25.26,25.11,25.26,1531
2018-04-26,25.47,25.5,25.47,25.5,1997
2018-04-27,0.0,25.47,25.47,25.47,5035
2018-04-30,25.44,25.65,25.34,25.4,5170
2018-05-01,25.1,25.12,25.1,25.12,1200
2018-05-02,25.17,25.17,25.07,25.07,1634
