date,open,high,low,close,volume
2015-02-23,54.05,54.2,53.93,54.15,265123
2015-02-24,54.19,54.59,54.08,54.51,231745
2015-02-25,54.44,54.61,54.35,54.53,143931
2015-02-26,54.4,54.47,54.17,54.29,147558
2015-02-27,54.32,54.48,54.24,54.29,95903
2015-03-02,54.33,54.39,54.15,54.39,201987
2015-03-03,54.13,54.19,53.86,54.02,216738
2015-03-04,53.74,53.8,53.43,53.76,157730
2015-03-05,54.0,54.07,53.74,53.89,317543
2015-03-06,53.47,53.5,52.96,52.99,224587
2015-03-09,53.14,53.24,52.99,53.09,297734
2015-03-10,52.33,52.33,51.9,51.9,199545
2015-03-11,52.05,52.18,51.84,52.02,220693
2015-03-12,52.59,52.73,52.37,52.61,529265
2015-03-13,52.21,52.27,51.88,52.2,116274
2015-03-16,52.61,52.78,52.51,52.71,628497
2015-03-17,52.55,52.73,52.38,52.66,141942
2015-03-18,52.73,53.86,52.66,53.75,232884
2015-03-19,53.26,53.68,52.97,53.08,137529
2015-03-20,54.0,54.59,53.93,54.41,262400
2015-03-23,54.73,54.86,54.55,54.76,151700
2015-03-24,54.94,54.98,54.69,54.69,143319
2015-03-25,54.91,55.0,54.46,54.52,201198
2015-03-26,54.17,54.36,53.79,54.07,495283
2015-03-27,54.03,54.17,53.86,54.12,108100
2015-03-30,54.12,54.3,54.09,54.18,121448
2015-03-31,53.33,53.53,53.16,53.28,308616
2015-04-01,53.55,53.71,53.3,53.67,142807
2015-04-02,54.01,54.19,53.91,54.1,162463
2015-04-06,54.4,54.96,54.16,54.65,210782
2015-04-07,54.93,55.05,54.62,54.65,205126
2015-04-08,55.11,55.15,54.53,54.73,246842
2015-04-09,54.78,54.78,54.49,54.73,166157
2015-04-10,54.6,54.73,54.49,54.6,1474974
2015-04-13,54.51,54.56,54.21,54.3,632310
2015-04-14,54.64,54.84,54.64,54.82,403830
2015-04-15,55.01,55.19,54.77,55.12,162608
2015-04-16,55.24,55.43,54.96,55.29,190054
2015-04-17,54.71,54.75,54.45,54.69,220542
2015-04-20,54.71,54.95,54.69,54.76,144848
2015-04-21,55.15,55.23,55.02,55.07,167939
2015-04-22,55.11,55.26,54.88,55.23,109704
2015-04-23,55.01,55.59,54.98,55.49,90846
2015-04-24,55.82,55.96,55.58,55.86,154012
2015-04-27,56.16,56.41,56.07,56.14,165219
2015-04-28,56.11,56.33,55.93,56.33,108501
2015-04-29,55.99,56.1,55.71,55.94,274285
2015-04-30,55.57,55.71,55.3,55.38,406330
2015-05-01,55.68,55.88,55.4,55.88,572649
2015-05-04,55.83,55.96,55.71,55.9,223387
2015-05-05,55.65,55.69,54.94,55.02,270123
2015-05-06,55.43,55.44,54.97,55.2,339584
2015-05-07,55.01,55.16,54.76,54.94,203804
2015-05-08,55.52,56.39,55.52,56.32,112735
2015-05-11,56.02,56.09,55.77,55.86,203235
2015-05-12,55.81,56.02,55.64,55.86,154498
2015-05-13,56.41,56.52,56.1,56.28,119966
2015-05-14,56.75,56.85,56.57,56.85,203638
2015-05-15,56.62,56.9,56.51,56.88,192453
2015-05-18,56.53,56.7,56.45,56.62,208067
2015-05-19,56.37,56.5,56.24,56.3,142038
2015-05-20,56.35,56.64,56.26,56.46,288958
2015-05-21,56.59,56.93,56.49,56.78,134575
2015-05-22,56.55,56.55,56.37,56.41,121296
2015-05-26,55.87,55.87,55.24,55.43,209897
2015-05-27,55.38,55.95,55.16,55.87,174037
2015-05-28,55.61,55.77,55.25,55.77,132062
2015-05-29,55.53,55.6,54.96,55.26,1125735
2015-06-01,55.32,55.35,54.76,54.99,262523
2015-06-02,55.26,55.57,55.07,55.23,494489
2015-06-03,55.57,55.98,55.56,55.73,135469
2015-06-04,55.41,55.67,54.86,55.04,214954
2015-06-05,54.34,54.61,54.02,54.43,184327
2015-06-08,54.35,54.36,54.11,54.34,186657
2015-06-09,54.16,54.19,53.8,54.05,132600
2015-06-10,54.62,55.97,54.62,55.13,198037
2015-06-11,55.45,55.47,55.01,55.26,299850
2015-06-12,54.76,54.97,54.48,54.87,207312
2015-06-15,54.33,54.5,54.07,54.5,142586
2015-06-16,54.23,54.45,54.08,54.37,163675
2015-06-17,54.37,54.47,53.8,54.29,159545
2015-06-18,54.48,55.18,54.44,54.77,258840
2015-06-19,54.73,54.77,54.56,54.58,158514
2015-06-22,55.63,56.02,55.57,55.69,189253
2015-06-23,55.74,55.87,55.58,55.73,178833
