date,open,high,low,close,volume
2019-10-31,9.82,9.88,9.82,9.86,542100
2019-11-01,9.87,9.87,9.87,9.87,204508
2019-11-04,9.89,9.89,9.89,9.89,1464
2019-11-05,0.0,0.0,0.0,9.89,64
2019-11-06,0.0,0.0,0.0,9.89,0
2019-11-07,9.88,9.88,9.88,9.88,1300
2019-11-08,0.0,0.0,0.0,9.88,0
2019-11-11,0.0,0.0,0.0,9.88,0
2019-11-12,9.84,9.84,9.84,9.84,50000
2019-11-13,0.0,0.0,0.0,9.84,0
2019-11-14,9.84,9.84,9.84,9.84,500
2019-11-15,0.0,0.0,0.0,9.84,0
2019-11-18,0.0,0.0,0.0,9.84,0
2019-11-19,0.0,0.0,0.0,9.84,20
2019-11-20,0.0,0.0,0.0,9.84,0
2019-11-21,0.0,0.0,0.0,9.84,0
2019-11-22,9.87,9.88,9.87,9.88,15600
2019-11-25,9.89,9.91,9.87,9.91,26911
2019-11-26,0.0,0.0,0.0,9.91,0
2019-11-27,0.0,0.0,0.0,9.91,0
2019-11-29,9.9,9.92,9.9,9.92,200
2019-12-02,9.92,9.93,9.91,9.93,11475
2019-12-03,0.0,0.0,0.0,9.93,0
2019-12-04,0.0,0.0,0.0,9.93,15
2019-12-05,9.9,9.92,9.9,9.92,15960
2019-12-06,9.93,9.93,9.93,9.93,601
2019-12-09,0.0,0.0,0.0,9.93,0
2019-12-10,0.0,0.0,0.0,9.93,0
2019-12-11,0.0,0.0,0.0,9.93,0
2019-12-12,9.93,9.93,9.93,9.93,4694
2019-12-13,9.93,9.94,9.93,9.94,57435
2019-12-16,9.95,9.96,9.95,9.95,158450
2019-12-17,0.0,0.0,0.0,9.95,0
2019-12-18,9.93,9.93,9.93,9.93,3100
2019-12-19,9.9,9.94,9.85,9.94,522922
2019-12-20,9.9,9.91,9.9,9.9,46519
2019-12-23,9.9,9.94,9.9,9.94,432100
2019-12-24,9.94,9.94,9.94,9.94,2005
2019-12-26,9.93,9.94,9.92,9.92,6351
2019-12-27,9.94,9.95,9.94,9.94,10871
2019-12-30,9.95,9.97,9.95,9.97,33755
2019-12-31,9.96,9.96,9.96,9.96,1249
