date,open,high,low,close,volume
2016-09-21,0.0,0.0,0.0,20.0,0
2016-09-22,0.0,0.0,0.0,20.0,0
2016-09-23,0.0,0.0,0.0,20.0,0
2016-09-26,0.0,0.0,0.0,20.0,0
2016-09-27,0.0,0.0,0.0,20.0,0
2016-09-28,0.0,0.0,0.0,20.0,0
2016-09-29,0.0,0.0,0.0,20.0,0
2016-09-30,0.0,0.0,0.0,20.0,0
2016-10-03,0.0,0.0,0.0,20.0,0
2016-10-04,0.0,0.0,0.0,20.0,0
2016-10-05,0.0,0.0,0.0,20.0,0
2016-10-06,0.0,0.0,0.0,20.0,0
2016-10-07,0.0,0.0,0.0,20.0,10
2016-10-10,20.01,20.01,20.01,20.01,159
2016-10-11,0.0,0.0,0.0,20.01,0
2016-10-12,0.0,0.0,0.0,20.01,0
2016-10-13,0.0,0.0,0.0,20.01,0
2016-10-14,0.0,0.0,0.0,20.01,0
2016-10-17,0.0,0.0,0.0,20.01,0
2016-10-18,0.0,0.0,0.0,20.01,0
2016-10-19,0.0,0.0,0.0,20.01,4
2016-10-20,0.0,0.0,0.0,20.01,0
2016-10-21,0.0,0.0,0.0,20.01,0
2016-10-24,0.0,0.0,0.0,20.01,0
2016-10-25,0.0,0.0,0.0,20.01,0
2016-10-26,19.9,19.98,19.9,19.97,10747
2016-10-27,19.77,19.78,19.77,19.78,1675
2016-10-28,19.9,20.01,19.9,20.01,40195
2016-10-31,20.07,20.1,20.03,20.03,20641
2016-11-01,20.14,20.14,19.97,20.02,4264
2016-11-02,20.11,20.11,20.08,20.08,10894
2016-11-03,20.0,20.0,19.8,19.8,98385
2016-11-04,19.71,19.73,19.66,19.66,7267
2016-11-07,19.99,19.99,19.95,19.96,2086
2016-11-08,20.2,20.41,20.2,20.33,20920
2016-11-09,19.76,19.98,19.76,19.93,11425
2016-11-10,20.47,20.47,19.28,19.28,2485
2016-11-11,19.22,19.25,19.11,19.11,2141
2016-11-14,19.14,19.31,19.14,19.28,1595
2016-11-15,19.41,19.41,19.41,19.41,348
2016-11-16,19.41,19.46,19.41,19.46,2946
2016-11-17,19.37,19.48,19.36,19.46,4701
2016-11-18,19.45,19.46,19.4,19.45,6187
2016-11-21,19.27,19.42,19.27,19.39,521
2016-11-22,19.51,19.54,19.49,19.53,10496
2016-11-23,19.51,19.51,19.5,19.5,295
2016-11-25,19.48,19.56,19.43,19.56,2639
2016-11-28,19.51,19.54,19.51,19.54,269
2016-11-29,0.0,0.0,0.0,19.54,159
2016-11-30,19.5,19.5,19.27,19.32,16866
2016-12-01,19.06,19.06,19.06,19.06,1112
2016-12-02,19.06,19.2,19.06,19.06,1058
2016-12-05,19.19,19.19,19.19,19.19,258
2016-12-06,19.31,19.33,19.31,19.33,724
2016-12-07,19.49,19.49,19.49,19.49,217
2016-12-08,19.73,19.74,19.71,19.73,2954
2016-12-09,19.87,19.87,19.86,19.86,504
2016-12-12,20.02,20.11,20.02,20.08,3333
2016-12-13,20.23,20.23,20.13,20.16,3537
2016-12-14,20.15,20.15,19.94,19.94,1413
2016-12-15,20.01,20.17,20.01,20.07,7620
2016-12-16,20.79,20.79,20.07,20.17,1293
2016-12-19,20.08,20.12,20.07,20.12,6712
2016-12-20,19.99,19.99,19.99,19.99,227
