date,open,high,low,close,volume
2015-02-12,58.45,58.89,58.45,58.89,16312
2015-02-13,58.85,58.91,58.76,58.9,8907
2015-02-17,58.86,59.02,58.76,58.8,4187
2015-02-18,58.67,59.21,58.67,59.2,19232
2015-02-19,58.63,58.65,58.4,58.44,4321
2015-02-20,58.34,58.79,58.21,58.77,26196
2015-02-23,58.68,58.87,58.62,58.77,6113
2015-02-24,58.94,58.94,58.39,58.47,22112
2015-02-25,58.59,58.85,58.58,58.64,12260
2015-02-26,58.77,58.77,58.45,58.49,7621
2015-02-27,58.33,58.5,58.27,58.5,1920
2015-03-02,58.86,58.86,58.67,58.68,4311
2015-03-03,58.68,58.68,58.5,58.68,1217
2015-03-04,58.16,58.23,58.08,58.14,1530
2015-03-05,58.21,58.27,58.02,58.05,2186
2015-03-06,57.0,57.0,56.78,56.78,595
2015-03-09,56.52,56.7,56.51,56.7,6890
2015-03-10,55.97,56.43,55.97,56.27,9678
2015-03-11,56.25,56.3,56.13,56.28,28489
2015-03-12,56.78,57.06,56.77,57.05,6805
2015-03-13,56.82,56.92,56.77,56.91,7503
2015-03-16,57.25,57.41,57.25,57.39,3881
2015-03-17,56.99,57.25,56.99,57.25,14231
2015-03-18,57.36,58.39,57.36,58.37,1092
2015-03-19,58.33,58.36,58.26,58.35,2880
2015-03-20,58.23,59.3,58.23,59.3,9850
2015-03-23,59.29,59.3,59.13,59.29,6479
2015-03-24,59.3,59.33,59.14,59.14,6248
2015-03-25,59.19,59.19,58.47,58.47,1652
2015-03-26,58.04,58.23,58.04,58.19,31355
2015-03-27,58.36,58.36,58.24,58.3,1838
2015-03-30,58.54,58.66,58.54,58.66,1829
2015-03-31,58.25,58.32,58.25,58.32,1090
2015-04-01,58.02,58.57,58.02,58.4,34665
2015-04-02,58.47,58.72,58.47,58.69,3419
2015-04-06,59.03,59.31,59.03,59.25,4031
2015-04-07,59.38,59.38,58.7,58.74,7146
2015-04-08,59.03,59.03,58.84,58.96,3787
2015-04-09,58.96,58.97,58.54,58.55,4808
2015-04-10,58.73,58.84,58.73,58.74,5937
2015-04-13,58.52,58.54,58.32,58.32,2209
2015-04-14,58.37,58.53,58.37,58.51,4783
2015-04-15,58.37,58.38,58.3,58.3,952
2015-04-16,57.93,58.51,57.93,58.42,6484
2015-04-17,58.08,58.17,57.84,58.06,7632
2015-04-20,57.98,58.11,57.98,58.05,1125
2015-04-21,58.27,59.15,58.25,58.72,5587
2015-04-22,58.4,58.45,58.4,58.45,852
2015-04-23,58.43,58.56,58.43,58.56,1318
2015-04-24,58.66,58.93,58.66,58.85,4135
