date,open,high,low,close,volume
2015-02-13,37.23,37.3,37.15,37.3,1150
2015-02-17,37.53,37.53,37.51,37.51,436
2015-02-18,37.39,37.4,37.32,37.38,59553
2015-02-19,0.0,0.0,0.0,37.38,0
2015-02-20,37.74,38.06,37.7,37.71,1330
2015-02-23,0.0,0.0,0.0,37.71,15
2015-02-24,0.0,0.0,0.0,37.71,31
2015-02-25,38.11,38.11,38.1,38.1,1335
2015-02-26,0.0,0.0,0.0,38.1,0
2015-02-27,0.0,0.0,0.0,38.1,17
2015-03-02,38.15,38.15,38.15,38.15,175
2015-03-03,38.08,38.08,38.04,38.04,732
2015-03-04,37.93,37.93,37.93,37.93,200
2015-03-05,38.07,38.07,37.91,37.91,1456
2015-03-06,0.0,0.0,0.0,37.91,4
2015-03-09,37.6,37.6,37.6,37.6,200
2015-03-10,37.1,37.1,37.1,37.1,550
2015-03-11,37.04,37.04,37.04,37.04,866
2015-03-12,37.3,37.3,37.3,37.3,682
2015-03-13,0.0,0.0,0.0,37.3,0
2015-03-16,37.79,37.79,37.79,37.79,183
2015-03-17,37.7,37.7,37.69,37.69,756
2015-03-18,0.0,0.0,0.0,37.69,0
2015-03-19,0.0,0.0,0.0,37.69,0
2015-03-20,0.0,0.0,0.0,37.69,0
2015-03-23,0.0,0.0,0.0,37.69,55
2015-03-24,38.79,38.79,38.42,38.59,2450
2015-03-25,38.1,38.1,37.89,37.89,1926
2015-03-26,0.0,0.0,0.0,37.89,0
2015-03-27,0.0,0.0,0.0,37.89,0
2015-03-30,38.08,38.24,38.07,38.24,5308
2015-03-31,38.03,38.03,38.03,38.03,810
2015-04-01,37.67,37.77,37.66,37.77,1515
2015-04-02,0.0,0.0,0.0,37.77,60
2015-04-06,38.15,38.15,38.1,38.1,1877
2015-04-07,0.0,0.0,0.0,38.1,22
2015-04-08,0.0,0.0,0.0,38.1,124
2015-04-09,37.94,38.06,37.92,37.97,23596
2015-04-10,38.24,38.32,38.24,38.32,2588
2015-04-13,38.22,38.22,38.22,38.22,215
2015-04-14,0.0,0.0,0.0,38.22,55
2015-04-15,38.28,38.28,38.28,38.28,370
2015-04-16,0.0,0.0,0.0,38.28,4
2015-04-17,37.7,37.7,37.7,37.7,1390
2015-04-20,0.0,0.0,0.0,37.7,0
2015-04-21,38.02,38.02,38.02,38.02,210
2015-04-22,38.02,38.02,38.02,38.02,1245
2015-04-23,37.96,37.96,37.95,37.95,1026
2015-04-24,38.15,38.15,38.15,38.15,165
2015-04-27,38.24,38.24,38.24,38.24,115
2015-04-28,37.9,37.9,37.9,37.9,478
2015-04-29,37.75,37.84,37.66,37.66,2042
2015-04-30,0.0,0.0,0.0,37.66,86
2015-05-01,37.61,37.61,37.61,37.61,380
2015-05-04,0.0,0.0,0.0,37.61,0
2015-05-05,37.18,37.18,37.17,37.17,12000
2015-05-06,37.14,37.14,36.96,36.96,1578
2015-05-07,37.28,37.31,37.19,37.19,3626
2015-05-08,37.54,37.54,37.54,37.54,105
2015-05-11,37.58,37.58,37.58,37.58,302
2015-05-12,0.0,0.0,0.0,37.58,0
2015-05-13,37.41,37.41,37.37,37.37,1268
2015-05-14,37.63,37.74,37.63,37.74,1202
2015-05-15,37.9,37.92,37.87,37.91,811
2015-05-18,37.99,37.99,37.99,37.99,176
2015-05-19,0.0,0.0,0.0,37.99,0
2015-05-20,38.06,38.16,37.96,38.04,1676
2015-05-21,0.0,0.0,0.0,38.04,30
2015-05-22,38.15,38.15,38.15,38.15,290
2015-05-26,37.71,37.71,37.71,37.71,377
2015-05-27,0.0,0.0,0.0,37.71,198
2015-05-28,0.0,0.0,0.0,37.71,44
2015-05-29,0.0,0.0,0.0,37.71,1
2015-06-01,37.8,37.8,37.8,37.8,193
2015-06-02,0.0,0.0,0.0,37.8,20
2015-06-03,0.0,0.0,0.0,37.8,727
2015-06-04,0.0,0.0,0.0,37.8,84
2015-06-05,0.0,0.0,0.0,37.8,0
2015-06-08,0.0,0.0,0.0,37.8,0
2015-06-09,37.41,37.41,37.41,37.41,100
2015-06-10,37.74,37.74,37.74,37.74,888
2015-06-11,0.0,0.0,0.0,37.74,121
2015-06-12,0.0,0.0,0.0,37.74,0
2015-06-15,37.47,37.47,37.47,37.47,162
2015-06-16,0.0,0.0,0.0,37.47,0
2015-06-17,37.72,37.72,37.72,37.72,424
2015-06-18,0.0,0.0,0.0,37.72,60
2015-06-19,38.11,38.11,38.09,38.09,1017
2015-06-22,39.19,39.19,39.19,39.19,314
2015-06-23,38.14,38.14,38.14,38.14,100
2015-06-24,38.14,38.14,38.14,38.14,1759
2015-06-25,38.11,38.11,38.1,38.1,399
2015-06-26,38.15,38.15,38.1,38.1,1769
2015-06-29,0.0,0.0,0.0,38.1,70
2015-06-30,38.09,38.09,38.09,38.09,243
2015-07-01,37.76,37.76,37.63,37.63,817
2015-07-02,37.64,37.64,37.64,37.64,247
2015-07-06,36.72,37.5,36.72,37.5,239
2015-07-07,0.0,0.0,0.0,37.5,74
2015-07-08,37.36,37.36,37.16,37.16,2780
2015-07-09,0.0,0.0,0.0,37.16,90
2015-07-10,37.65,37.65,37.65,37.65,284
2015-07-13,0.0,0.0,0.0,37.65,0
2015-07-14,38.34,38.34,38.34,38.34,106
2015-07-15,38.36,38.4,38.36,38.4,2206
2015-07-16,0.0,0.0,0.0,38.4,0
2015-07-17,38.78,38.78,38.78,38.78,204
2015-07-20,38.8,38.84,38.77,38.84,658
2015-07-21,0.0,0.0,0.0,38.84,40
2015-07-22,38.64,38.64,38.64,38.64,494
2015-07-23,0.0,0.0,0.0,38.64,0
2015-07-24,0.0,0.0,0.0,38.64,0
2015-07-27,0.0,0.0,0.0,38.64,122
2015-07-28,38.03,38.03,38.03,38.03,856
2015-07-29,38.3,38.3,38.18,38.26,1349
2015-07-30,38.26,38.26,38.26,38.26,139
2015-07-31,38.75,38.75,38.58,38.58,242
2015-08-03,38.55,38.55,38.55,38.55,289
2015-08-04,38.46,38.46,38.37,38.37,2442
2015-08-05,38.64,38.68,38.62,38.66,781
2015-08-06,0.0,0.0,0.0,38.66,0
2015-08-07,0.0,0.0,0.0,38.66,46
2015-08-10,0.0,0.0,0.0,38.66,102
2015-08-11,38.17,38.17,38.17,38.17,382
2015-08-12,38.0,38.08,38.0,38.08,1486
2015-08-13,38.03,38.17,37.98,38.09,2555
2015-08-14,0.0,0.0,0.0,38.09,26
2015-08-17,0.0,0.0,0.0,38.09,59
2015-08-18,0.0,0.0,0.0,38.09,0
2015-08-19,37.99,37.99,37.99,37.99,1862
2015-08-20,0.0,0.0,0.0,37.99,0
2015-08-21,0.0,0.0,0.0,37.99,50
2015-08-24,47.08,47.08,47.08,47.08,334
2015-08-25,35.79,35.79,34.79,34.8,2019
2015-08-26,35.05,35.05,34.8,34.8,5537
2015-08-27,35.8,36.52,35.8,36.4,587
2015-08-28,0.0,0.0,0.0,36.4,74
2015-08-31,0.0,0.0,0.0,36.4,0
2015-09-01,35.21,35.21,35.05,35.05,583
2015-09-02,35.29,35.29,35.29,35.29,206
2015-09-03,0.0,0.0,0.0,35.29,0
2015-09-04,0.0,0.0,0.0,35.29,34
2015-09-08,0.0,0.0,0.0,35.29,97
2015-09-09,35.71,35.71,35.71,35.71,100
2015-09-10,35.85,35.85,35.85,35.85,766
2015-09-11,35.9,36.02,35.9,36.02,734
2015-09-14,35.99,35.99,35.98,35.98,400
2015-09-15,36.15,36.22,36.15,36.22,1000
2015-09-16,36.51,36.51,36.51,36.51,940
2015-09-17,0.0,0.0,0.0,36.51,0
2015-09-18,36.23,36.23,36.23,36.23,319
2015-09-21,0.0,0.0,0.0,36.23,28
2015-09-22,0.0,0.0,0.0,36.23,103
2015-09-23,35.89,35.89,35.89,35.89,564
2015-09-24,35.39,35.39,35.39,35.39,251
2015-09-25,0.0,0.0,0.0,35.39,0
2015-09-28,34.94,34.94,34.72,34.72,747
2015-09-29,0.0,0.0,0.0,34.72,64
2015-09-30,0.0,0.0,0.0,34.72,23
2015-10-01,0.0,0.0,0.0,34.72,29
2015-10-02,0.0,0.0,0.0,34.72,1
2015-10-05,36.04,36.05,36.01,36.01,9638
2015-10-06,0.0,0.0,0.0,36.01,42
2015-10-07,0.0,0.0,0.0,36.01,0
2015-10-08,0.0,0.0,0.0,36.01,27
2015-10-09,0.0,0.0,0.0,36.01,0
2015-10-12,36.54,36.55,36.54,36.55,814
2015-10-13,36.47,36.47,36.47,36.47,450
2015-10-14,36.2,36.21,36.2,36.21,580
2015-10-15,36.52,36.52,36.31,36.31,208
2015-10-16,0.0,0.0,0.0,36.31,40
2015-10-19,0.0,0.0,0.0,36.31,34
2015-10-20,0.0,0.0,0.0,36.31,104
2015-10-21,36.92,36.92,36.63,36.63,741
2015-10-22,36.88,36.88,36.88,36.88,182
2015-10-23,0.0,0.0,0.0,36.88,0
2015-10-26,37.32,37.33,37.28,37.32,6692
2015-10-27,0.0,0.0,0.0,37.32,0
2015-10-28,37.57,37.57,37.57,37.57,774
2015-10-29,0.0,0.0,0.0,37.57,0
2015-10-30,37.9,37.9,37.79,37.79,411
2015-11-02,37.79,38.04,37.79,38.04,2356
2015-11-03,38.08,38.08,38.04,38.04,394
2015-11-04,37.95,37.95,37.95,37.95,100
2015-11-05,37.86,38.0,37.86,37.99,1917
2015-11-06,38.17,38.17,37.76,37.77,1177
2015-11-09,37.4,37.54,37.4,37.54,388
2015-11-10,0.0,0.0,0.0,37.54,0
2015-11-11,0.0,0.0,0.0,37.54,12
2015-11-12,36.99,36.99,36.99,36.99,701
2015-11-13,0.0,0.0,0.0,36.99,0
2015-11-16,0.0,0.0,0.0,36.99,0
2015-11-17,36.94,36.94,36.94,36.94,380
2015-11-18,36.91,37.1,36.91,37.1,260
2015-11-19,37.3,37.3,37.21,37.21,725
2015-11-20,0.0,0.0,0.0,37.21,42
2015-11-23,0.0,0.0,0.0,37.21,32
2015-11-24,37.28,37.28,37.28,37.28,102
2015-11-25,0.0,0.0,0.0,37.28,56
2015-11-27,0.0,0.0,0.0,37.28,0
2015-11-30,37.76,37.76,37.76,37.76,257
2015-12-01,0.0,0.0,0.0,37.76,0
2015-12-02,37.81,37.81,37.81,37.81,2042
2015-12-03,0.0,0.0,0.0,37.81,0
2015-12-04,0.0,0.0,0.0,37.81,0
2015-12-07,37.83,37.83,37.41,37.41,645
2015-12-08,0.0,0.0,0.0,37.41,0
2015-12-09,37.45,37.45,37.07,37.07,538
2015-12-10,37.15,37.2,37.15,37.2,550
2015-12-11,0.0,0.0,0.0,37.2,0
2015-12-14,36.71,36.71,36.43,36.43,578
2015-12-15,36.93,37.04,36.93,37.04,1683
2015-12-16,37.52,37.52,37.52,37.52,102
2015-12-17,37.2,37.21,37.2,37.21,2748
2015-12-18,0.0,0.0,0.0,37.21,0
2015-12-21,0.0,0.0,0.0,37.21,27
2015-12-22,36.69,36.82,36.69,36.82,300
2015-12-23,37.13,37.13,37.13,37.13,181
2015-12-24,0.0,0.0,0.0,37.13,0
2015-12-28,0.0,0.0,0.0,37.13,0
2015-12-29,36.77,37.0,35.65,35.71,3435
2015-12-30,0.0,0.0,0.0,35.71,0
2015-12-31,35.79,35.79,35.65,35.65,791
2016-01-04,34.65,34.76,34.49,34.76,1242
2016-01-05,34.94,34.94,34.87,34.87,1554
2016-01-06,34.59,34.59,34.59,34.59,361
2016-01-07,33.89,33.92,33.89,33.92,331
2016-01-08,0.0,0.0,0.0,33.92,0
2016-01-11,0.0,0.0,0.0,33.92,30
2016-01-12,33.24,33.29,33.24,33.29,280
2016-01-13,33.57,33.57,32.71,32.71,908
2016-01-14,33.06,33.19,33.05,33.05,665
2016-01-15,32.29,32.41,32.21,32.33,1314
2016-01-19,33.07,33.07,32.78,32.78,519
2016-01-20,0.0,0.0,0.0,32.78,114
2016-01-21,0.0,0.0,0.0,32.78,0
2016-01-22,0.0,0.0,0.0,32.78,3
2016-01-25,0.0,0.0,0.0,32.78,0
2016-01-26,0.0,0.0,0.0,32.78,0
2016-01-27,32.79,32.81,32.78,32.78,6962
2016-01-28,0.0,0.0,0.0,32.78,0
2016-01-29,33.27,33.27,33.27,33.27,100
2016-02-01,33.27,33.27,33.27,33.27,248
2016-02-02,0.0,0.0,0.0,33.27,1
2016-02-03,0.0,0.0,0.0,33.27,92
2016-02-04,0.0,0.0,0.0,33.27,0
2016-02-05,0.0,0.0,0.0,33.27,0
2016-02-08,32.22,32.22,31.55,31.66,469
2016-02-09,31.56,31.69,31.43,31.69,732
2016-02-10,0.0,0.0,0.0,31.69,0
2016-02-11,0.0,0.0,0.0,31.69,36
2016-02-12,0.0,0.0,0.0,31.69,1
2016-02-16,32.76,32.76,32.76,32.76,185
2016-02-17,33.1,33.1,33.1,33.1,1405
2016-02-18,32.1,33.16,32.1,33.16,353
2016-02-19,0.0,0.0,0.0,33.16,55
2016-02-22,0.0,0.0,0.0,33.16,0
2016-02-23,33.39,33.39,33.39,33.39,278
2016-02-24,33.41,33.41,33.41,33.41,778
2016-02-25,33.51,33.75,33.51,33.75,600
2016-02-26,33.91,33.91,33.91,33.91,133
2016-02-29,0.0,0.0,0.0,33.91,7
2016-03-01,0.0,0.0,0.0,33.91,34
2016-03-02,0.0,0.0,0.0,33.91,2
2016-03-03,34.18,34.18,34.17,34.17,882
2016-03-04,0.0,0.0,0.0,34.17,45
2016-03-07,0.0,0.0,0.0,34.17,40
2016-03-08,0.0,0.0,0.0,34.17,0
2016-03-09,34.14,34.19,34.14,34.19,439
2016-03-10,0.0,0.0,0.0,34.19,7
2016-03-11,0.0,0.0,0.0,34.19,0
2016-03-14,0.0,0.0,0.0,34.19,26
2016-03-15,34.58,34.58,34.58,34.58,266
2016-03-16,34.58,34.58,34.58,34.58,212
2016-03-17,0.0,0.0,0.0,34.58,20
2016-03-18,0.0,0.0,0.0,34.58,1
2016-03-21,0.0,0.0,0.0,34.58,0
2016-03-22,0.0,0.0,0.0,34.58,0
2016-03-23,34.98,34.98,34.98,34.98,300
2016-03-24,34.74,34.74,34.74,34.74,106
2016-03-28,0.0,0.0,0.0,34.74,2
2016-03-29,0.0,0.0,0.0,34.74,0
2016-03-30,0.0,0.0,0.0,34.74,0
2016-03-31,0.0,0.0,0.0,34.74,0
2016-04-01,35.43,35.43,35.43,35.43,431
2016-04-04,0.0,0.0,0.0,35.43,0
2016-04-05,35.24,35.24,35.23,35.24,717
2016-04-06,35.31,35.31,35.3,35.3,550
2016-04-07,0.0,0.0,0.0,35.3,0
2016-04-08,0.0,0.0,0.0,35.3,28
2016-04-11,0.0,0.0,0.0,35.3,0
2016-04-12,0.0,0.0,0.0,35.3,7
2016-04-13,0.0,0.0,0.0,35.3,0
2016-04-14,0.0,0.0,0.0,35.3,0
2016-04-15,0.0,0.0,0.0,35.3,0
2016-04-18,35.63,35.63,35.63,35.63,100
2016-04-19,0.0,0.0,0.0,35.63,28
2016-04-20,0.0,0.0,0.0,35.63,25
2016-04-21,0.0,0.0,0.0,35.63,0
2016-04-22,0.0,0.0,0.0,35.63,10
2016-04-25,0.0,0.0,0.0,35.63,70
2016-04-26,0.0,0.0,0.0,35.63,51
2016-04-27,0.0,0.0,0.0,35.63,70
2016-04-28,0.0,0.0,0.0,35.63,14
2016-04-29,34.97,35.02,34.95,34.99,2400
2016-05-02,0.0,0.0,0.0,34.99,28
2016-05-03,0.0,0.0,0.0,34.99,20
2016-05-04,0.0,0.0,0.0,34.99,0
2016-05-05,0.0,0.0,0.0,34.99,0
