date,open,high,low,close,volume
2019-06-25,24.47,24.5,24.23,24.23,3958
2019-06-26,24.09,24.12,24.01,24.03,2964
2019-06-27,24.1,24.42,24.1,24.42,5953
2019-06-28,24.49,24.87,24.49,24.87,3763
2019-07-01,25.08,25.08,24.91,24.95,37922
2019-07-02,24.91,24.96,24.77,24.85,9100
2019-07-03,24.95,25.0,24.95,25.0,995
2019-07-05,24.85,24.9,24.76,24.87,2473
2019-07-08,24.81,24.81,24.57,24.66,2497
2019-07-09,24.55,24.77,24.55,24.77,2842
2019-07-10,24.98,24.98,24.84,24.87,2797
2019-07-11,24.93,24.93,24.69,24.76,1023
2019-07-12,24.55,24.58,24.42,24.53,3547
2019-07-15,24.52,24.7,24.52,24.68,7187
2019-07-16,24.66,24.66,24.52,24.52,1449
2019-07-17,24.53,24.61,24.5,24.57,1465
2019-07-18,24.59,24.87,24.59,24.81,1908
2019-07-19,24.77,24.82,24.64,24.64,2426
2019-07-22,24.67,24.87,24.67,24.75,10235
2019-07-23,24.73,24.8,24.68,24.8,3256
2019-07-24,24.93,25.21,24.93,25.21,5132
2019-07-25,25.14,25.14,24.87,24.87,5739
2019-07-26,25.08,25.14,25.08,25.14,53666
2019-07-29,25.17,25.17,24.97,25.17,1538
2019-07-30,25.14,25.41,25.14,25.41,3760
2019-07-31,25.55,25.56,25.07,25.17,3436
2019-08-01,25.14,25.45,25.14,25.34,15051
2019-08-02,25.18,25.18,24.74,24.87,6012
2019-08-05,24.67,24.67,23.95,24.08,6791
2019-08-06,24.32,24.35,24.03,24.35,2600
2019-08-07,23.96,24.26,23.96,24.24,1610
2019-08-08,24.37,24.71,24.37,24.71,1905
2019-08-09,24.66,24.66,24.61,24.61,1493
2019-08-12,24.49,24.49,24.36,24.4,1387
2019-08-13,24.66,24.74,24.66,24.74,665
2019-08-14,24.25,24.25,23.87,23.89,1172
2019-08-15,23.85,23.85,23.82,23.82,811
2019-08-16,24.08,24.32,24.07,24.29,4122
2019-08-19,24.53,24.54,24.45,24.49,962
2019-08-20,24.47,24.57,24.41,24.41,1000
2019-08-21,24.6,24.69,24.6,24.67,2282
2019-08-22,24.72,24.72,24.45,24.45,488
2019-08-23,24.33,24.51,23.76,23.76,3290
2019-08-26,23.99,24.01,23.85,24.01,3960
2019-08-27,24.21,24.21,23.88,23.88,2900
2019-08-28,0.0,24.02,24.02,24.02,2
2019-08-29,24.25,24.31,24.25,24.28,1520
2019-08-30,24.42,24.42,24.2,24.29,700
2019-09-03,24.2,24.2,23.9,23.9,457
2019-09-04,23.91,23.91,23.85,23.9,400
2019-09-05,24.14,24.19,24.09,24.17,1550
2019-09-06,24.3,24.35,24.16,24.16,2046
2019-09-09,23.86,23.86,23.68,23.68,1971
2019-09-10,23.34,23.76,23.25,23.75,5895
2019-09-11,23.79,24.2,23.79,24.19,3525
2019-09-12,24.29,24.4,24.24,24.33,7094
2019-09-13,24.35,24.42,24.27,24.27,2152
2019-09-16,24.1,24.35,24.1,24.29,6484
2019-09-17,24.39,24.46,24.31,24.46,2144
2019-09-18,24.45,24.45,24.27,24.35,2000
2019-09-19,24.45,24.5,24.34,24.34,557
2019-09-20,24.42,24.52,24.37,24.52,2969
2019-09-23,24.51,24.53,24.37,24.37,1282
2019-09-24,24.47,24.47,23.99,24.03,1986
2019-09-25,23.99,23.99,23.75,23.97,2170
2019-09-26,23.97,23.97,23.67,23.67,2531
2019-09-27,23.5,23.64,23.29,23.29,2613
2019-09-30,23.47,23.64,23.33,23.51,2185
2019-10-01,23.55,23.55,23.04,23.04,460
2019-10-02,22.88,22.88,22.56,22.68,5461
2019-10-03,22.67,23.06,22.51,23.06,3976
2019-10-04,23.22,23.38,23.15,23.38,1550
2019-10-07,23.49,23.49,23.34,23.34,1616
2019-10-08,22.75,22.75,22.6,22.6,496
2019-10-09,22.76,22.88,22.76,22.83,1895
2019-10-10,22.84,22.95,22.8,22.95,953
2019-10-11,23.39,23.49,23.29,23.29,2269
2019-10-14,23.23,23.39,23.23,23.32,332
2019-10-15,23.49,23.69,23.49,23.63,3175
2019-10-16,23.62,23.63,23.54,23.58,13295
2019-10-17,23.85,23.88,23.82,23.88,1227
2019-10-18,23.92,23.92,23.78,23.88,3272
2019-10-21,23.92,23.98,23.86,23.86,2881
2019-10-22,23.87,23.97,23.62,23.62,2929
2019-10-23,23.73,23.73,23.61,23.61,418
2019-10-24,23.71,23.74,23.64,23.73,1989
2019-10-25,23.58,23.8,23.58,23.73,471
2019-10-28,24.05,24.16,24.03,24.11,834
2019-10-29,24.05,24.26,24.05,24.25,606
2019-10-30,24.08,24.14,24.04,24.14,812
2019-10-31,24.05,24.12,24.05,24.12,279
2019-11-01,24.35,24.48,24.35,24.48,318
2019-11-04,24.59,24.59,24.57,24.59,810
2019-11-05,24.46,24.46,24.21,24.26,5869
2019-11-06,24.25,24.25,24.1,24.1,651
2019-11-07,24.35,24.55,24.29,24.29,4820
2019-11-08,24.4,24.47,24.4,24.47,2508
2019-11-11,24.46,24.5,24.46,24.46,2023
2019-11-12,24.65,24.72,24.61,24.61,1850
2019-11-13,24.56,24.71,24.56,24.71,1134
2019-11-14,24.75,24.81,24.7,24.77,2578
2019-11-15,25.0,25.21,24.99,25.2,9688
2019-11-18,25.12,25.12,25.0,25.01,6197
2019-11-19,25.14,25.4,25.14,25.33,3695
2019-11-20,25.44,25.44,25.18,25.31,4822
2019-11-21,25.28,25.32,25.27,25.32,2217
2019-11-22,25.45,25.47,25.44,25.47,1949
2019-11-25,25.57,26.19,25.57,26.12,5452
2019-11-26,26.2,26.31,26.2,26.29,13866
2019-11-27,26.36,26.5,26.36,26.43,2700
2019-11-29,26.4,26.44,26.38,26.41,3918
2019-12-02,26.38,26.38,26.0,26.01,3752
2019-12-03,25.86,26.02,25.86,26.0,7356
2019-12-04,26.01,26.19,26.01,26.18,5673
2019-12-05,26.01,26.17,25.97,26.09,7963
2019-12-06,26.34,26.34,26.3,26.3,2668
2019-12-09,26.09,26.09,26.01,26.01,2416
2019-12-10,25.98,26.11,25.98,26.1,4661
2019-12-11,26.17,26.17,26.0,26.02,4773
2019-12-12,26.24,26.32,26.05,26.13,2859
2019-12-13,26.15,26.3,26.0,26.09,2314
2019-12-16,26.24,26.36,26.18,26.27,9658
2019-12-17,26.25,26.35,26.25,26.29,2937
2019-12-18,26.38,26.44,26.33,26.4,17195
2019-12-19,26.38,26.46,26.3,26.46,2223
2019-12-20,26.57,26.59,26.54,26.54,807
2019-12-23,26.61,26.83,26.46,26.8,27164
2019-12-24,26.8,26.86,26.8,26.84,16494
2019-12-26,26.8,26.8,26.63,26.66,17950
2019-12-27,26.6,26.71,26.56,26.62,8059
2019-12-30,26.43,26.44,26.36,26.38,7672
2019-12-31,26.35,26.51,26.35,26.5,6546
