date,open,high,low,close,volume
2015-02-13,30.11,30.4,29.59,29.74,684715
2015-02-17,29.78,30.49,29.41,30.17,965961
2015-02-18,29.97,30.42,29.07,29.26,817965
2015-02-19,29.1,29.5,28.54,29.28,580866
2015-02-20,29.34,29.52,28.69,29.4,585626
2015-02-23,29.3,29.4,28.74,29.15,465570
2015-02-24,29.27,30.02,29.08,29.75,800420
2015-02-25,29.8,30.18,29.54,29.73,626003
2015-02-26,29.65,29.97,29.4,29.57,508077
2015-02-27,29.49,29.73,29.27,29.27,408432
2015-03-02,29.33,29.82,29.07,29.53,591131
2015-03-03,29.3,29.67,29.23,29.39,856062
2015-03-04,29.18,29.32,28.82,29.01,409180
2015-03-05,29.05,29.93,28.6,29.76,794269
2015-03-06,29.74,30.98,29.51,29.79,814094
2015-03-09,29.86,30.52,29.85,30.36,627315
2015-03-10,30.01,30.06,29.6,29.63,685497
2015-03-11,29.75,30.2,29.55,30.2,684297
2015-03-12,30.48,31.13,30.25,31.07,848445
2015-03-13,30.99,30.99,29.75,30.37,796069
2015-03-16,30.45,30.56,29.76,29.88,838457
2015-03-17,29.7,30.15,29.58,30.08,524217
2015-03-18,29.92,30.39,29.37,29.58,599919
2015-03-19,29.54,29.54,28.49,28.7,1066175
2015-03-20,28.95,29.82,28.56,29.56,1311107
2015-03-23,29.52,29.91,29.22,29.68,654789
2015-03-24,29.74,29.74,29.22,29.6,303449
2015-03-25,29.71,29.75,29.1,29.12,390374
2015-03-26,29.06,29.36,28.66,29.28,421580
2015-03-27,29.29,29.29,28.8,29.12,304933
2015-03-30,29.35,30.08,29.33,29.95,794466
2015-03-31,29.86,29.92,29.53,29.86,663930
2015-04-01,29.81,30.0,29.16,29.89,984700
2015-04-02,29.86,30.21,29.85,30.08,567495
2015-04-06,29.77,30.24,29.18,30.18,662485
2015-04-07,30.21,30.41,30.0,30.08,380493
2015-04-08,30.08,30.36,29.92,30.25,615844
2015-04-09,30.16,30.6,29.84,30.39,507725
2015-04-10,29.8,30.16,29.48,29.66,653378
2015-04-13,29.59,30.29,29.55,30.22,773399
2015-04-14,30.2,30.36,29.63,30.11,490851
2015-04-15,30.04,31.4,30.04,31.07,887355
