date,open,high,low,close,volume
2015-02-23,42.14,42.3,42.03,42.28,91018
2015-02-24,42.39,42.72,42.32,42.65,373965
2015-02-25,42.73,42.73,42.38,42.53,143180
2015-02-26,42.27,42.8,41.86,41.9,143265
2015-02-27,42.12,42.38,42.05,42.3,146673
2015-03-02,42.29,42.29,41.93,42.08,158568
2015-03-03,42.04,42.17,41.88,42.11,188967
2015-03-04,41.86,41.86,41.42,41.65,153077
2015-03-05,41.81,41.9,41.65,41.76,56321
2015-03-06,41.38,41.38,40.8,40.89,67442
2015-03-09,40.89,41.04,40.85,40.89,355655
2015-03-10,40.4,40.7,40.33,40.37,178241
2015-03-11,40.44,40.53,40.14,40.28,104350
2015-03-12,40.47,40.73,40.47,40.73,77924
2015-03-13,40.43,40.43,40.1,40.32,156348
2015-03-16,40.59,40.89,40.59,40.81,71308
2015-03-17,40.81,41.09,40.81,41.01,84682
2015-03-18,41.0,42.04,41.0,42.0,286399
2015-03-19,41.65,41.71,41.37,41.41,67140
2015-03-20,41.93,42.33,41.89,42.26,127359
2015-03-23,42.33,42.53,42.2,42.44,243532
2015-03-24,42.46,42.46,42.2,42.25,165654
2015-03-25,42.39,42.49,42.04,42.05,317402
2015-03-26,41.9,41.99,41.67,41.7,77403
2015-03-27,41.85,42.04,41.76,41.97,709362
2015-03-30,42.06,42.28,41.97,42.14,79507
2015-03-31,41.69,42.02,41.59,41.84,55387
2015-04-01,42.22,42.22,41.92,42.1,112546
2015-04-02,42.22,42.44,42.11,42.29,119169
2015-04-06,42.56,43.0,42.4,42.82,71842
2015-04-07,42.89,42.91,42.67,42.68,87940
2015-04-08,43.01,43.12,42.71,42.94,94045
2015-04-09,42.9,42.95,42.66,42.9,163351
2015-04-10,42.82,42.99,42.81,42.94,52308
2015-04-13,42.93,42.96,42.62,42.63,89733
2015-04-14,42.81,43.05,42.79,42.94,129833
2015-04-15,43.02,43.33,43.02,43.24,116188
2015-04-16,43.34,43.45,43.03,43.32,73875
2015-04-17,42.92,43.14,42.83,42.97,41480
2015-04-20,43.14,43.28,43.01,43.05,371988
2015-04-21,43.34,43.34,43.09,43.15,396109
2015-04-22,43.36,43.5,43.17,43.44,66612
2015-04-23,43.36,43.85,43.32,43.74,94675
2015-04-24,43.92,44.16,43.9,44.08,99252
2015-04-27,44.2,44.22,44.04,44.07,56343
2015-04-28,44.15,44.31,44.02,44.31,439928
2015-04-29,44.09,44.15,43.87,44.01,60875
2015-04-30,43.85,43.91,43.55,43.71,130382
2015-05-01,43.8,43.9,43.58,43.9,158712
