date,open,high,low,close,volume
2015-02-23,15.51,16.45,15.51,16.21,1386393
2015-02-24,16.15,16.35,15.39,15.54,1214723
2015-02-25,15.53,16.2,15.43,15.94,904988
2015-02-26,15.92,16.2,15.58,16.03,480610
2015-02-27,15.98,16.13,15.31,15.45,693430
2015-03-02,15.43,16.01,15.43,15.87,615813
2015-03-03,15.82,15.88,15.4,15.58,453864
2015-03-04,15.46,15.87,15.34,15.55,897583
2015-03-05,15.53,16.2,15.51,15.77,1006795
2015-03-06,15.67,16.14,15.5,15.81,686522
2015-03-09,15.87,16.01,15.45,15.6,427129
2015-03-10,15.33,15.53,14.97,15.28,880113
2015-03-11,15.36,15.77,15.07,15.67,503580
2015-03-12,15.79,15.79,15.39,15.58,735460
2015-03-13,15.65,15.92,15.06,15.07,929671
2015-03-16,15.14,15.7,15.08,15.62,1253067
2015-03-17,15.6,16.17,15.53,15.78,898284
2015-03-18,15.85,15.9,15.42,15.66,780319
2015-03-19,15.58,16.61,15.58,16.41,1743650
2015-03-20,16.88,17.0,16.39,16.59,3214759
2015-03-23,16.55,16.66,15.85,16.38,943682
2015-03-24,16.43,16.55,16.04,16.11,845496
2015-03-25,16.14,16.26,14.92,15.1,1454647
2015-03-26,14.98,15.67,14.77,15.44,1040078
2015-03-27,15.46,15.83,15.31,15.67,2115553
2015-03-30,15.81,16.6,15.67,16.53,1285713
2015-03-31,16.37,16.62,15.93,16.0,1165600
2015-04-01,16.0,16.17,15.6,15.94,876457
2015-04-02,15.95,16.11,15.62,15.79,783905
2015-04-06,15.67,15.96,15.13,15.29,1473224
2015-04-07,15.28,15.64,14.95,14.98,1288659
2015-04-08,15.03,16.01,15.0,15.62,1011131
2015-04-09,15.58,15.79,15.12,15.35,1164653
2015-04-10,15.39,15.67,15.23,15.62,737482
2015-04-13,15.57,15.75,15.24,15.38,802617
2015-04-14,15.39,15.54,15.11,15.23,1437101
2015-04-15,15.33,15.65,15.06,15.6,556250
2015-04-16,15.57,15.67,15.34,15.58,390879
2015-04-17,15.36,15.5,14.78,15.06,1083091
2015-04-20,15.17,15.48,15.06,15.3,915714
2015-04-21,15.43,15.54,15.23,15.26,539345
2015-04-22,15.33,15.44,14.94,15.07,583130
2015-04-23,15.08,15.53,14.98,15.48,490927
2015-04-24,15.43,15.43,15.04,15.11,661690
2015-04-27,15.45,15.59,14.46,14.6,1274040
2015-04-28,14.66,14.85,13.87,14.44,1016804
2015-04-29,14.3,14.6,14.04,14.24,986738
2015-04-30,14.1,14.27,13.47,13.66,1348126
2015-05-01,13.71,14.12,13.69,13.92,729955
2015-05-04,13.94,14.24,13.68,13.88,936532
2015-05-05,13.86,13.91,13.38,13.49,1081554
2015-05-06,12.89,13.9,12.89,13.87,2544921
