date,open,high,low,close,volume
2016-07-27,11.55,11.73,9.7,9.7,6797099
2016-07-28,10.04,10.05,9.5,9.6,674444
2016-07-29,9.5,9.55,8.92,8.95,578223
2016-08-01,9.0,9.7,9.0,9.57,519152
2016-08-02,9.74,9.92,9.56,9.74,347949
2016-08-03,9.9,9.98,9.79,9.9,272368
2016-08-04,9.99,10.35,9.87,9.88,200295
2016-08-05,9.76,10.06,9.75,10.0,82000
2016-08-08,9.91,10.25,9.91,10.04,153261
2016-08-09,10.25,10.25,10.0,10.0,83124
2016-08-10,9.92,10.17,9.92,10.01,115684
2016-08-11,10.0,10.02,9.95,9.95,53567
2016-08-12,10.0,10.03,9.94,9.95,39572
2016-08-15,10.08,10.2,9.9,10.18,110024
2016-08-16,10.25,10.29,10.12,10.23,80025
2016-08-17,10.23,10.23,10.0,10.05,18132
2016-08-18,10.1,10.1,9.99,10.05,30771
2016-08-19,10.03,10.06,9.95,9.97,31706
2016-08-22,10.32,10.48,10.0,10.01,122553
2016-08-23,9.98,10.18,9.98,10.04,76100
2016-08-24,9.95,10.04,9.95,10.0,46855
2016-08-25,10.0,10.08,9.98,10.04,24760
2016-08-26,10.08,10.1,9.9,10.06,64722
2016-08-29,9.97,10.1,9.97,10.03,12262
2016-08-30,9.96,10.07,9.9,9.91,18870
2016-08-31,9.91,10.01,9.74,9.75,84428
2016-09-01,9.78,9.86,9.27,9.35,148160
2016-09-02,9.32,9.66,9.24,9.47,67619
2016-09-06,9.55,9.6,9.11,9.24,65636
2016-09-07,9.32,9.42,9.23,9.33,24893
2016-09-08,9.22,9.31,9.2,9.29,22417
2016-09-09,9.15,9.15,8.19,8.76,96763
2016-09-12,8.33,8.5,8.28,8.31,103677
2016-09-13,8.28,8.28,7.97,7.99,83716
2016-09-14,8.0,8.21,7.77,7.77,94783
2016-09-15,7.83,7.95,7.63,7.63,36924
2016-09-16,7.69,7.69,7.29,7.37,43003
2016-09-19,7.35,7.95,7.17,7.81,76284
2016-09-20,7.77,8.08,7.7,8.05,52160
2016-09-21,8.06,8.16,7.51,7.91,78272
2016-09-22,7.87,8.04,7.64,7.76,39080
2016-09-23,7.95,8.02,7.77,8.0,269858
2016-09-26,8.0,8.02,7.61,7.68,53277
2016-09-27,7.75,7.75,7.26,7.3,77637
2016-09-28,7.42,7.47,7.26,7.4,38827
2016-09-29,7.36,7.45,7.11,7.12,62881
2016-09-30,7.2,7.64,7.01,7.34,585742
2016-10-03,7.32,7.82,7.25,7.37,67410
2016-10-04,7.35,7.36,7.17,7.27,43431
2016-10-05,7.22,7.36,7.15,7.3,36399
2016-10-06,7.24,7.28,6.95,7.17,41875
2016-10-07,7.13,7.2,6.93,7.06,53468
2016-10-10,7.04,7.2,6.9,6.97,48243
2016-10-11,6.93,6.93,6.6,6.65,56197
2016-10-12,6.7,6.7,6.56,6.68,33543
2016-10-13,6.61,6.61,6.25,6.35,92990
2016-10-14,6.49,6.49,6.21,6.36,27997
2016-10-17,6.31,6.66,6.31,6.52,24717
2016-10-18,6.5,6.73,6.33,6.51,42862
2016-10-19,6.55,6.6,6.36,6.4,12324
2016-10-20,6.27,6.43,6.27,6.41,9303
2016-10-21,6.36,6.38,6.27,6.29,18945
2016-10-24,6.3,6.43,6.26,6.38,6688
2016-10-25,6.34,6.45,6.26,6.29,15230
2016-10-26,6.27,6.34,6.2,6.23,28076
2016-10-27,6.16,6.16,6.0,6.01,43983
2016-10-28,6.0,6.01,5.04,5.05,114565
2016-10-31,5.1,5.36,4.55,4.55,143983
2016-11-01,4.59,4.78,4.56,4.71,60643
