date,open,high,low,close,volume
2015-02-23,14.39,14.42,14.35,14.38,65247
2015-02-24,14.38,14.43,14.32,14.38,107709
2015-02-25,14.49,14.5,14.41,14.42,89964
2015-02-26,14.41,14.42,14.32,14.33,100917
2015-02-27,14.38,14.55,14.36,14.53,108627
2015-03-02,14.53,14.56,14.36,14.37,81729
2015-03-03,14.4,14.43,14.33,14.37,124508
2015-03-04,14.37,14.48,14.37,14.48,48364
2015-03-05,14.45,14.47,14.44,14.46,68123
2015-03-06,14.4,14.4,14.2,14.24,140554
2015-03-09,14.27,14.34,14.25,14.31,88101
2015-03-10,14.36,14.37,14.33,14.35,46069
2015-03-11,14.32,14.32,14.21,14.22,44827
2015-03-12,14.3,14.3,14.18,14.18,39223
2015-03-13,14.24,14.25,14.16,14.18,56054
2015-03-16,14.23,14.23,14.08,14.13,60626
2015-03-17,14.15,14.15,14.03,14.04,61892
2015-03-18,14.09,14.21,14.04,14.21,86691
2015-03-19,14.23,14.23,14.06,14.12,109216
2015-03-20,14.16,14.22,14.12,14.21,80817
2015-03-23,14.25,14.25,14.17,14.24,75918
2015-03-24,14.24,14.28,14.17,14.28,95332
2015-03-25,14.28,14.29,14.23,14.28,82161
2015-03-26,14.28,14.29,14.21,14.24,51326
2015-03-27,14.27,14.39,14.24,14.33,125129
2015-03-30,14.34,14.46,14.25,14.43,159582
2015-03-31,14.43,14.45,14.39,14.42,116597
2015-04-01,14.5,14.52,14.42,14.48,63976
2015-04-02,14.4,14.44,14.19,14.26,254634
2015-04-06,14.32,14.32,14.26,14.29,80971
2015-04-07,14.3,14.4,14.27,14.4,74959
2015-04-08,14.43,14.43,14.37,14.42,52727
2015-04-09,14.43,14.44,14.34,14.4,72978
2015-04-10,14.42,14.44,14.31,14.36,112501
2015-04-13,14.33,14.34,14.27,14.29,60602
2015-04-14,14.34,14.4,14.32,14.39,56790
2015-04-15,14.42,14.42,14.34,14.39,73035
2015-04-16,14.41,14.42,14.36,14.42,48309
2015-04-17,14.42,14.45,14.4,14.45,35503
2015-04-20,14.48,14.53,14.43,14.53,89850
2015-04-21,14.53,14.54,14.49,14.53,60048
2015-04-22,14.51,14.51,14.38,14.42,68040
2015-04-23,14.45,14.47,14.35,14.36,54729
2015-04-24,14.37,14.37,14.32,14.33,49677
2015-04-27,14.38,14.38,14.33,14.37,34260
2015-04-28,14.38,14.4,14.34,14.39,84041
2015-04-29,14.29,14.39,14.27,14.33,87701
2015-04-30,14.34,14.35,14.26,14.33,78723
2015-05-01,14.33,14.33,14.26,14.3,81743
2015-05-04,14.33,14.33,14.2,14.26,55323
2015-05-05,14.29,14.29,14.18,14.19,76997
2015-05-06,14.21,14.21,13.9,13.92,164435
2015-05-07,13.92,13.97,13.86,13.96,119502
2015-05-08,13.99,14.07,13.99,14.07,83031
2015-05-11,14.07,14.07,13.91,13.95,74740
2015-05-12,13.95,13.98,13.89,13.91,103324
2015-05-13,13.94,13.97,13.83,13.88,116161
2015-05-14,13.88,13.97,13.84,13.97,145288
2015-05-15,13.97,14.07,13.93,14.07,72940
2015-05-18,14.05,14.05,13.78,13.9,296554
2015-05-19,13.84,13.88,13.81,13.84,81647
2015-05-20,13.81,13.83,13.77,13.77,85616
2015-05-21,13.78,13.81,13.75,13.78,75523
2015-05-22,13.77,13.77,13.68,13.71,65657
2015-05-26,13.74,13.81,13.69,13.79,61690
2015-05-27,13.77,13.82,13.75,13.79,32246
2015-05-28,13.76,13.8,13.75,13.77,69991
2015-05-29,13.75,13.8,13.75,13.79,32680
2015-06-01,13.82,13.82,13.77,13.78,104482
2015-06-02,13.77,13.78,13.73,13.73,60247
