date,open,high,low,close,volume
2015-02-20,25.55,25.74,25.47,25.7,57046
2015-02-23,25.53,25.66,25.46,25.61,5064
2015-02-24,25.58,25.58,25.36,25.42,24313
2015-02-25,25.59,25.78,25.55,25.78,47854
2015-02-26,25.47,25.47,25.04,25.17,12002
2015-02-27,25.16,25.23,25.14,25.14,41026
2015-03-02,25.15,25.15,24.83,24.9,1569
2015-03-03,24.87,25.15,24.87,25.14,14881
2015-03-04,25.05,25.08,24.88,25.04,6124
2015-03-05,25.15,25.32,25.1,25.16,7690
2015-03-06,24.88,24.99,24.63,24.64,13453
2015-03-09,24.61,24.69,24.21,24.21,17230
2015-03-10,23.88,24.3,23.88,24.3,3324
2015-03-11,23.97,23.99,23.77,23.79,4460
2015-03-12,23.65,23.73,23.56,23.66,31766
2015-03-13,23.52,23.64,23.51,23.61,72025
2015-03-16,23.45,23.56,23.24,23.44,3011
2015-03-17,23.4,23.75,23.39,23.63,7500
2015-03-18,23.52,24.97,23.48,24.13,7869
2015-03-19,23.75,23.89,23.75,23.89,1568
2015-03-20,24.04,24.09,23.98,24.04,6515
2015-03-23,24.01,24.57,24.01,24.46,12799
2015-03-24,24.37,24.41,24.18,24.18,23596
2015-03-25,24.0,24.32,24.0,24.18,32372
2015-03-26,24.27,24.27,24.05,24.05,4139
2015-03-27,23.64,23.98,23.64,23.69,2686
2015-03-30,23.92,23.94,23.86,23.87,41811
2015-03-31,23.98,24.01,23.91,23.94,7265
2015-04-01,23.82,24.14,23.82,23.92,10083
2015-04-02,23.9,24.13,23.9,24.0,5602
2015-04-06,23.95,24.18,23.95,24.17,1255
2015-04-07,24.16,24.25,24.16,24.25,5421
2015-04-08,24.21,24.28,24.11,24.28,12006
2015-04-09,24.24,24.35,24.18,24.27,11739
2015-04-10,24.26,24.41,24.26,24.39,5613
2015-04-13,24.42,24.51,24.34,24.34,5682
2015-04-14,24.53,24.64,24.53,24.59,1432
2015-04-15,24.74,24.96,24.74,24.85,3614
2015-04-16,24.69,24.92,24.69,24.84,6680
2015-04-17,24.86,24.86,24.86,24.86,287
2015-04-20,24.93,25.06,24.8,24.8,4237
2015-04-21,24.84,24.93,24.84,24.93,18244
2015-04-22,24.94,25.02,24.87,24.99,7082
2015-04-23,25.08,25.12,25.01,25.01,12098
2015-04-24,25.04,25.1,24.95,25.1,3407
2015-04-27,25.13,25.23,25.08,25.1,11550
2015-04-28,25.23,25.23,25.05,25.11,8318
2015-04-29,25.22,25.6,25.22,25.6,5729
2015-04-30,25.38,25.56,25.34,25.48,5958
2015-05-01,25.44,25.45,25.43,25.45,2063
2015-05-04,25.57,25.57,25.38,25.38,1444
2015-05-05,25.52,25.53,25.3,25.38,8870
2015-05-06,25.61,25.61,25.01,25.1,7651
2015-05-07,24.79,24.99,24.73,24.78,12337
2015-05-08,24.88,25.02,24.87,24.88,6350
2015-05-11,24.7,24.72,24.63,24.66,25578
2015-05-12,24.72,24.86,24.62,24.74,11017
2015-05-13,24.87,25.02,24.67,24.8,2708
2015-05-14,24.91,24.99,24.87,24.88,6335
2015-05-15,24.98,25.01,24.98,25.01,2461
2015-05-18,25.14,25.16,25.1,25.13,1515
2015-05-19,24.98,25.04,24.96,25.04,2546
2015-05-20,24.89,25.0,24.84,24.91,3892
2015-05-21,24.91,24.99,24.89,24.98,4826
2015-05-22,24.92,25.08,24.85,25.06,7284
2015-05-26,24.84,24.84,24.71,24.83,5802
2015-05-27,24.62,24.84,24.62,24.79,62713
2015-05-28,24.9,24.9,24.5,24.5,3667
2015-05-29,24.7,24.71,24.42,24.49,10354
2015-06-01,24.5,24.58,24.45,24.52,2390
2015-06-02,24.47,24.63,24.47,24.54,1467
2015-06-03,24.4,24.43,24.23,24.23,2352
2015-06-04,24.02,24.02,23.79,23.81,2309
2015-06-05,23.57,23.99,23.57,23.84,65971
2015-06-08,23.6,23.84,23.6,23.66,4581
2015-06-09,23.81,23.81,23.67,23.73,22903
2015-06-10,23.75,23.79,23.67,23.67,2666
2015-06-11,23.49,23.6,23.49,23.54,20483
2015-06-12,23.34,23.6,23.34,23.58,26220
2015-06-15,23.57,23.75,23.57,23.75,1747
2015-06-16,23.85,24.46,23.72,23.82,97861
2015-06-17,23.86,24.1,23.63,23.82,9965
2015-06-18,24.02,24.07,23.73,23.9,161914
2015-06-19,23.71,23.82,23.53,23.64,79531
2015-06-22,23.6,23.64,23.44,23.51,12288
2015-06-23,23.57,23.83,23.13,23.63,34864
2015-06-24,23.54,23.8,23.54,23.74,4142
2015-06-25,23.6,23.73,23.34,23.47,3767
2015-06-26,23.48,23.48,23.13,23.14,824
2015-06-29,22.86,22.87,22.54,22.55,17481
2015-06-30,22.66,22.66,22.27,22.27,28585
2015-07-01,22.6,22.6,22.1,22.13,110314
2015-07-02,22.26,22.67,22.23,22.36,9541
2015-07-06,22.15,22.16,21.87,21.96,7507
2015-07-07,22.13,22.41,22.13,22.41,12057
2015-07-08,22.03,22.05,21.89,21.94,6037
2015-07-09,22.21,22.21,22.02,22.1,9435
2015-07-10,22.24,22.45,22.21,22.32,68622
2015-07-13,22.31,22.44,22.16,22.25,33153
2015-07-14,22.51,22.65,22.24,22.47,5783
2015-07-15,22.17,22.17,22.0,22.0,800
2015-07-16,22.1,22.1,21.67,21.76,10575
2015-07-17,21.29,21.38,20.76,21.38,47019
2015-07-20,21.34,21.34,20.83,20.83,7805
2015-07-21,20.85,21.11,20.78,20.84,8120
2015-07-22,20.47,20.53,20.21,20.33,19351
2015-07-23,20.45,20.46,20.24,20.35,6242
2015-07-24,20.37,20.56,20.37,20.44,17074
2015-07-27,20.14,20.59,20.14,20.59,5679
2015-07-28,20.6,21.17,20.6,21.05,7876
2015-07-29,20.99,21.64,20.99,21.64,82017
2015-07-30,21.43,21.47,21.29,21.36,18484
2015-07-31,21.19,21.38,21.19,21.21,22752
2015-08-03,20.95,20.95,20.66,20.74,14083
2015-08-04,20.64,20.64,20.51,20.51,3518
2015-08-05,20.32,20.56,19.31,19.38,14421
2015-08-06,19.12,19.39,18.94,19.32,19920
2015-08-07,19.34,19.41,19.13,19.13,6937
2015-08-10,19.39,19.82,19.28,19.82,7334
2015-08-11,19.64,19.81,19.5,19.81,3448
2015-08-12,20.0,20.34,19.88,20.34,8915
2015-08-13,20.4,20.4,19.99,20.02,3434
2015-08-14,20.1,20.51,20.02,20.16,16472
2015-08-17,20.29,20.56,20.24,20.47,19756
2015-08-18,20.56,20.56,20.12,20.27,56576
2015-08-19,20.2,20.2,19.78,19.85,62725
2015-08-20,19.81,19.87,19.42,19.44,15125
2015-08-21,19.14,19.54,18.96,19.24,40618
2015-08-24,19.0,19.0,18.16,18.3,30355
2015-08-25,18.99,18.99,18.41,18.5,110610
2015-08-26,18.39,18.62,18.24,18.6,137157
2015-08-27,19.29,19.55,19.05,19.38,52953
2015-08-28,19.14,19.92,19.14,19.72,12723
2015-08-31,19.5,19.94,19.23,19.67,34213
2015-09-01,19.35,19.35,19.17,19.3,14845
2015-09-02,19.56,19.56,19.02,19.36,6850
2015-09-03,19.4,19.43,19.33,19.4,1204
2015-09-04,19.25,19.3,19.12,19.2,6771
2015-09-08,19.29,19.29,19.08,19.11,9164
2015-09-09,19.05,19.06,18.88,18.88,19613
2015-09-10,18.78,18.78,18.72,18.72,6525
2015-09-11,18.31,18.33,18.21,18.28,4973
2015-09-14,18.17,18.22,18.14,18.14,5558
2015-09-15,18.05,18.11,17.9,17.92,19662
2015-09-16,17.97,18.1,17.97,18.1,3420
2015-09-17,18.09,18.35,18.09,18.25,4428
2015-09-18,17.94,18.04,17.82,17.92,46070
2015-09-21,18.03,18.11,18.03,18.11,2051
2015-09-22,17.93,17.98,17.64,17.66,14459
2015-09-23,17.86,17.86,17.02,17.02,3306
2015-09-24,16.82,16.82,16.54,16.6,5848
2015-09-25,16.8,16.98,16.64,16.64,37987
2015-09-28,15.77,15.84,15.66,15.78,41323
2015-09-29,15.48,15.6,14.55,14.65,67994
2015-09-30,14.77,15.81,14.77,15.81,16173
2015-10-01,16.18,16.42,16.12,16.42,46356
2015-10-02,16.42,16.9,16.17,16.85,28291
2015-10-05,17.27,17.48,17.27,17.48,13500
2015-10-06,17.59,17.76,17.55,17.59,1593
2015-10-07,17.77,17.86,17.71,17.73,5142
2015-10-08,17.83,18.17,17.8,18.15,4859
2015-10-09,18.24,18.24,18.22,18.22,654
2015-10-12,17.82,18.03,17.82,18.02,981800
2015-10-13,17.9,17.95,17.81,17.88,3001
2015-10-14,17.58,17.89,17.58,17.81,87328
2015-10-15,17.92,18.09,17.77,18.09,10241
2015-10-16,18.22,18.22,18.2,18.2,490
2015-10-19,18.04,18.05,17.88,18.01,20512
2015-10-20,17.97,18.1,17.89,17.99,14545
2015-10-21,17.7,17.92,17.7,17.75,14580
2015-10-22,17.5,17.5,17.11,17.31,6122
2015-10-23,17.18,17.18,17.09,17.11,2660
2015-10-26,16.96,16.96,16.82,16.82,4874
2015-10-27,16.8,16.8,16.17,16.36,9535
2015-10-28,16.86,16.86,16.8,16.8,844
2015-10-29,17.32,17.41,17.21,17.36,19058
2015-10-30,17.31,17.77,17.31,17.62,24276
2015-11-02,17.77,18.08,17.57,17.95,77282
2015-11-03,17.99,18.42,17.97,18.42,3145
2015-11-04,18.44,18.5,18.06,18.15,5267
2015-11-05,18.05,18.1,18.01,18.01,2005
2015-11-06,17.72,18.06,17.67,17.72,20551
2015-11-09,17.61,17.91,17.44,17.49,17424
2015-11-10,17.49,17.53,17.38,17.43,11323
2015-11-11,17.63,17.63,16.88,17.04,45080
2015-11-12,16.81,16.84,16.7,16.7,12829
2015-11-13,16.56,16.72,16.28,16.64,10072
2015-11-16,16.83,17.11,16.69,17.11,15754
2015-11-17,17.28,17.28,16.93,17.0,16719
2015-11-18,17.06,17.24,16.92,17.13,4521
2015-11-19,16.95,17.03,16.63,16.81,15920
2015-11-20,16.65,16.67,16.32,16.44,12674
2015-11-23,16.55,16.59,16.31,16.47,34592
2015-11-24,16.71,16.71,16.67,16.71,6278
2015-11-25,16.79,16.79,16.79,16.79,267
2015-11-27,0.0,0.0,0.0,16.79,2
2015-11-30,16.72,16.74,16.52,16.52,22163
2015-12-01,16.59,16.59,16.16,16.16,2245
2015-12-02,16.28,16.28,15.69,15.82,3075
2015-12-03,16.14,16.14,15.28,15.3,30234
2015-12-04,15.0,15.2,14.86,15.01,151044
2015-12-07,14.08,14.08,13.54,14.02,43475
2015-12-08,13.37,14.31,13.37,14.06,59257
2015-12-09,14.28,15.2,14.28,15.2,1393
2015-12-10,15.16,15.29,14.86,14.93,9770
2015-12-11,14.4,14.4,14.03,14.09,5531
2015-12-14,13.99,13.99,13.53,13.66,13872
2015-12-15,13.64,13.79,13.63,13.76,2351
2015-12-16,14.86,14.86,13.87,14.41,6971
2015-12-17,14.16,14.16,13.56,13.75,7418
2015-12-18,13.96,13.98,13.69,13.9,48694
2015-12-21,13.9,14.22,13.73,14.22,14828
2015-12-22,14.35,14.97,14.35,14.83,12395
2015-12-23,15.23,15.73,15.23,15.72,9587
2015-12-24,15.81,15.81,15.75,15.76,6836
2015-12-28,15.33,15.37,15.18,15.35,5359
2015-12-29,15.89,15.89,15.08,15.23,12140
2015-12-30,14.66,14.88,14.58,14.81,45979
2015-12-31,14.76,15.46,14.76,15.46,11616
2016-01-04,15.42,15.57,15.19,15.48,76482
2016-01-05,15.2,15.45,15.19,15.41,97157
2016-01-06,15.14,15.28,14.72,14.72,7362
2016-01-07,14.42,14.59,14.12,14.12,1771
2016-01-08,14.19,14.37,14.11,14.15,39544
2016-01-11,13.75,13.77,13.51,13.57,17850
2016-01-12,12.88,13.33,12.83,13.33,3171
2016-01-13,13.6,13.6,12.51,12.62,5850
2016-01-14,12.69,13.42,12.68,13.42,12307
2016-01-15,12.77,12.81,12.73,12.76,2278
2016-01-19,12.72,12.78,11.75,12.01,37749
2016-01-20,11.75,11.75,10.89,11.32,107943
2016-01-21,11.44,12.02,11.44,11.87,206868
2016-01-22,12.81,13.12,12.69,13.1,303600
2016-01-25,13.4,13.4,12.79,12.79,304769
2016-01-26,12.7,13.14,12.7,13.06,301972
2016-01-27,12.81,13.12,12.51,12.9,653305
2016-01-28,13.35,13.35,13.19,13.28,602991
2016-01-29,13.35,13.4,13.34,13.4,1161
2016-02-01,13.27,13.27,12.8,13.11,18158
2016-02-02,12.88,12.99,12.88,12.99,1063
2016-02-03,13.22,13.22,12.7,12.93,28666
2016-02-04,13.11,13.38,12.99,13.31,3519
2016-02-05,13.15,13.24,12.94,13.0,1965
2016-02-08,11.89,12.18,11.77,12.01,4996
2016-02-09,11.64,11.64,11.28,11.53,1278
2016-02-10,11.42,11.77,11.42,11.77,1334
2016-02-11,10.91,11.23,10.91,11.22,2965
2016-02-12,11.3,11.7,11.3,11.64,3040
2016-02-16,12.12,12.34,12.12,12.25,4016
2016-02-17,12.74,13.1,12.74,12.9,3087
2016-02-18,12.85,13.08,12.85,13.08,1416
2016-02-19,12.69,12.8,12.69,12.79,2101
2016-02-22,13.36,13.37,13.36,13.37,253
2016-02-23,13.05,13.22,13.04,13.14,7042
2016-02-24,12.92,13.3,12.92,13.3,2314
2016-02-25,13.21,13.29,13.15,13.25,7970
2016-02-26,13.61,13.61,13.51,13.53,1542
2016-02-29,0.0,0.0,0.0,13.53,0
2016-03-01,13.51,13.61,13.51,13.61,814
2016-03-02,13.75,13.99,13.72,13.98,2302
2016-03-03,14.0,14.43,14.0,14.38,1677
2016-03-04,0.0,0.0,0.0,14.38,34
2016-03-07,14.67,14.85,14.67,14.85,11900
2016-03-08,14.22,14.22,14.2,14.2,1481
2016-03-09,14.1,14.19,14.0,14.12,3578
2016-03-10,13.84,13.98,13.84,13.98,6946
2016-03-11,14.12,14.25,14.1,14.18,6376
2016-03-14,14.05,14.1,14.05,14.08,1888
2016-03-15,13.79,13.79,13.75,13.76,2247
2016-03-16,14.47,14.63,14.36,14.63,5648
2016-03-17,14.89,14.9,14.89,14.9,674
2016-03-18,14.7,14.84,14.67,14.84,3587
2016-03-21,14.47,14.47,14.34,14.34,1643
2016-03-22,14.3,14.58,14.29,14.58,1604
2016-03-23,14.41,14.41,13.98,13.98,2507
2016-03-24,14.04,14.09,13.98,13.98,3776
2016-03-28,13.88,13.93,13.85,13.93,1053
2016-03-29,13.86,14.0,13.86,14.0,676
2016-03-30,14.06,14.06,14.06,14.06,210
2016-03-31,14.09,14.27,14.08,14.24,1689
2016-04-01,14.01,14.07,13.99,14.07,1343
2016-04-04,13.9,13.9,13.75,13.75,523
2016-04-05,13.62,13.62,13.43,13.47,4224
2016-04-06,13.67,13.89,13.67,13.82,5427
2016-04-07,13.7,13.79,13.7,13.79,961
2016-04-08,14.12,14.24,14.11,14.19,3689
2016-04-11,14.23,14.5,14.23,14.47,3809
2016-04-12,14.7,14.74,14.7,14.7,3670
2016-04-13,14.88,14.95,14.75,14.88,2820
2016-04-14,14.7,14.84,14.68,14.84,1741
2016-04-15,14.79,14.79,14.79,14.79,565
2016-04-18,14.91,14.98,14.91,14.98,905
2016-04-19,0.0,0.0,0.0,14.98,0
2016-04-20,15.65,15.72,15.65,15.65,2165
2016-04-21,15.78,15.78,15.73,15.73,646
2016-04-22,15.86,15.89,15.86,15.86,2065
2016-04-25,15.89,15.89,15.89,15.89,311
2016-04-26,0.0,0.0,0.0,15.89,4
2016-04-27,15.96,15.97,15.96,15.97,201
2016-04-28,16.04,16.04,15.91,15.96,1300
2016-04-29,15.87,15.87,15.87,15.87,810
2016-05-02,15.72,15.83,15.72,15.83,5167
2016-05-03,15.44,15.53,15.44,15.53,483
2016-05-04,0.0,0.0,0.0,15.53,1
2016-05-05,15.99,16.21,15.9,15.97,4169
2016-05-06,15.75,15.98,15.73,15.89,7590
2016-05-09,15.57,15.6,15.57,15.6,793
2016-05-10,15.9,15.9,15.73,15.78,1971
2016-05-11,16.09,16.19,16.04,16.15,3426
2016-05-12,16.21,16.21,15.99,16.18,551
2016-05-13,0.0,0.0,0.0,16.18,42
2016-05-16,16.29,16.36,16.13,16.36,42608
2016-05-17,16.33,16.65,16.33,16.65,3957
2016-05-18,16.33,16.48,16.32,16.32,3765
2016-05-19,16.09,16.52,16.09,16.51,6247
2016-05-20,16.43,16.67,16.42,16.67,1073
2016-05-23,16.53,16.53,16.37,16.37,2268
2016-05-24,16.44,16.48,16.34,16.34,2289
2016-05-25,16.3,16.3,16.3,16.3,767
2016-05-26,0.0,0.0,0.0,16.3,25
2016-05-27,0.0,0.0,0.0,16.3,69
2016-05-31,0.0,0.0,0.0,16.3,0
2016-06-01,0.0,0.0,0.0,16.3,0
2016-06-02,16.66,16.79,16.55,16.67,4217
2016-06-03,16.55,16.61,16.55,16.61,1097
2016-06-06,16.92,16.95,16.77,16.95,6190
2016-06-07,17.05,17.08,17.0,17.08,3217
2016-06-08,0.0,0.0,0.0,17.08,0
2016-06-09,16.91,16.91,16.83,16.87,1120
2016-06-10,16.84,16.84,16.54,16.54,700
2016-06-13,16.3,16.4,16.3,16.4,1345
2016-06-14,16.05,16.18,16.02,16.06,1074
2016-06-15,16.15,16.18,16.15,16.18,767
2016-06-16,16.05,16.05,15.99,15.99,858
2016-06-17,16.37,16.37,16.37,16.37,466
2016-06-20,16.51,16.69,16.51,16.69,1113
2016-06-21,16.32,16.67,16.32,16.67,950
2016-06-22,16.52,16.81,16.52,16.81,3703
2016-06-23,0.0,0.0,0.0,16.81,0
2016-06-24,16.36,16.36,16.33,16.33,3400
2016-06-27,15.88,15.91,15.82,15.83,3278
2016-06-28,16.15,16.31,16.15,16.31,1406
2016-06-29,0.0,0.0,0.0,16.05,0
2016-06-30,0.0,0.0,0.0,16.05,44
2016-07-01,0.0,0.0,0.0,16.05,62
2016-07-05,16.32,16.33,16.32,16.33,452
2016-07-06,16.35,16.35,16.16,16.19,18597
2016-07-07,16.12,16.12,16.12,16.12,401
2016-07-08,16.22,16.28,16.22,16.28,1255
2016-07-11,0.0,0.0,0.0,16.28,0
