date,open,high,low,close,volume
2015-02-12,12.59,12.63,12.47,12.47,33797
2015-02-13,12.48,12.6,12.42,12.52,18012
2015-02-17,12.42,12.42,12.13,12.38,32100
2015-02-18,12.44,12.59,12.33,12.45,35269
2015-02-19,12.56,12.56,12.47,12.56,8469
2015-02-20,12.54,12.61,12.5,12.6,14619
2015-02-23,12.54,12.6,12.5,12.6,8876
2015-02-24,12.55,12.66,12.55,12.63,18139
2015-02-25,12.69,12.99,12.61,12.95,22052
2015-02-26,12.95,12.95,12.69,12.89,16027
2015-02-27,12.76,12.9,12.69,12.88,6803
2015-03-02,12.85,12.87,12.73,12.85,7039
2015-03-03,12.89,12.89,12.75,12.8,9418
2015-03-04,12.84,12.89,12.75,12.88,8721
2015-03-05,12.87,12.87,12.41,12.48,50065
2015-03-06,12.54,12.54,12.14,12.29,28264
2015-03-09,12.35,12.42,12.32,12.42,7161
2015-03-10,12.38,12.48,12.31,12.45,15633
2015-03-11,12.39,12.45,12.34,12.35,7176
2015-03-12,12.41,12.49,12.41,12.43,5551
2015-03-13,12.33,12.49,12.31,12.42,3947
2015-03-16,12.6,12.6,12.5,12.57,9611
2015-03-17,12.64,12.65,12.43,12.48,17818
2015-03-18,12.51,12.53,12.4,12.53,7119
2015-03-19,12.57,12.62,12.46,12.46,9295
2015-03-20,12.54,12.54,12.39,12.4,12139
2015-03-23,12.4,12.59,12.4,12.51,16019
2015-03-24,12.52,12.53,12.41,12.41,4411
2015-03-25,12.37,12.5,12.23,12.33,29921
2015-03-26,12.48,12.5,12.35,12.4,5625
2015-03-27,12.44,12.44,12.17,12.24,10120
2015-03-30,12.25,12.37,12.13,12.13,13129
2015-03-31,12.18,12.25,12.07,12.13,16550
2015-04-01,12.1,12.22,12.08,12.17,20429
2015-04-02,12.11,12.39,12.11,12.23,14701
2015-04-06,12.29,12.34,12.07,12.31,11767
2015-04-07,12.3,12.39,12.22,12.32,23795
2015-04-08,12.29,12.35,12.17,12.23,13696
2015-04-09,12.25,12.4,12.19,12.37,38871
2015-04-10,12.3,12.38,12.08,12.11,46081
2015-04-13,12.15,12.21,12.11,12.15,6750
2015-04-14,12.22,12.25,12.1,12.12,17380
2015-04-15,12.19,12.19,12.08,12.11,23114
2015-04-16,12.15,12.17,12.08,12.1,11455
2015-04-17,12.07,12.14,12.07,12.14,23568
2015-04-20,12.35,12.78,12.31,12.63,37385
2015-04-21,12.57,12.69,12.46,12.63,19476
2015-04-22,12.65,12.78,12.54,12.69,14078
2015-04-23,12.73,12.8,12.67,12.71,20090
2015-04-24,12.74,12.74,12.65,12.71,13409
2015-04-27,12.69,12.75,12.55,12.69,21636
2015-04-28,12.64,12.78,12.55,12.64,21451
2015-04-29,12.5,12.68,12.45,12.52,20046
2015-04-30,12.51,12.55,12.35,12.54,34375
2015-05-01,12.56,12.6,12.46,12.54,11702
2015-05-04,12.56,12.65,12.52,12.64,16037
2015-05-05,12.66,12.75,12.62,12.72,30296
2015-05-06,12.75,12.76,12.59,12.75,24610
2015-05-07,12.75,12.85,12.69,12.85,11518
2015-05-08,12.85,12.95,12.83,12.88,16544
2015-05-11,12.89,12.94,12.69,12.88,16166
2015-05-12,12.89,12.94,12.8,12.91,19371
2015-05-13,12.82,12.99,12.8,12.84,9155
2015-05-14,12.9,13.21,12.9,13.2,21419
2015-05-15,13.2,13.25,13.07,13.24,40217
2015-05-18,13.25,13.39,13.24,13.37,42098
2015-05-19,13.36,13.39,13.19,13.3,10469
2015-05-20,13.32,13.39,13.22,13.33,10707
2015-05-21,13.34,13.4,13.23,13.36,12462
2015-05-22,13.31,13.37,13.25,13.26,3103
2015-05-26,13.26,13.34,13.25,13.32,8505
2015-05-27,13.25,13.35,13.18,13.18,20331
2015-05-28,13.33,13.33,12.98,13.07,15178
