date,open,high,low,close,volume
2015-02-12,13.88,14.12,13.77,13.95,1138865
2015-02-13,14.16,14.35,14.0,14.33,949771
2015-02-17,14.39,14.49,14.22,14.27,1266029
2015-02-18,14.22,14.45,14.16,14.37,712303
2015-02-19,14.28,14.55,14.22,14.36,925671
2015-02-20,14.37,14.49,14.05,14.38,663879
2015-02-23,14.34,14.4,14.1,14.29,510784
2015-02-24,14.33,14.66,14.23,14.23,676075
2015-02-25,14.3,14.49,14.28,14.48,1253291
2015-02-26,14.47,14.52,14.3,14.41,477155
2015-02-27,14.41,14.47,14.27,14.29,528304
2015-03-02,14.32,14.5,14.12,14.44,882905
2015-03-03,14.4,14.49,14.29,14.46,668436
2015-03-04,14.35,14.37,13.96,14.01,540056
2015-03-05,13.95,14.0,13.74,13.8,430514
2015-03-06,13.7,13.84,13.6,13.7,626278
2015-03-09,13.77,13.9,13.65,13.66,411833
2015-03-10,13.5,13.57,13.33,13.38,723927
2015-03-11,13.47,13.47,13.08,13.35,772140
2015-03-12,13.51,13.85,13.51,13.73,771347
2015-03-13,13.68,13.77,13.24,13.25,1287487
2015-03-16,13.36,13.5,13.23,13.25,1323548
2015-03-17,13.13,13.42,13.01,13.17,1420048
2015-03-18,13.15,13.73,13.09,13.68,1283939
2015-03-19,13.19,13.2,12.16,12.43,3749419
2015-03-20,12.55,12.61,12.16,12.37,2165777
2015-03-23,12.37,12.52,12.34,12.4,1351918
2015-03-24,12.37,12.41,12.21,12.4,1492457
2015-03-25,12.49,12.59,12.19,12.2,945922
2015-03-26,12.19,12.3,12.11,12.19,869645
2015-03-27,12.19,12.2,11.69,12.04,1754285
2015-03-30,12.16,12.51,12.13,12.4,1570569
2015-03-31,12.32,12.72,12.29,12.61,1939440
2015-04-01,12.57,12.85,12.57,12.8,1132631
2015-04-02,12.82,13.19,12.78,12.89,797086
2015-04-06,12.85,13.13,12.8,13.06,479682
2015-04-07,13.06,13.06,12.52,12.53,896713
2015-04-08,12.52,12.7,12.36,12.53,1044484
2015-04-09,12.53,12.67,12.46,12.54,830169
2015-04-10,12.61,12.61,12.31,12.42,666072
2015-04-13,12.46,12.51,12.27,12.41,545687
2015-04-14,12.47,12.54,12.17,12.25,870813
2015-04-15,12.36,12.61,12.25,12.55,646641
2015-04-16,12.49,12.58,12.25,12.37,808565
2015-04-17,12.21,12.37,12.1,12.31,736577
2015-04-20,12.29,12.45,12.21,12.27,646027
2015-04-21,12.35,12.47,12.08,12.44,1321236
2015-04-22,12.47,12.86,12.31,12.73,1165236
2015-04-23,12.68,12.73,12.36,12.48,1499086
2015-04-24,12.55,12.64,12.36,12.53,989782
2015-04-27,12.56,12.86,12.56,12.7,1039432
2015-04-28,12.71,12.85,12.55,12.84,785326
2015-04-29,13.0,13.65,12.99,13.35,2215141
2015-04-30,13.3,13.38,13.08,13.12,2028853
2015-05-01,13.21,13.37,13.11,13.22,1243218
2015-05-04,13.3,13.42,13.21,13.29,845810
2015-05-05,13.2,13.38,12.84,12.99,1001824
2015-05-06,13.03,13.17,12.79,12.92,1051697
2015-05-07,12.86,13.26,12.77,13.21,1056709
2015-05-08,13.38,13.55,13.17,13.43,1067746
2015-05-11,13.43,13.62,13.25,13.3,834120
2015-05-12,13.25,13.58,13.09,13.58,983044
2015-05-13,13.57,13.77,13.54,13.75,1134106
2015-05-14,13.82,13.96,13.59,13.66,760290
2015-05-15,13.62,13.75,13.41,13.69,652727
2015-05-18,13.68,13.71,13.43,13.68,795178
