date,open,high,low,close,volume
2015-02-13,14.28,14.32,14.27,14.31,74395
2015-02-17,14.31,14.31,13.99,14.04,236841
2015-02-18,14.07,14.18,13.98,14.18,337989
2015-02-19,14.16,14.23,14.11,14.11,117144
2015-02-20,14.18,14.23,14.15,14.16,84584
2015-02-23,14.21,14.24,14.19,14.21,90766
2015-02-24,14.2,14.27,14.13,14.27,231382
2015-02-25,14.33,14.34,14.24,14.24,140455
2015-02-26,14.23,14.26,14.15,14.18,92514
2015-02-27,14.17,14.27,14.17,14.27,77793
2015-03-02,14.25,14.28,14.19,14.21,136085
2015-03-03,14.18,14.25,14.17,14.21,142863
2015-03-04,14.26,14.3,14.22,14.29,128619
2015-03-05,14.28,14.31,14.25,14.29,172547
2015-03-06,14.24,14.24,14.05,14.08,211757
2015-03-09,14.08,14.15,14.08,14.1,101238
2015-03-10,14.12,14.18,14.12,14.16,93507
2015-03-11,14.1,14.1,14.05,14.09,81580
2015-03-12,14.11,14.14,14.09,14.09,102245
2015-03-13,14.11,14.11,14.03,14.06,87726
2015-03-16,14.06,14.08,13.94,13.94,145601
2015-03-17,13.94,13.96,13.85,13.85,183284
2015-03-18,13.89,14.07,13.88,14.05,164240
2015-03-19,14.04,14.06,13.93,13.94,165023
2015-03-20,13.98,14.09,13.97,14.09,55185
2015-03-23,14.09,14.12,14.04,14.04,131389
2015-03-24,14.05,14.14,13.99,14.14,176280
2015-03-25,14.14,14.14,14.07,14.12,117089
2015-03-26,14.07,14.12,14.04,14.07,143933
2015-03-27,14.12,14.19,14.12,14.12,79363
2015-03-30,14.15,14.16,14.11,14.12,81710
2015-03-31,14.14,14.22,14.12,14.2,147981
2015-04-01,14.26,14.29,14.15,14.19,196996
2015-04-02,14.14,14.16,14.07,14.1,233360
2015-04-06,14.13,14.19,14.12,14.14,78828
2015-04-07,14.14,14.22,14.14,14.2,115611
2015-04-08,14.22,14.28,14.2,14.27,101261
2015-04-09,14.28,14.28,14.21,14.23,84096
2015-04-10,14.27,14.28,14.25,14.28,76477
2015-04-13,14.25,14.27,14.19,14.23,139984
2015-04-14,14.25,14.31,14.25,14.3,71702
2015-04-15,14.33,14.33,14.27,14.29,66909
2015-04-16,14.28,14.34,14.26,14.3,70803
2015-04-17,14.32,14.33,14.28,14.33,68619
2015-04-20,14.37,14.42,14.31,14.31,131309
2015-04-21,14.35,14.37,14.31,14.34,75124
2015-04-22,14.32,14.34,14.27,14.29,96352
2015-04-23,14.3,14.33,14.28,14.28,78074
2015-04-24,14.28,14.35,14.24,14.32,136029
2015-04-27,14.36,14.38,14.33,14.37,84871
2015-04-28,14.34,14.4,14.34,14.38,101215
2015-04-29,14.34,14.37,14.31,14.36,106756
2015-04-30,14.33,14.52,14.32,14.46,182011
2015-05-01,14.46,14.46,14.3,14.31,106952
2015-05-04,14.36,14.37,14.28,14.29,80767
2015-05-05,14.32,14.35,14.2,14.24,133042
2015-05-06,14.23,14.24,14.04,14.05,185900
2015-05-07,14.04,14.07,13.98,14.03,149837
2015-05-08,14.07,14.1,14.05,14.08,115178
2015-05-11,14.08,14.09,13.96,13.97,124335
2015-05-12,13.96,14.1,13.91,14.06,151784
2015-05-13,14.04,14.04,13.93,13.94,120203
2015-05-14,13.95,14.04,13.95,14.04,153874
2015-05-15,14.09,14.2,14.03,14.17,123524
2015-05-18,14.15,14.15,14.0,14.07,130248
2015-05-19,14.03,14.1,13.98,14.05,160044
2015-05-20,14.04,14.05,13.96,13.96,129234
2015-05-21,13.96,14.03,13.96,14.0,78857
2015-05-22,14.03,14.03,13.97,14.0,100769
2015-05-26,14.03,14.03,13.96,13.98,92964
2015-05-27,14.0,14.04,13.96,13.98,113610
2015-05-28,13.96,14.04,13.96,14.03,115035
2015-05-29,13.99,14.08,13.99,14.01,197101
2015-06-01,14.02,14.16,14.02,14.16,152608
2015-06-02,14.12,14.12,14.02,14.1,181072
2015-06-03,14.06,14.09,14.0,14.01,123420
2015-06-04,14.03,14.05,13.93,13.99,104876
2015-06-05,13.91,13.93,13.84,13.92,149845
2015-06-08,13.91,13.92,13.75,13.82,202833
2015-06-09,13.78,13.96,13.62,13.68,205611
2015-06-10,13.7,13.77,13.64,13.67,168141
2015-06-11,13.7,13.89,13.65,13.89,150420
2015-06-12,13.83,13.95,13.74,13.82,119967
2015-06-15,13.88,13.94,13.85,13.87,151963
