date,open,high,low,close,volume
2015-02-12,3.71,3.78,3.67,3.77,3593392
2015-02-13,3.78,3.85,3.67,3.73,5771482
2015-02-17,3.65,3.69,3.57,3.65,3452131
2015-02-18,3.65,3.7,3.53,3.7,4436637
2015-02-19,3.71,3.72,3.54,3.59,4654907
2015-02-20,3.6,3.64,3.44,3.51,4277209
2015-02-23,3.53,3.55,3.38,3.47,4057482
2015-02-24,3.44,3.56,3.44,3.47,5376940
2015-02-25,3.53,3.6,3.5,3.55,2639587
2015-02-26,3.64,3.76,3.58,3.71,5420717
2015-02-27,3.75,3.94,3.72,3.81,4366403
2015-03-02,3.84,3.88,3.68,3.71,2802334
2015-03-03,3.73,3.87,3.63,3.69,2722016
2015-03-04,3.7,3.73,3.57,3.71,3439823
2015-03-05,3.72,3.77,3.64,3.71,2255079
2015-03-06,3.57,3.65,3.43,3.52,6200071
2015-03-09,3.53,3.55,3.22,3.28,4398763
2015-03-10,3.25,3.4,3.22,3.35,3961949
2015-03-11,3.33,3.52,3.23,3.5,4111940
2015-03-12,3.57,3.62,3.38,3.53,3881781
2015-03-13,3.56,3.57,3.35,3.53,3060009
2015-03-16,3.53,3.58,3.37,3.47,2493681
2015-03-17,3.39,3.52,3.37,3.44,2679202
2015-03-18,3.5,3.72,3.37,3.69,4986516
2015-03-19,3.64,3.68,3.54,3.58,2867450
2015-03-20,3.65,3.86,3.64,3.85,8167163
2015-03-23,3.85,4.03,3.81,3.91,5230613
2015-03-24,3.95,3.98,3.87,3.88,1999261
2015-03-25,3.91,3.96,3.76,3.76,1995516
2015-03-26,3.88,3.88,3.61,3.61,3063037
2015-03-27,3.56,3.64,3.45,3.6,3381744
2015-03-30,3.52,3.58,3.4,3.44,2820795
2015-03-31,3.42,3.43,3.3,3.39,3956074
2015-04-01,3.44,3.69,3.42,3.68,4446967
2015-04-02,3.65,3.7,3.57,3.65,2309613
2015-04-06,3.76,3.84,3.7,3.77,2684168
2015-04-07,3.72,3.8,3.6,3.65,2126325
2015-04-08,3.59,3.64,3.47,3.51,3395041
2015-04-09,3.5,3.52,3.42,3.44,2120085
2015-04-10,3.52,3.61,3.47,3.51,2185427
2015-04-13,3.49,3.5,3.42,3.44,1306970
2015-04-14,3.46,3.46,3.33,3.38,2922025
2015-04-15,3.4,3.57,3.36,3.57,3728177
2015-04-16,3.58,3.62,3.47,3.49,1791698
2015-04-17,3.53,3.6,3.48,3.54,1596216
2015-04-20,3.49,3.51,3.39,3.42,2721867
2015-04-21,3.44,3.47,3.39,3.4,1711687
2015-04-22,3.4,3.41,3.24,3.25,3581213
2015-04-23,3.28,3.33,3.22,3.3,2651838
2015-04-24,3.27,3.33,3.16,3.2,3592313
2015-04-27,3.22,3.37,3.2,3.3,3577447
2015-04-28,3.33,3.45,3.29,3.42,4037597
2015-04-29,3.42,3.52,3.36,3.41,4406346
2015-04-30,3.37,3.4,3.19,3.38,3726336
2015-05-01,3.29,3.35,3.21,3.3,5104742
2015-05-04,3.36,3.38,3.3,3.38,3785007
2015-05-05,3.4,3.54,3.37,3.4,3348242
2015-05-06,3.4,3.43,3.27,3.29,2809651
2015-05-07,3.26,3.3,3.15,3.28,4229416
2015-05-08,3.31,3.39,3.21,3.39,3009063
2015-05-11,3.37,3.42,3.32,3.34,1906789
2015-05-12,3.36,3.39,3.32,3.35,2065543
2015-05-13,3.42,3.52,3.39,3.44,3909259
2015-05-14,3.48,3.54,3.42,3.44,2754092
2015-05-15,3.41,3.51,3.39,3.42,4897398
2015-05-18,3.45,3.48,3.43,3.46,1409347
2015-05-19,3.35,3.39,3.27,3.28,3139815
2015-05-20,3.3,3.31,3.16,3.19,4684994
2015-05-21,3.18,3.24,3.16,3.23,2656636
2015-05-22,3.22,3.31,3.2,3.22,1857407
2015-05-26,3.14,3.16,3.03,3.07,5978866
2015-05-27,3.08,3.14,3.02,3.09,2878940
2015-05-28,3.1,3.2,3.06,3.18,4148226
2015-05-29,3.17,3.31,3.15,3.18,5898342
2015-06-01,3.24,3.26,3.17,3.21,2723053
2015-06-02,3.24,3.3,3.21,3.26,1877541
2015-06-03,3.21,3.25,3.17,3.18,1783666
2015-06-04,3.14,3.21,3.12,3.15,2845716
2015-06-05,3.12,3.17,3.08,3.15,1707642
2015-06-08,3.14,3.19,3.14,3.18,1858679
2015-06-09,3.2,3.23,3.17,3.19,2363424
2015-06-10,3.29,3.29,3.24,3.26,1894253
2015-06-11,3.25,3.26,3.21,3.24,2486002
2015-06-12,3.22,3.29,3.2,3.25,1487766
2015-06-15,3.26,3.28,3.11,3.14,4235562
2015-06-16,3.12,3.12,3.0,3.03,3738480
2015-06-17,3.01,3.13,2.91,3.11,4081307
2015-06-18,3.21,3.21,3.1,3.12,2028630
2015-06-19,3.19,3.19,2.99,3.0,7173350
2015-06-22,2.96,2.99,2.92,2.97,2009428
2015-06-23,2.94,2.97,2.92,2.95,1504152
2015-06-24,2.92,2.95,2.88,2.91,3140726
2015-06-25,2.91,2.98,2.86,2.88,3945509
2015-06-26,2.87,2.91,2.85,2.85,1522341
2015-06-29,2.86,2.87,2.75,2.76,2055792
2015-06-30,2.75,2.75,2.63,2.69,3849749
2015-07-01,2.7,2.77,2.69,2.71,3073987
2015-07-02,2.7,2.72,2.65,2.69,3554334
2015-07-06,2.72,2.87,2.64,2.79,2339470
2015-07-07,2.63,2.65,2.45,2.58,4735258
2015-07-08,2.61,2.72,2.58,2.68,3840589
2015-07-09,2.8,2.8,2.62,2.63,3245908
2015-07-10,2.62,2.65,2.51,2.6,3686504
2015-07-13,2.55,2.79,2.5,2.79,5643187
2015-07-14,2.77,2.97,2.7,2.81,3814636
2015-07-15,2.78,2.83,2.7,2.73,4523414
2015-07-16,2.75,2.75,2.65,2.73,2141979
2015-07-17,2.62,2.68,2.47,2.48,4912623
2015-07-20,2.32,2.35,2.15,2.17,3448352
2015-07-21,2.24,2.46,2.22,2.24,4423893
2015-07-22,2.22,2.26,2.12,2.21,3295463
2015-07-23,2.28,2.28,2.03,2.13,4473135
2015-07-24,2.04,2.2,2.03,2.19,5352133
2015-07-27,2.15,2.24,2.08,2.12,4089318
2015-07-28,2.1,2.17,2.1,2.12,2496646
2015-07-29,2.16,2.27,2.1,2.23,4978696
2015-07-30,2.23,2.27,2.15,2.2,4589256
2015-07-31,2.27,2.28,2.17,2.2,4168405
2015-08-03,2.2,2.23,2.03,2.03,2866825
2015-08-04,2.13,2.16,2.06,2.13,4276118
2015-08-05,2.14,2.18,1.94,1.94,5119504
2015-08-06,2.0,2.03,1.91,1.93,7198345
2015-08-07,1.92,2.1,1.91,2.03,3768301
2015-08-10,2.06,2.17,2.01,2.16,3343310
2015-08-11,2.2,2.25,2.08,2.23,4926535
2015-08-12,2.31,2.46,2.27,2.46,6539219
2015-08-13,2.4,2.41,2.26,2.28,3397368
2015-08-14,2.31,2.34,2.24,2.26,3069671
2015-08-17,2.32,2.39,2.28,2.35,3707559
2015-08-18,2.29,2.36,2.22,2.33,2000358
2015-08-19,2.37,2.44,2.33,2.37,3872632
2015-08-20,2.44,2.56,2.41,2.44,6273040
2015-08-21,2.54,2.55,2.28,2.32,5356484
2015-08-24,2.24,2.34,2.08,2.1,6118189
2015-08-25,2.19,2.19,2.01,2.04,2823408
2015-08-26,2.01,2.04,1.9,1.95,4275568
2015-08-27,2.04,2.22,1.97,2.11,8170587
2015-08-28,2.29,2.31,2.14,2.24,5118366
2015-08-31,2.19,2.31,2.19,2.3,4251449
2015-09-01,2.33,2.4,2.26,2.29,4650108
2015-09-02,2.28,2.31,2.16,2.21,2509495
2015-09-03,2.2,2.36,2.19,2.23,3854260
2015-09-04,2.26,2.32,2.1,2.32,5555867
2015-09-08,2.34,2.43,2.2,2.38,3872922
2015-09-09,2.36,2.42,2.25,2.27,3089678
2015-09-10,2.3,2.37,2.18,2.21,2938458
2015-09-11,2.18,2.3,2.02,2.28,6610254
2015-09-14,2.25,2.26,2.14,2.16,3696504
2015-09-15,2.16,2.29,2.1,2.11,3668113
2015-09-16,2.2,2.32,2.19,2.29,4154988
2015-09-17,2.29,2.45,2.2,2.43,5287860
2015-09-18,2.53,2.64,2.41,2.5,11539092
2015-09-21,2.51,2.57,2.44,2.48,4051414
2015-09-22,2.37,2.38,2.28,2.31,3458589
2015-09-23,2.37,2.37,2.21,2.21,2206203
2015-09-24,2.26,2.44,2.23,2.41,3047039
2015-09-25,2.35,2.48,2.31,2.31,3666062
2015-09-28,2.27,2.31,2.17,2.17,2825849
2015-09-29,2.22,2.28,2.19,2.2,3154876
2015-09-30,2.18,2.28,2.15,2.27,2683570
2015-10-01,2.26,2.33,2.16,2.18,2193983
2015-10-02,2.29,2.44,2.26,2.43,3825486
2015-10-05,2.42,2.61,2.42,2.59,4863125
2015-10-06,2.68,2.8,2.64,2.72,5246788
2015-10-07,2.72,2.81,2.63,2.76,5346761
2015-10-08,2.73,2.96,2.65,2.84,6655791
2015-10-09,2.98,3.11,2.95,3.08,7198469
2015-10-12,3.15,3.19,2.94,3.01,3226094
2015-10-13,3.01,3.08,2.93,2.95,3507196
2015-10-14,3.05,3.14,3.02,3.07,4913317
2015-10-15,3.03,3.17,3.0,3.07,4244966
2015-10-16,3.08,3.13,2.9,2.96,5489091
2015-10-19,2.88,2.95,2.7,2.74,4430749
2015-10-20,2.77,3.0,2.75,2.94,3456587
2015-10-21,2.89,2.92,2.71,2.76,3463027
2015-10-22,2.73,2.87,2.73,2.79,2029570
2015-10-23,2.83,3.02,2.75,2.95,4391933
2015-10-26,2.97,2.99,2.75,2.75,2199850
2015-10-27,2.74,2.81,2.68,2.79,2119057
2015-10-28,2.86,2.96,2.7,2.73,3354693
2015-10-29,2.66,2.7,2.4,2.44,5822683
2015-10-30,2.37,2.55,2.34,2.45,3192700
2015-11-02,2.41,2.52,2.37,2.48,1204281
2015-11-03,2.44,2.52,2.41,2.5,3491971
2015-11-04,2.53,2.53,2.44,2.46,2369832
2015-11-05,2.44,2.46,2.33,2.39,5832592
2015-11-06,2.27,2.34,2.25,2.33,3841783
2015-11-09,2.3,2.42,2.3,2.39,3857679
2015-11-10,2.33,2.38,2.31,2.35,3413644
2015-11-11,2.36,2.4,2.31,2.33,3058255
2015-11-12,2.27,2.34,2.19,2.19,5203090
2015-11-13,2.17,2.22,2.12,2.17,4741521
2015-11-16,2.22,2.24,2.17,2.21,5414796
2015-11-17,2.2,2.22,2.1,2.15,2847299
2015-11-18,2.14,2.24,2.12,2.23,4278081
2015-11-19,2.27,2.29,2.22,2.23,5798163
2015-11-20,2.25,2.27,2.01,2.05,5788808
2015-11-23,2.02,2.15,2.0,2.06,2994806
2015-11-24,2.15,2.21,2.11,2.16,4718468
2015-11-25,2.23,2.28,2.15,2.22,2145668
2015-11-27,2.19,2.26,2.13,2.14,1049217
2015-11-30,2.17,2.24,2.16,2.21,2001848
2015-12-01,2.23,2.36,2.19,2.36,4050674
2015-12-02,2.28,2.39,2.25,2.37,3135045
2015-12-03,2.39,2.5,2.32,2.43,2839546
2015-12-04,2.45,2.61,2.45,2.59,3489076
2015-12-07,2.53,2.58,2.36,2.39,3448381
2015-12-08,2.38,2.38,2.28,2.38,3417519
2015-12-09,2.4,2.46,2.35,2.42,2153426
2015-12-10,2.4,2.57,2.39,2.49,3580168
2015-12-11,2.44,2.56,2.41,2.52,3471572
2015-12-14,2.46,2.5,2.27,2.27,3427413
2015-12-15,2.28,2.36,2.27,2.34,3464523
2015-12-16,2.41,2.45,2.31,2.43,3907978
2015-12-17,2.32,2.34,2.19,2.24,2718924
2015-12-18,2.3,2.37,2.25,2.25,4589802
2015-12-21,2.31,2.36,2.27,2.31,2379602
2015-12-22,2.27,2.36,2.23,2.25,2166646
2015-12-23,2.27,2.29,2.21,2.25,3298931
2015-12-24,2.27,2.43,2.26,2.42,1205562
2015-12-28,2.38,2.45,2.28,2.29,1598271
2015-12-29,2.36,2.42,2.27,2.3,1709210
2015-12-30,2.24,2.3,2.21,2.3,1927918
2015-12-31,2.29,2.33,2.26,2.32,3500599
2016-01-04,2.37,2.42,2.26,2.35,3380228
2016-01-05,2.37,2.39,2.28,2.3,2302538
2016-01-06,2.34,2.45,2.33,2.36,3493620
2016-01-07,2.43,2.5,2.27,2.46,6509880
2016-01-08,2.27,2.42,2.27,2.38,3634773
2016-01-11,2.37,2.4,2.19,2.21,3728948
2016-01-12,2.16,2.2,2.07,2.14,7865709
2016-01-13,2.15,2.25,2.12,2.18,3411802
2016-01-14,2.17,2.2,2.05,2.1,4568240
2016-01-15,2.15,2.17,2.0,2.0,4269024
2016-01-19,1.99,2.0,1.76,1.8,5116493
2016-01-20,1.85,1.97,1.76,1.95,3768076
2016-01-21,1.92,1.99,1.87,1.97,3085292
2016-01-22,1.93,2.05,1.93,2.02,4178926
2016-01-25,2.07,2.11,2.03,2.1,3638376
2016-01-26,2.18,2.34,2.13,2.33,4471686
2016-01-27,2.31,2.47,2.28,2.46,5634102
2016-01-28,2.41,2.56,2.39,2.45,4510948
2016-01-29,2.42,2.5,2.4,2.43,2237316
2016-02-01,2.48,2.57,2.44,2.57,2711851
2016-02-02,2.49,2.53,2.34,2.41,2626364
2016-02-03,2.42,2.52,2.4,2.5,6350679
2016-02-04,2.62,2.75,2.57,2.73,6030046
2016-02-05,2.69,2.89,2.62,2.89,4542647
2016-02-08,3.0,3.13,2.81,2.84,8039743
2016-02-09,2.86,2.93,2.65,2.67,6653105
2016-02-10,2.62,2.76,2.55,2.71,5677090
2016-02-11,2.98,3.19,2.86,2.95,10668968
2016-02-12,2.88,3.01,2.84,2.95,5045779
2016-02-16,2.8,2.94,2.66,2.69,5229381
2016-02-17,2.76,2.82,2.67,2.82,4521494
2016-02-18,2.89,3.12,2.8,3.08,6906686
2016-02-19,3.1,3.17,2.97,3.01,3473487
2016-02-22,2.9,3.09,2.9,3.07,3028713
2016-02-23,3.19,3.37,3.14,3.24,5137035
2016-02-24,3.35,3.46,3.25,3.3,5231214
2016-02-25,3.27,3.32,3.18,3.29,3065315
2016-02-26,3.24,3.3,3.15,3.16,3790967
2016-02-29,3.26,3.4,3.26,3.39,3717566
2016-03-01,3.43,3.48,3.2,3.24,3818735
2016-03-02,3.25,3.39,3.22,3.32,3106397
2016-03-03,3.41,3.69,3.37,3.69,4702689
2016-03-04,3.74,3.93,3.65,3.74,7433184
2016-03-07,3.82,3.94,3.73,3.88,4561978
2016-03-08,4.0,4.0,3.61,3.63,4506135
2016-03-09,3.63,3.86,3.56,3.82,6449654
2016-03-10,3.92,4.03,3.8,3.83,9271292
2016-03-11,3.88,3.91,3.73,3.78,4880643
2016-03-14,3.77,3.8,3.52,3.57,4604411
2016-03-15,3.52,3.61,3.43,3.59,3358249
2016-03-16,3.58,3.9,3.52,3.87,5385631
2016-03-17,3.97,4.08,3.81,3.88,7475984
2016-03-18,3.86,3.97,3.82,3.85,9696276
2016-03-21,3.7,3.88,3.65,3.8,3198431
2016-03-22,3.9,3.92,3.75,3.83,2280948
2016-03-23,3.62,3.69,3.46,3.46,5002885
2016-03-24,3.43,3.62,3.43,3.55,2578895
2016-03-28,3.6,3.61,3.43,3.5,1818489
2016-03-29,3.55,3.85,3.49,3.83,3633513
2016-03-30,3.82,3.91,3.78,3.88,3388863
2016-03-31,3.93,3.96,3.73,3.73,2775590
2016-04-01,3.63,3.81,3.58,3.77,3322325
2016-04-04,3.78,3.8,3.64,3.65,2137522
2016-04-05,3.76,3.8,3.64,3.77,2956873
2016-04-06,3.7,3.85,3.69,3.8,2505426
2016-04-07,3.88,4.01,3.86,3.94,4567254
2016-04-08,3.96,4.19,3.96,4.15,6310720
2016-04-11,4.28,4.42,4.2,4.27,6901879
2016-04-12,4.34,4.37,4.19,4.22,6422431
2016-04-13,4.13,4.24,4.12,4.14,2883608
2016-04-14,4.12,4.19,3.97,4.06,2923568
2016-04-15,4.1,4.18,4.04,4.15,4129449
2016-04-18,4.38,4.42,4.21,4.31,4276094
2016-04-19,4.51,4.56,4.37,4.54,7682946
2016-04-20,4.53,4.71,4.47,4.52,5359820
2016-04-21,4.62,4.67,4.44,4.55,5044297
2016-04-22,4.47,4.59,4.34,4.34,4027455
2016-04-25,4.36,4.49,4.35,4.4,3616633
2016-04-26,4.45,4.48,4.33,4.48,2402458
2016-04-27,4.47,4.6,4.44,4.55,3262451
2016-04-28,4.62,4.7,4.39,4.48,5605149
2016-04-29,4.54,4.78,4.52,4.7,4513482
2016-05-02,4.8,4.8,4.53,4.56,4506933
2016-05-03,4.57,4.64,4.35,4.49,3926411
2016-05-04,4.37,4.56,4.2,4.22,4508274
2016-05-05,4.34,4.51,4.29,4.39,4985501
2016-05-06,4.48,4.73,4.45,4.6,5495456
2016-05-09,4.39,4.46,4.31,4.31,2854744
2016-05-10,4.27,4.56,4.22,4.54,2771395
2016-05-11,4.65,4.76,4.53,4.72,3636195
2016-05-12,4.74,4.81,4.56,4.56,3212285
2016-05-13,4.6,4.71,4.5,4.53,2859018
2016-05-16,4.72,4.85,4.65,4.68,2988961
2016-05-17,4.68,4.83,4.57,4.7,2874408
2016-05-18,4.62,4.65,4.19,4.24,5028394
2016-05-19,4.07,4.35,4.04,4.31,3903713
2016-05-20,4.33,4.38,4.14,4.21,4564873
2016-05-23,4.15,4.37,4.06,4.27,2042433
2016-05-24,4.04,4.11,3.93,3.95,4524443
2016-05-25,3.82,3.95,3.7,3.82,12066314
2016-05-26,3.91,3.92,3.77,3.81,4702571
2016-05-27,3.79,3.84,3.72,3.73,3770920
2016-05-31,3.7,3.91,3.7,3.83,5144914
2016-06-01,3.92,3.93,3.67,3.74,4559909
2016-06-02,3.71,3.8,3.69,3.74,2952784
2016-06-03,3.95,4.11,3.95,4.09,7207737
2016-06-06,4.05,4.14,4.01,4.11,3741841
2016-06-07,4.04,4.11,3.98,3.98,2508601
2016-06-08,4.18,4.32,4.17,4.19,4468051
2016-06-09,4.2,4.38,4.15,4.29,4286758
2016-06-10,4.34,4.4,4.14,4.17,4570340
2016-06-13,4.29,4.32,3.98,4.07,5994486
2016-06-14,4.06,4.1,3.9,3.94,4559093
2016-06-15,3.87,4.21,3.87,4.13,6219783
2016-06-16,4.3,4.33,4.0,4.0,6808319
2016-06-17,4.1,4.23,4.0,4.11,22670825
2016-06-20,4.12,4.27,4.0,4.22,4185740
2016-06-21,4.12,4.15,3.98,4.0,3542025
2016-06-22,4.02,4.13,3.95,4.13,3235796
2016-06-23,4.1,4.14,4.03,4.11,2805929
2016-06-24,4.44,4.51,4.35,4.43,8530832
2016-06-27,4.47,4.5,4.1,4.32,8967002
2016-06-28,4.3,4.35,4.13,4.31,5483886
2016-06-29,4.37,4.45,4.25,4.33,5950745
2016-06-30,4.36,4.48,4.31,4.38,4230022
2016-07-01,4.49,4.79,4.46,4.75,4711521
2016-07-05,4.79,4.84,4.64,4.79,3708052
2016-07-06,4.98,5.0,4.79,4.9,7768033
2016-07-07,4.85,4.85,4.69,4.7,5182909
2016-07-08,4.69,4.89,4.67,4.86,4842694
2016-07-11,4.76,5.01,4.76,4.86,4811841
2016-07-12,4.92,4.95,4.64,4.65,6231168
2016-07-13,4.77,4.89,4.67,4.84,4508641
2016-07-14,4.71,4.88,4.71,4.82,3404975
2016-07-15,4.72,4.81,4.65,4.69,3030178
2016-07-18,4.69,4.77,4.65,4.76,3190015
2016-07-19,4.72,4.74,4.58,4.61,3012733
2016-07-20,4.48,4.48,4.28,4.31,6094859
2016-07-21,4.35,4.51,4.32,4.41,4232915
2016-07-22,4.33,4.43,4.33,4.39,2637031
2016-07-25,4.34,4.35,4.23,4.24,2609078
2016-07-26,4.32,4.42,4.26,4.4,6151311
2016-07-27,4.46,4.78,4.46,4.78,6556191
2016-07-28,4.84,4.92,4.72,4.82,6006971
2016-07-29,4.93,5.31,4.93,5.2,8213789
2016-08-01,5.23,5.32,5.2,5.29,4876235
2016-08-02,5.36,5.61,5.35,5.59,8258683
2016-08-03,5.57,5.63,5.37,5.61,6072484
2016-08-04,5.63,5.85,5.62,5.75,5016259
2016-08-05,5.51,5.66,5.45,5.58,6685167
2016-08-08,5.58,5.75,5.54,5.62,3323206
2016-08-09,5.66,5.75,5.62,5.68,3678993
2016-08-10,5.9,6.04,5.78,5.94,7286762
2016-08-11,5.94,6.02,5.7,5.71,6550097
2016-08-12,5.82,5.92,5.67,5.7,4999804
2016-08-15,5.7,5.83,5.7,5.75,3329548
2016-08-16,5.8,5.85,5.73,5.76,2878860
2016-08-17,5.71,5.74,5.47,5.68,6237475
2016-08-18,5.71,5.87,5.64,5.77,4306809
2016-08-19,5.63,5.79,5.56,5.69,5358280
2016-08-22,5.57,5.6,5.45,5.48,4609839
2016-08-23,5.58,5.58,5.36,5.4,2938074
2016-08-24,5.27,5.36,4.93,5.01,6616345
2016-08-25,4.99,5.24,4.89,5.12,6328281
2016-08-26,5.27,5.33,4.93,5.0,7957910
2016-08-29,4.96,5.26,4.9,5.18,4537734
2016-08-30,5.08,5.14,4.76,4.82,5962099
2016-08-31,4.79,4.88,4.76,4.79,4993326
2016-09-01,4.73,5.1,4.71,5.06,6523045
2016-09-02,5.28,5.35,5.14,5.29,5187668
2016-09-06,5.46,5.7,5.4,5.65,6364579
2016-09-07,5.5,5.5,5.09,5.23,12751380
2016-09-08,5.18,5.18,4.91,4.96,7925010
2016-09-09,4.85,4.92,4.66,4.7,7687166
2016-09-12,4.58,4.9,4.57,4.84,5619544
2016-09-13,4.82,4.82,4.57,4.63,4295169
2016-09-14,4.68,4.76,4.55,4.61,5512777
2016-09-15,4.58,4.62,4.46,4.5,6368859
2016-09-16,4.49,4.71,4.36,4.44,8092455
2016-09-19,4.57,4.62,4.51,4.55,2886447
2016-09-20,4.56,4.61,4.47,4.55,2695651
2016-09-21,4.66,4.85,4.62,4.81,6997800
2016-09-22,4.97,4.99,4.65,4.72,4084107
2016-09-23,4.68,4.79,4.52,4.57,4767946
2016-09-26,4.62,4.64,4.5,4.51,3851633
2016-09-27,4.47,4.55,4.37,4.52,5442060
2016-09-28,4.5,4.52,4.36,4.46,5477555
2016-09-29,4.42,4.46,4.32,4.41,4873218
2016-09-30,4.51,4.53,4.34,4.35,3040181
2016-10-03,4.33,4.37,4.17,4.34,3995085
2016-10-04,4.12,4.12,3.9,3.95,6986902
2016-10-05,4.05,4.07,3.84,4.02,6064716
2016-10-06,3.88,4.11,3.87,3.97,6394214
2016-10-07,4.11,4.13,3.83,3.85,6008901
2016-10-10,3.87,3.98,3.86,3.98,2263311
2016-10-11,3.96,4.04,3.85,3.85,5476708
2016-10-12,3.9,3.94,3.81,3.92,3861419
2016-10-13,3.94,4.12,3.86,3.96,5217869
2016-10-14,3.94,4.05,3.86,3.87,4088470
2016-10-17,3.88,3.97,3.83,3.93,4053250
2016-10-18,4.0,4.18,3.94,4.16,3177921
2016-10-19,4.26,4.26,4.08,4.16,4863331
2016-10-20,4.16,4.18,4.05,4.16,3376547
2016-10-21,4.14,4.16,4.06,4.14,3245421
2016-10-24,4.16,4.21,3.89,4.02,4469802
2016-10-25,4.06,4.16,4.02,4.08,4880059
2016-10-26,4.09,4.11,3.82,3.91,4716948
2016-10-27,3.89,3.96,3.78,3.78,5476058
2016-10-28,3.81,4.13,3.81,4.01,7338923
2016-10-31,4.01,4.02,3.83,3.96,4963822
2016-11-01,4.09,4.27,4.06,4.2,6900632
2016-11-02,4.37,4.37,3.97,4.01,7353088
