date,open,high,low,close,volume
2015-02-12,10.61,10.67,10.55,10.59,35467
2015-02-13,10.57,10.67,10.57,10.63,13882
2015-02-17,10.6,10.63,10.56,10.58,32486
2015-02-18,10.62,10.69,10.57,10.69,39248
2015-02-19,10.69,10.73,10.62,10.66,16690
2015-02-20,10.71,10.71,10.7,10.71,10131
2015-02-23,10.74,10.75,10.63,10.66,20280
2015-02-24,10.68,10.73,10.66,10.68,12309
2015-02-25,10.73,10.82,10.73,10.82,8269
2015-02-26,10.86,10.94,10.8,10.94,29401
2015-02-27,10.94,10.94,10.65,10.7,28822
2015-03-02,10.75,10.75,10.6,10.63,38314
2015-03-03,10.68,10.71,10.63,10.71,28544
2015-03-04,10.71,10.84,10.71,10.84,19065
2015-03-05,10.86,10.89,10.81,10.87,9113
2015-03-06,10.88,10.88,10.76,10.86,27793
2015-03-09,10.78,10.82,10.78,10.8,15222
2015-03-10,10.79,10.82,10.71,10.72,18778
2015-03-11,10.71,10.71,10.52,10.58,32049
2015-03-12,10.61,10.64,10.55,10.57,19455
2015-03-13,10.59,10.59,10.52,10.54,39916
2015-03-16,10.57,10.58,10.55,10.58,2492
2015-03-17,10.55,10.59,10.52,10.58,30871
2015-03-18,10.6,10.68,10.52,10.65,18964
2015-03-19,10.66,10.66,10.55,10.55,27441
2015-03-20,10.66,10.7,10.61,10.65,18385
2015-03-23,10.66,10.68,10.62,10.64,40037
2015-03-24,10.6,10.63,10.55,10.63,14396
2015-03-25,10.62,10.63,10.58,10.62,8590
2015-03-26,10.6,10.64,10.57,10.59,15517
2015-03-27,10.63,10.72,10.63,10.72,8985
2015-03-30,10.72,10.74,10.69,10.74,11272
2015-03-31,10.75,10.78,10.72,10.78,6897
2015-04-01,10.78,10.82,10.76,10.82,18444
2015-04-02,10.79,10.79,10.62,10.7,19761
2015-04-06,10.72,10.73,10.62,10.62,13913
2015-04-07,10.66,10.67,10.6,10.66,13265
2015-04-08,10.63,10.66,10.62,10.64,6029
2015-04-09,10.63,10.66,10.62,10.65,17687
2015-04-10,10.64,10.67,10.64,10.65,7239
2015-04-13,10.63,10.63,10.61,10.63,8690
2015-04-14,10.63,10.66,10.63,10.64,2552
2015-04-15,10.62,10.67,10.61,10.67,16875
2015-04-16,10.64,10.65,10.6,10.65,15878
2015-04-17,10.61,10.7,10.61,10.63,16552
