date,open,high,low,close,volume
2015-03-20,51.32,51.9,50.63,50.99,29779820
2015-03-23,50.78,51.3,50.6,50.73,10471888
2015-03-24,50.53,50.83,50.3,50.33,7598814
2015-03-25,50.5,50.59,49.47,49.5,8133494
2015-03-26,49.17,50.05,48.84,49.67,9479732
2015-03-27,49.56,50.09,49.56,49.94,4403500
2015-03-30,50.62,50.78,50.27,50.45,5435458
2015-03-31,50.44,50.92,50.15,50.17,6309234
2015-04-01,50.0,50.14,49.17,49.78,6605356
2015-04-02,50.02,50.16,49.7,49.83,3840442
2015-04-06,49.38,50.32,49.28,49.87,5027514
2015-04-07,49.87,50.13,49.74,49.81,3993638
2015-04-08,50.0,50.49,49.86,50.42,6522368
2015-04-09,50.5,50.85,50.3,50.36,5300988
2015-04-10,50.46,50.54,49.97,49.99,5918122
2015-04-13,49.99,50.03,49.53,49.64,7313732
2015-04-14,49.53,49.91,49.35,49.77,4770844
2015-04-15,50.32,50.37,49.87,49.92,5716284
2015-04-16,49.75,50.09,49.7,49.95,4103938
2015-04-17,49.59,49.69,49.07,49.28,6049532
2015-04-20,49.54,50.17,49.51,50.0,6208572
2015-04-21,50.38,50.43,49.86,50.15,5125302
2015-04-22,50.15,50.2,49.65,50.08,3905790
2015-04-23,49.89,50.8,49.73,50.56,4668126
2015-04-24,50.23,50.64,50.11,50.48,4333902
2015-04-27,50.64,51.0,50.39,50.47,5158348
2015-04-28,50.4,50.4,49.6,49.93,6031624
2015-04-29,49.77,50.25,49.63,50.09,5395124
2015-04-30,49.88,50.26,49.23,49.42,6496960
2015-05-01,49.94,50.41,49.71,50.39,6683498
2015-05-04,50.5,50.6,50.24,50.42,4557780
2015-05-05,50.22,50.44,50.13,50.21,5104504
2015-05-06,50.14,50.5,49.84,50.11,5396500
2015-05-07,50.23,50.8,50.01,50.73,5526328
2015-05-08,51.15,51.65,51.15,51.22,5534780
2015-05-11,51.21,51.61,51.05,51.4,5339820
2015-05-12,50.99,51.35,50.8,51.19,4676460
2015-05-13,51.35,51.37,50.9,51.08,4508286
2015-05-14,51.47,51.75,51.16,51.72,5433374
2015-05-15,51.83,52.52,51.69,52.49,7865296
2015-05-18,52.56,52.75,52.21,52.38,5045232
2015-05-19,52.31,52.59,52.18,52.32,5971288
2015-05-20,52.46,52.58,52.11,52.31,5400302
2015-05-21,52.44,52.6,52.12,52.2,5455100
2015-05-22,52.61,52.61,52.02,52.22,5654776
2015-05-26,52.22,52.38,51.59,51.71,5691368
2015-05-27,51.74,51.96,51.16,51.42,8896744
2015-05-28,51.12,51.48,50.76,51.15,5781666
2015-05-29,51.15,51.19,50.52,50.84,5562280
2015-06-01,50.89,51.15,50.73,50.88,4944150
2015-06-02,50.9,51.35,50.75,51.06,4974676
2015-06-03,51.15,51.55,50.89,51.26,4766704
2015-06-04,51.03,51.65,50.81,50.98,4467168
2015-06-05,50.75,51.13,50.57,51.02,3791746
2015-06-08,50.8,50.95,50.69,50.72,4314090
2015-06-09,50.75,50.96,50.39,50.68,3476844
2015-06-10,50.92,52.02,50.83,51.67,6270398
2015-06-11,52.55,52.56,51.74,51.94,6178028
2015-06-12,51.78,52.05,51.61,51.89,4133038
2015-06-15,51.55,51.93,51.37,51.68,4901994
2015-06-16,51.74,52.49,51.72,52.28,5034098
2015-06-17,52.37,52.59,52.04,52.38,4072494
2015-06-18,52.53,53.34,52.51,53.0,5690530
2015-06-19,53.02,53.43,52.97,53.27,7285558
2015-06-22,53.43,53.73,53.33,53.4,4186666
2015-06-23,53.6,53.63,53.41,53.6,5934286
2015-06-24,53.6,53.69,53.02,53.11,5056198
2015-06-25,53.41,53.41,52.34,52.61,10811370
2015-06-26,54.19,55.17,52.61,54.86,20287620
2015-06-29,54.64,54.75,53.83,53.84,9004902
2015-06-30,54.43,54.44,53.9,54.01,7531108
2015-07-01,54.48,54.72,54.3,54.72,5923952
2015-07-02,54.96,55.37,54.55,54.94,5900022
2015-07-06,54.55,55.26,54.51,54.92,4991324
2015-07-07,55.04,55.67,54.53,55.65,7207070
2015-07-08,55.11,55.38,54.5,54.64,6733634
2015-07-09,55.12,55.46,54.6,54.72,6168402
2015-07-10,55.27,55.4,54.5,55.26,5160156
2015-07-13,55.62,56.28,55.4,56.21,5047642
2015-07-14,56.42,56.53,55.96,56.17,5561468
2015-07-15,56.0,56.2,55.85,55.95,5017136
2015-07-16,56.38,56.45,55.93,56.17,4335714
2015-07-17,56.19,56.49,55.95,56.4,4545314
2015-07-20,56.64,56.78,56.41,56.57,5978202
2015-07-21,56.49,56.79,56.36,56.5,4626320
2015-07-22,56.44,57.11,56.44,57.05,5954128
2015-07-23,57.25,57.35,56.91,57.0,6714788
2015-07-24,57.09,57.09,56.24,56.5,5967242
2015-07-27,56.2,56.46,55.48,55.87,6648060
2015-07-28,56.04,56.96,55.93,56.74,6948236
2015-07-29,56.79,57.67,56.75,57.46,6839892
2015-07-30,57.48,57.7,56.97,57.51,5594062
2015-07-31,57.75,57.97,57.42,57.61,5078650
2015-08-03,57.76,58.0,56.8,57.42,4991998
2015-08-04,57.48,57.97,57.17,57.89,5228992
