date,open,high,low,close,volume
2015-02-23,55.2,55.8,54.0,54.6,2908
2015-02-24,55.2,55.6,53.2,53.4,3402
2015-02-25,53.4,54.6,53.0,53.4,5163
2015-02-26,53.2,55.0,52.6,53.2,5451
2015-02-27,52.8,53.8,52.6,52.8,3992
2015-03-02,53.8,55.8,52.6,55.2,8019
2015-03-03,55.0,55.4,53.4,54.0,2295
2015-03-04,54.2,55.0,53.0,54.4,2635
2015-03-05,55.0,59.8,54.0,56.4,6100
2015-03-06,55.8,56.2,54.2,54.4,3877
2015-03-09,55.4,55.4,53.4,53.4,4506
2015-03-10,53.2,53.8,51.0,51.8,10011
2015-03-11,52.0,53.6,51.2,52.0,3666
2015-03-12,52.6,55.0,52.0,54.6,4251
2015-03-13,52.8,54.0,51.0,52.4,4532
2015-03-16,50.8,54.4,50.6,53.4,7474
2015-03-17,52.4,54.0,51.6,52.0,3942
2015-03-18,52.6,56.0,51.6,52.6,11400
2015-03-19,53.0,55.6,53.0,54.4,6690
2015-03-20,54.6,55.2,51.4,51.6,8014
2015-03-23,51.4,51.8,50.6,51.0,5651
2015-03-24,50.8,52.8,50.8,52.2,3630
2015-03-25,51.8,53.0,49.4,49.4,6950
2015-03-26,49.0,50.0,45.2,48.2,18751
2015-03-27,47.0,49.4,45.6,46.6,11100
2015-03-30,45.2,47.2,42.6,44.2,21162
2015-03-31,43.4,47.0,43.2,45.0,9790
2015-04-01,45.6,46.8,43.0,45.8,14641
2015-04-02,46.0,46.0,44.0,45.0,4220
2015-04-06,43.6,47.4,43.6,45.2,12739
2015-04-07,44.8,45.4,44.0,44.8,10896
2015-04-08,44.6,45.0,43.8,44.6,4484
2015-04-09,44.6,45.0,40.6,42.2,17955
2015-04-10,43.2,44.0,41.4,41.6,14398
2015-04-13,40.8,44.4,40.8,44.0,13629
2015-04-14,43.8,44.6,42.0,42.4,8610
2015-04-15,42.6,45.6,42.2,44.8,7716
2015-04-16,44.6,46.0,43.4,44.0,8541
2015-04-17,43.4,45.0,41.0,42.2,8063
2015-04-20,43.0,43.8,41.0,41.6,10067
2015-04-21,41.8,41.8,40.8,40.8,7093
2015-04-22,40.8,42.0,40.0,40.4,13374
2015-04-23,40.2,41.6,40.2,41.2,6374
2015-04-24,41.0,41.6,40.2,40.4,4761
2015-04-27,40.8,42.0,39.6,40.0,9352
2015-04-28,39.8,41.4,38.0,38.6,17749
2015-04-29,38.0,38.8,36.8,37.0,11960
2015-04-30,36.8,38.6,34.2,34.4,23697
2015-05-01,34.4,37.2,34.2,37.0,20198
2015-05-04,37.0,38.6,36.4,36.6,8019
2015-05-05,37.0,37.18,35.4,35.4,7394
2015-05-06,35.4,36.6,34.2,35.6,12599
2015-05-07,35.6,37.0,34.2,34.2,6694
2015-05-08,34.6,34.8,33.31,34.6,5182
2015-05-11,34.8,36.0,34.4,34.6,5329
2015-05-12,34.6,34.6,33.2,33.8,4330
2015-05-13,33.0,34.2,31.8,32.2,10225
2015-05-14,32.6,34.6,32.2,33.6,11173
2015-05-15,33.4,35.2,32.4,33.2,9220
2015-05-18,33.2,34.2,32.8,33.2,5351
2015-05-19,33.0,33.2,32.0,32.0,9700
2015-05-20,32.0,33.0,31.0,32.4,9545
2015-05-21,31.6,32.6,31.0,32.0,10241
2015-05-22,32.4,32.6,31.0,31.2,6281
2015-05-26,31.4,32.0,29.4,30.0,8501
2015-05-27,29.8,30.8,28.8,30.6,7858
2015-05-28,30.8,31.6,30.3,30.6,5588
2015-05-29,30.6,32.49,30.6,31.0,10798
2015-06-01,31.0,31.8,30.6,31.0,4896
2015-06-02,31.2,35.0,31.0,33.0,20713
2015-06-03,33.0,37.0,33.0,36.6,19023
2015-06-04,36.0,39.0,35.8,37.4,15852
2015-06-05,38.0,43.0,37.7,42.8,39704
2015-06-08,45.6,47.4,42.2,45.0,23943
2015-06-09,46.4,46.4,42.8,45.2,15334
2015-06-10,45.4,45.6,42.0,44.2,17172
2015-06-11,44.0,44.4,42.4,44.0,9340
2015-06-12,43.8,43.8,41.4,42.2,35153
2015-06-15,41.8,42.4,40.0,40.0,20666
2015-06-16,40.0,41.0,39.8,39.8,7673
2015-06-17,40.2,40.2,36.0,36.6,9594
2015-06-18,35.8,39.8,35.0,39.6,21174
2015-06-19,39.2,40.0,37.4,38.4,17603
2015-06-22,38.0,39.6,37.8,39.0,11973
2015-06-23,39.2,41.1,38.2,40.0,9778
