date,open,high,low,close,volume
2015-02-17,40.06,40.51,39.87,40.3,483244
2015-02-18,40.03,40.3,39.62,40.1,509779
2015-02-19,39.83,40.37,39.83,40.23,272484
2015-02-20,40.01,40.16,39.28,40.01,443872
2015-02-23,39.75,39.98,39.42,39.76,444831
2015-02-24,39.92,40.04,39.71,39.95,342677
2015-02-25,39.88,40.07,39.64,39.79,293156
2015-02-26,39.9,40.45,39.79,40.33,483822
2015-02-27,40.39,40.72,39.73,39.74,1125518
2015-03-02,39.77,40.5,39.5,40.36,624977
2015-03-03,40.3,40.4,39.6,40.23,398360
2015-03-04,40.2,40.37,39.78,40.15,423262
2015-03-05,40.28,40.28,39.8,39.95,283532
2015-03-06,39.6,40.02,39.1,39.15,365984
2015-03-09,39.33,39.68,39.11,39.66,315732
2015-03-10,39.19,39.27,38.49,38.77,473131
2015-03-11,38.83,38.85,38.39,38.76,416284
2015-03-12,39.07,39.32,38.65,39.22,311170
2015-03-13,39.01,39.27,38.35,38.63,396366
2015-03-16,38.75,38.88,36.96,37.64,1123085
2015-03-17,37.43,37.57,36.77,37.15,612042
2015-03-18,37.0,38.05,36.79,37.84,547913
2015-03-19,37.59,37.84,37.39,37.65,395094
2015-03-20,37.93,38.36,37.76,38.09,1099828
2015-03-23,38.16,38.63,38.08,38.09,322567
2015-03-24,38.03,38.29,37.69,38.21,294633
2015-03-25,38.25,38.59,37.22,37.43,947349
2015-03-26,37.16,37.37,36.33,36.82,1570452
2015-03-27,36.7,37.03,36.48,36.93,665190
2015-03-30,37.31,37.85,37.22,37.62,506391
2015-03-31,37.36,37.65,36.9,37.35,720150
2015-04-01,37.39,37.54,36.57,36.63,750237
2015-04-02,36.49,37.23,36.46,36.78,532399
2015-04-06,36.63,37.33,36.43,37.32,591453
2015-04-07,37.36,37.54,36.56,36.59,744019
2015-04-08,36.68,36.85,36.33,36.43,944862
2015-04-09,36.44,37.69,36.4,37.67,637207
2015-04-10,37.95,38.0,37.48,37.87,403720
2015-04-13,37.88,38.18,37.75,38.1,585712
2015-04-14,38.29,38.42,38.03,38.41,673307
2015-04-15,38.53,38.64,38.09,38.54,1010353
2015-04-16,38.46,38.46,38.2,38.36,428969
2015-04-17,38.16,38.37,37.89,38.09,587720
2015-04-20,38.37,38.68,38.12,38.66,460938
2015-04-21,38.82,38.86,38.54,38.66,546148
2015-04-22,38.64,38.72,38.27,38.6,279048
2015-04-23,38.45,38.75,38.31,38.62,316938
2015-04-24,38.65,38.72,38.33,38.35,469438
2015-04-27,38.39,38.81,38.17,38.72,853654
2015-04-28,38.55,39.33,38.51,39.31,645753
2015-04-29,39.1,39.55,38.98,39.48,890025
2015-04-30,39.28,39.5,39.02,39.05,1275222
2015-05-01,38.55,40.74,38.3,40.21,1114500
2015-05-04,40.34,40.98,40.3,40.89,887092
2015-05-05,40.75,41.2,39.76,40.08,1280890
2015-05-06,40.36,40.63,39.83,40.07,786973
2015-05-07,39.96,40.41,39.84,40.19,422900
2015-05-08,40.68,40.78,40.21,40.27,551075
2015-05-11,39.99,40.33,39.96,40.07,369984
2015-05-12,40.01,40.28,39.29,39.62,606597
2015-05-13,39.77,39.88,39.58,39.63,325505
2015-05-14,39.85,40.71,39.58,40.69,457245
2015-05-15,40.5,40.56,39.95,40.19,398460
2015-05-18,40.1,40.34,39.78,40.23,367573
2015-05-19,40.18,40.26,39.31,39.39,854892
2015-05-20,39.31,39.5,39.2,39.25,1273454
2015-05-21,39.21,39.78,39.16,39.6,516957
2015-05-22,39.55,39.78,39.25,39.29,363104
2015-05-26,39.05,39.15,38.39,38.79,470683
2015-05-27,38.79,39.41,38.47,39.35,353018
2015-05-28,39.12,39.23,38.9,39.18,239278
2015-05-29,39.07,39.26,38.83,38.89,334005
2015-06-01,39.11,39.17,38.53,38.83,242025
2015-06-02,38.63,39.36,38.52,38.96,250202
2015-06-03,39.1,39.64,38.91,39.38,318357
2015-06-04,39.4,39.4,38.57,38.66,339988
2015-06-05,38.53,39.14,38.43,39.11,319238
2015-06-08,38.94,39.28,38.79,38.95,270127
2015-06-09,38.99,39.05,38.27,38.29,356869
2015-06-10,38.63,39.34,38.63,39.17,291893
2015-06-11,39.15,39.57,39.05,39.57,224301
2015-06-12,39.44,39.65,39.08,39.12,204907
2015-06-15,38.63,38.99,38.18,38.91,419474
2015-06-16,38.99,39.79,38.98,39.64,497421
2015-06-17,39.8,39.9,38.89,39.13,284874
2015-06-18,39.26,40.06,39.23,40.03,420288
2015-06-19,40.05,40.05,39.6,39.62,526291
2015-06-22,39.84,39.92,39.34,39.46,274365
