date,open,high,low,close,volume
2015-02-12,7.0,7.05,6.93,6.95,137811
2015-02-13,7.0,7.07,7.0,7.04,116863
2015-02-17,7.05,7.2,7.01,7.19,202045
2015-02-18,7.18,7.24,7.15,7.21,138073
2015-02-19,7.21,7.33,7.21,7.3,133266
2015-02-20,7.33,7.35,7.29,7.33,132535
2015-02-23,7.32,7.45,7.26,7.36,152589
2015-02-24,7.39,7.6,7.36,7.58,266580
2015-02-25,7.61,7.61,7.42,7.49,153056
2015-02-26,7.51,7.59,7.38,7.44,136838
2015-02-27,7.48,7.53,7.44,7.5,166670
2015-03-02,7.54,7.68,7.5,7.56,165162
2015-03-03,7.58,7.63,7.52,7.6,106248
2015-03-04,7.62,7.63,7.54,7.59,102305
2015-03-05,7.6,7.68,7.52,7.58,135707
2015-03-06,7.6,7.64,7.56,7.61,227879
2015-03-09,7.59,7.64,7.45,7.45,160802
2015-03-10,7.4,7.55,7.4,7.46,132579
2015-03-11,7.43,7.5,7.08,7.24,220748
2015-03-12,7.21,7.42,7.05,7.2,137411
2015-03-13,7.21,7.34,7.1,7.14,111448
2015-03-16,7.13,7.14,6.85,6.92,225131
2015-03-17,6.93,6.93,6.71,6.9,263533
2015-03-18,6.83,6.93,6.7,6.75,231776
2015-03-19,6.87,6.95,6.76,6.93,191481
2015-03-20,7.01,7.04,6.95,7.0,167709
2015-03-23,7.06,7.14,7.01,7.1,124317
2015-03-24,7.15,7.19,7.1,7.18,95526
2015-03-25,7.03,7.03,6.75,6.84,514249
2015-03-26,6.84,6.88,6.78,6.83,188912
2015-03-27,6.8,6.88,6.8,6.85,151232
2015-03-30,6.89,7.05,6.84,6.96,223833
2015-03-31,6.92,6.95,6.68,6.73,419343
2015-04-01,6.41,6.56,6.34,6.4,378435
2015-04-02,6.43,6.53,6.1,6.17,531926
2015-04-06,6.09,6.17,5.81,5.87,913276
2015-04-07,5.87,5.95,5.6,5.71,816703
2015-04-08,5.6,5.7,5.5,5.56,686187
2015-04-09,5.51,5.74,5.46,5.73,539655
2015-04-10,5.69,5.84,5.62,5.66,288879
2015-04-13,5.6,5.71,5.51,5.7,350087
2015-04-14,5.59,5.73,5.57,5.73,333919
2015-04-15,5.73,5.87,5.73,5.86,365232
2015-04-16,5.86,5.91,5.78,5.89,433221
2015-04-17,5.81,5.91,5.81,5.88,339242
2015-04-20,5.85,5.95,5.83,5.9,217396
2015-04-21,5.92,5.96,5.9,5.95,166894
2015-04-22,5.98,6.1,5.93,6.06,290325
2015-04-23,6.09,6.21,6.06,6.2,192627
2015-04-24,6.17,6.22,6.07,6.17,199914
2015-04-27,6.25,6.25,6.07,6.14,266227
2015-04-28,6.17,6.2,5.97,6.1,280132
2015-04-29,6.07,6.07,5.98,6.04,176287
2015-04-30,6.04,6.04,5.91,5.98,181273
2015-05-01,5.98,6.0,5.94,5.99,152005
2015-05-04,6.0,6.05,5.97,6.03,171125
2015-05-05,6.05,6.05,5.95,5.99,149784
2015-05-06,6.0,6.0,5.87,5.95,252142
2015-05-07,5.96,6.15,5.96,6.09,265087
2015-05-08,6.09,6.12,6.02,6.07,161437
2015-05-11,6.06,6.12,6.01,6.09,236322
2015-05-12,6.06,6.23,6.06,6.18,198120
2015-05-13,6.15,6.18,6.1,6.18,118009
2015-05-14,6.17,6.25,6.17,6.25,126977
2015-05-15,6.26,6.3,6.25,6.3,125027
2015-05-18,6.3,6.3,6.19,6.22,75211
2015-05-19,6.23,6.29,6.09,6.15,167257
2015-05-20,6.13,6.18,6.05,6.15,99724
2015-05-21,6.14,6.19,6.06,6.13,186484
2015-05-22,6.09,6.22,6.09,6.2,181956
2015-05-26,6.11,6.18,6.09,6.15,178900
2015-05-27,6.2,6.21,6.12,6.15,126300
2015-05-28,6.13,6.2,6.07,6.14,76880
2015-05-29,6.12,6.17,6.09,6.09,166572
2015-06-01,6.08,6.1,6.01,6.05,121870
2015-06-02,6.07,6.1,6.02,6.1,98901
2015-06-03,6.1,6.19,6.05,6.19,165968
2015-06-04,6.16,6.24,6.15,6.23,177213
2015-06-05,6.21,6.23,6.08,6.18,104901
2015-06-08,6.15,6.18,5.96,6.09,288176
2015-06-09,6.09,6.12,6.01,6.09,102519
2015-06-10,6.08,6.08,6.01,6.04,94588
2015-06-11,6.03,6.05,6.0,6.05,156027
2015-06-12,6.01,6.04,5.9,5.97,275577
2015-06-15,5.91,6.04,5.85,6.02,151043
2015-06-16,5.99,6.06,5.98,6.06,73281
2015-06-17,6.05,6.09,5.98,6.07,96791
2015-06-18,6.04,6.14,6.03,6.05,149745
2015-06-19,6.02,6.13,6.01,6.07,119018
2015-06-22,6.08,6.11,6.08,6.1,70022
2015-06-23,6.1,6.17,6.1,6.15,155134
2015-06-24,6.12,6.18,6.08,6.15,172476
2015-06-25,6.13,6.16,6.02,6.08,218232
2015-06-26,6.07,6.15,6.05,6.1,191765
2015-06-29,6.06,6.11,6.02,6.05,186899
2015-06-30,6.08,6.09,5.96,5.98,342865
2015-07-01,5.85,5.87,5.55,5.71,346722
2015-07-02,5.66,5.71,5.6,5.67,206131
2015-07-06,5.62,5.74,5.62,5.72,73299
2015-07-07,5.75,5.75,5.59,5.63,158607
2015-07-08,5.55,5.6,5.3,5.55,333839
2015-07-09,5.5,5.63,5.5,5.52,124772
2015-07-10,5.5,5.55,5.43,5.45,129336
2015-07-13,5.43,5.56,5.41,5.52,168552
2015-07-14,5.45,5.51,5.4,5.4,188135
2015-07-15,5.4,5.5,5.36,5.5,98803
2015-07-16,5.51,5.7,5.5,5.6,188591
2015-07-17,5.63,5.65,5.52,5.55,56475
2015-07-20,5.53,5.55,5.38,5.43,123151
2015-07-21,5.32,5.45,5.32,5.39,151651
2015-07-22,5.41,5.45,5.33,5.36,135236
2015-07-23,5.35,5.41,5.27,5.31,132531
2015-07-24,5.29,5.3,5.15,5.2,272888
2015-07-27,5.12,5.26,5.08,5.14,281428
2015-07-28,5.18,5.33,5.12,5.16,207556
2015-07-29,5.1,5.2,5.08,5.18,163712
2015-07-30,5.2,5.22,5.15,5.19,120345
2015-07-31,5.16,5.19,5.1,5.17,108123
2015-08-03,5.14,5.18,5.12,5.16,108785
2015-08-04,5.13,5.17,5.12,5.14,111992
2015-08-05,5.18,5.18,5.1,5.16,147226
2015-08-06,5.11,5.11,4.86,4.92,586796
2015-08-07,4.93,4.93,4.82,4.88,174732
2015-08-10,4.9,4.9,4.81,4.84,338714
2015-08-11,4.86,4.89,4.82,4.85,163263
2015-08-12,4.77,4.85,4.71,4.82,172862
2015-08-13,4.78,4.86,4.78,4.86,84046
2015-08-14,4.88,5.09,4.81,5.0,205827
2015-08-17,5.02,5.02,4.9,4.92,56634
2015-08-18,4.9,4.9,4.8,4.82,152562
2015-08-19,4.8,4.83,4.77,4.77,114700
2015-08-20,4.74,4.79,4.7,4.75,92961
2015-08-21,4.77,4.77,4.63,4.71,220943
2015-08-24,4.26,4.63,4.25,4.47,386855
2015-08-25,4.51,4.61,4.47,4.5,220429
2015-08-26,4.54,4.59,4.39,4.49,147938
2015-08-27,4.54,4.72,4.49,4.66,121017
2015-08-28,4.62,4.74,4.62,4.73,75545
2015-08-31,4.68,4.77,4.63,4.7,104208
2015-09-01,4.58,4.69,4.57,4.64,97256
