date,open,high,low,close,volume
2015-02-13,55.64,56.89,55.26,56.07,13569
2015-02-17,56.77,56.77,54.62,56.4,12110
2015-02-18,55.6,56.31,54.96,55.55,19159
2015-02-19,53.74,56.6,53.1,55.8,13138
2015-02-20,55.45,56.49,53.58,56.31,13787
2015-02-23,56.29,56.59,52.5,53.96,39888
2015-02-24,53.47,53.47,50.86,52.75,34564
2015-02-25,52.16,52.4,49.77,50.14,54832
2015-02-26,50.3,52.72,50.3,52.6,46634
2015-02-27,52.6,54.0,52.3,52.47,21180
2015-03-02,52.69,54.64,52.34,52.57,20140
2015-03-03,52.97,53.46,50.55,53.21,21783
2015-03-04,53.0,53.35,52.49,52.52,17843
2015-03-05,53.45,53.7,52.08,52.22,15096
2015-03-06,52.09,52.89,50.94,51.81,17225
2015-03-09,52.48,53.19,51.25,52.35,5903
2015-03-10,51.56,52.25,50.95,50.95,8995
2015-03-11,51.19,53.89,51.19,52.9,23561
2015-03-12,52.89,53.92,51.59,53.24,17854
2015-03-13,52.76,54.79,52.45,54.29,21813
2015-03-16,54.4,55.1,52.14,52.74,27074
2015-03-17,52.29,56.55,51.57,55.96,25118
2015-03-18,56.37,56.37,53.9,55.5,22439
2015-03-19,55.31,57.34,55.15,55.58,17375
2015-03-20,56.01,57.92,55.6,57.32,28922
2015-03-23,57.43,57.43,55.01,55.09,17484
2015-03-24,55.59,56.35,55.51,56.04,9489
2015-03-25,55.92,56.2,55.14,55.14,22074
2015-03-26,55.09,55.75,53.71,54.15,23015
2015-03-27,55.05,55.75,54.2,54.52,25416
2015-03-30,55.57,56.03,54.35,55.7,19735
2015-03-31,55.68,57.77,54.86,57.27,17486
2015-04-01,57.42,58.55,56.95,58.16,29535
2015-04-02,58.25,59.56,57.65,58.3,22538
2015-04-06,58.0,59.62,56.73,57.35,28543
2015-04-07,57.81,58.77,56.42,57.4,27977
2015-04-08,57.82,59.43,57.42,59.41,9984
2015-04-09,59.22,59.37,57.36,57.57,10601
2015-04-10,58.17,58.94,57.47,57.63,7988
2015-04-13,58.0,60.0,58.0,59.68,18042
2015-04-14,59.67,59.71,58.5,59.15,13628
2015-04-15,58.61,59.97,58.61,59.75,12952
2015-04-16,59.98,59.98,58.06,58.32,14727
2015-04-17,58.4,58.59,56.82,57.42,21899
2015-04-20,57.65,61.12,57.65,61.06,26371
2015-04-21,61.05,64.42,61.0,64.16,25144
2015-04-22,63.6,64.8,62.76,63.68,40258
2015-04-23,63.8,67.61,63.04,66.17,29114
2015-04-24,66.61,66.73,63.07,63.57,35396
2015-04-27,64.0,64.57,59.05,59.9,30756
2015-04-28,59.52,61.14,59.52,59.99,16501
2015-04-29,60.08,60.76,57.5,58.9,20430
2015-04-30,59.18,61.41,58.25,58.59,18225
2015-05-01,58.89,61.58,58.89,61.43,20469
2015-05-04,61.66,62.84,58.22,58.55,21250
2015-05-05,59.17,59.46,56.11,56.4,29028
2015-05-06,57.1,58.04,55.65,56.43,35003
2015-05-07,56.46,57.9,54.01,57.65,23899
2015-05-08,57.9,59.49,57.85,58.63,13653
2015-05-11,58.5,60.03,57.77,59.32,13192
2015-05-12,59.68,60.95,57.69,57.71,19626
2015-05-13,58.0,61.33,57.52,57.86,13298
2015-05-14,58.25,59.0,57.16,57.69,12377
2015-05-15,57.82,59.3,57.24,57.42,10238
2015-05-18,57.3,60.38,56.0,57.1,12916
2015-05-19,57.3,59.12,56.8,57.25,17965
2015-05-20,56.02,58.56,56.02,57.04,10491
2015-05-21,57.38,57.76,56.49,56.59,8604
2015-05-22,57.15,58.96,54.85,58.63,31522
2015-05-26,58.63,62.35,58.28,61.96,38934
2015-05-27,62.29,62.79,61.63,62.46,17404
2015-05-28,62.5,62.5,60.65,60.83,15850
2015-05-29,61.46,61.59,59.25,60.57,49765
2015-06-01,60.57,62.17,59.5,62.0,15437
2015-06-02,61.84,62.31,61.0,61.6,8974
2015-06-03,61.25,62.0,60.56,60.96,14057
2015-06-04,60.28,61.46,60.22,60.32,8113
2015-06-05,60.02,61.92,60.02,61.77,17566
2015-06-08,61.98,62.28,61.07,61.7,11528
2015-06-09,62.02,62.21,61.11,61.11,9284
2015-06-10,61.11,61.11,60.24,60.43,13919
2015-06-11,60.22,61.22,60.11,61.21,7760
2015-06-12,60.8,61.47,60.56,60.85,9143
2015-06-15,60.21,60.88,59.39,59.59,13897
2015-06-16,59.66,59.66,57.66,58.23,36791
2015-06-17,58.1,59.01,57.18,58.23,12957
2015-06-18,58.8,59.94,58.19,59.0,9117
2015-06-19,59.45,59.49,55.73,56.2,28711
2015-06-22,56.9,57.73,56.6,57.2,27358
2015-06-23,56.8,58.43,55.55,57.99,28460
2015-06-24,58.04,58.04,55.67,55.68,16702
2015-06-25,55.85,57.56,55.29,56.76,40282
2015-06-26,56.7,56.7,55.12,56.05,102291
2015-06-29,55.45,58.44,55.15,57.53,25570
2015-06-30,57.77,58.72,57.35,58.05,148015
2015-07-01,58.3,59.41,57.66,59.0,32173
2015-07-02,58.99,59.97,58.25,59.26,20805
2015-07-06,59.38,62.16,59.25,60.59,28280
2015-07-07,60.2,61.9,58.93,61.31,23121
2015-07-08,61.49,61.9,58.7,59.46,17933
2015-07-09,59.71,60.76,59.12,59.13,16880
2015-07-10,59.33,61.6,58.9,60.76,14343
2015-07-13,61.58,61.73,59.11,61.56,11539
2015-07-14,61.56,61.87,60.75,60.93,17005
2015-07-15,61.4,61.5,59.05,59.58,20322
2015-07-16,59.66,60.27,59.46,59.75,13702
2015-07-17,59.6,60.11,57.25,57.76,19336
2015-07-20,58.09,59.4,57.88,58.7,16188
2015-07-21,58.59,59.65,58.03,58.9,14661
2015-07-22,58.91,59.95,57.93,59.72,8188
2015-07-23,59.56,60.93,57.34,57.6,21402
2015-07-24,57.65,59.19,56.86,57.94,13906
2015-07-27,57.63,57.89,53.65,54.36,26029
2015-07-28,54.4,56.23,53.05,55.72,32438
2015-07-29,55.42,58.31,53.98,56.28,12797
2015-07-30,55.61,57.96,55.0,55.37,12384
2015-07-31,55.24,55.85,52.43,52.6,27025
2015-08-03,51.89,52.97,49.65,50.61,28155
2015-08-04,50.28,52.38,49.31,49.9,30495
2015-08-05,49.6,53.16,49.55,52.87,43498
2015-08-06,52.37,52.37,50.25,50.93,9217
2015-08-07,50.58,50.93,49.29,50.15,9021
2015-08-10,50.19,50.44,46.45,47.72,25532
2015-08-11,47.0,47.8,46.0,47.3,20668
2015-08-12,46.6,47.99,44.96,47.27,22690
2015-08-13,47.73,48.19,46.34,47.04,20460
2015-08-14,47.03,47.06,45.33,46.41,10159
2015-08-17,45.86,48.96,45.53,48.24,9339
2015-08-18,48.49,48.7,46.89,46.89,6808
2015-08-19,46.9,48.93,45.29,45.71,9621
2015-08-20,45.71,45.71,42.09,42.67,7682
2015-08-21,41.92,43.32,37.75,41.39,26268
2015-08-24,37.3,42.33,30.33,41.29,25855
2015-08-25,42.4,42.4,37.78,39.08,12530
2015-08-26,39.71,41.11,39.02,41.11,12946
2015-08-27,41.24,41.92,40.57,41.06,15774
2015-08-28,40.67,41.2,40.5,40.5,7104
2015-08-31,40.71,41.47,37.84,38.63,28121
2015-09-01,37.85,38.97,37.07,38.2,9386
2015-09-02,38.6,39.5,37.95,38.3,8444
2015-09-03,37.91,38.52,37.41,37.62,12169
2015-09-04,37.55,38.65,37.03,38.23,18279
2015-09-08,38.38,40.88,37.9,40.88,8671
2015-09-09,40.49,40.5,39.2,40.0,16243
2015-09-10,39.75,41.85,39.75,41.5,13568
2015-09-11,41.5,43.85,40.5,42.21,43565
2015-09-14,38.18,44.18,38.18,42.68,10265
2015-09-15,43.32,43.32,41.37,42.0,2378
2015-09-16,42.0,44.47,40.09,44.47,12204
2015-09-17,44.02,45.24,43.15,44.79,2928
2015-09-18,43.99,45.8,43.99,44.6,9597
2015-09-21,44.85,45.1,43.9,44.58,19063
2015-09-22,44.38,45.06,42.1,42.85,12070
2015-09-23,42.95,42.95,39.7,40.03,9825
2015-09-24,39.61,39.61,35.11,35.28,35392
2015-09-25,35.46,36.1,35.1,35.11,23121
2015-09-28,35.1,35.12,32.82,33.59,26826
2015-09-29,34.13,34.84,32.99,34.19,17561
