date,open,high,low,close,volume
2015-02-17,23.97,24.0,23.9,23.98,5296
2015-02-18,23.66,23.98,23.66,23.68,829
2015-02-19,23.73,23.98,23.73,23.98,900
2015-02-20,23.98,24.74,23.98,24.2,15135
2015-02-23,24.24,24.4,24.24,24.4,2808
2015-02-24,24.4,24.74,24.4,24.74,4065
2015-02-25,24.75,25.0,23.82,24.52,7058
2015-02-26,24.96,24.96,24.21,24.59,5185
2015-02-27,25.0,25.0,24.5,24.54,6029
2015-03-02,24.62,24.81,24.6,24.61,7690
2015-03-03,24.65,24.66,24.06,24.1,5475
2015-03-04,24.43,24.43,23.94,23.94,3307
2015-03-05,23.95,23.95,23.71,23.95,2835
2015-03-06,23.81,23.87,23.6,23.6,3286
2015-03-09,23.65,24.05,23.6,23.76,3630
2015-03-10,23.6,23.65,23.6,23.61,1742
2015-03-11,23.63,24.3,23.6,24.26,3902
2015-03-12,24.23,24.59,24.23,24.5,4699
2015-03-13,24.91,24.91,24.5,24.5,2684
2015-03-16,24.5,24.51,23.89,24.39,7884
2015-03-17,24.4,24.5,24.35,24.35,5519
2015-03-18,24.34,25.1,24.25,24.75,9668
2015-03-19,24.29,25.06,24.25,24.75,3455
2015-03-20,24.94,24.98,24.75,24.91,6481
2015-03-23,24.9,25.2,24.65,24.9,11062
2015-03-24,24.58,24.67,24.3,24.62,1675
2015-03-25,24.9,24.9,24.02,24.8,4344
2015-03-26,24.7,24.7,24.5,24.5,2182
2015-03-27,24.3,24.66,24.3,24.64,1217
2015-03-30,24.64,24.7,24.4,24.4,9432
2015-03-31,24.9,24.9,24.5,24.5,1000
2015-04-01,24.71,24.8,24.5,24.57,3001
2015-04-02,24.78,24.9,24.51,24.88,5492
2015-04-06,24.68,24.9,24.68,24.9,592
2015-04-07,24.86,24.9,24.79,24.9,5538
2015-04-08,24.79,24.79,24.55,24.68,1886
2015-04-09,24.89,24.9,24.52,24.9,1180
2015-04-10,24.43,24.74,24.0,24.05,4307
2015-04-13,24.0,24.74,24.0,24.7,10760
2015-04-14,24.7,26.68,24.16,24.16,21917
2015-04-15,25.33,25.95,24.97,25.93,14905
2015-04-16,25.05,25.5,25.04,25.04,7202
2015-04-17,25.32,25.75,25.1,25.37,9274
2015-04-20,25.04,25.1,25.04,25.1,606
2015-04-21,25.0,25.1,24.28,24.28,5429
2015-04-22,24.19,25.2,24.19,24.7,3120
2015-04-23,24.32,25.15,24.15,24.25,11038
2015-04-24,24.37,24.5,24.37,24.5,646
2015-04-27,24.38,24.95,24.38,24.95,6433
2015-04-28,24.9,24.9,24.74,24.9,1109
2015-04-29,24.89,24.9,24.75,24.75,2305
2015-04-30,24.85,25.45,24.75,25.21,5599
2015-05-01,24.84,25.45,24.84,24.93,1300
2015-05-04,24.81,25.45,24.75,25.44,900
2015-05-05,24.78,25.4,24.68,25.4,3675
2015-05-06,24.64,25.29,24.64,24.67,1300
2015-05-07,24.27,25.34,24.27,25.34,1243
2015-05-08,25.28,25.36,25.28,25.28,1245
2015-05-11,25.31,25.31,24.58,25.31,701
2015-05-12,25.27,25.34,24.58,25.27,1001
2015-05-13,25.23,25.26,24.72,24.8,1694
2015-05-14,24.75,24.89,24.75,24.76,3240
2015-05-15,24.88,25.2,24.76,24.76,2100
2015-05-18,24.81,25.05,24.77,24.78,1722
2015-05-19,24.78,25.33,24.78,24.81,1103
2015-05-20,24.81,24.81,24.81,24.81,100
2015-05-21,25.0,25.0,24.81,24.81,250
2015-05-22,24.8,24.93,24.8,24.93,1387
2015-05-26,24.8,25.3,24.8,25.22,2484
2015-05-27,25.28,25.28,25.05,25.17,701
2015-05-28,24.76,25.21,24.74,25.21,1820
2015-05-29,25.27,25.27,25.27,25.27,330
2015-06-01,24.79,25.33,24.79,25.33,516
2015-06-02,24.82,24.98,24.82,24.98,1302
2015-06-03,24.8,24.86,24.8,24.86,881
2015-06-04,0.0,0.0,0.0,24.86,0
2015-06-05,24.82,24.82,24.3,24.34,5062
2015-06-08,24.33,24.95,24.25,24.26,6106
2015-06-09,24.2,24.79,24.2,24.79,1600
2015-06-10,24.2,24.66,24.0,24.63,9875
2015-06-11,24.65,24.65,24.5,24.57,3479
2015-06-12,24.64,25.4,24.22,24.5,4910
2015-06-15,24.82,25.56,24.4,25.1,9778
2015-06-16,25.0,25.34,24.62,24.73,5741
2015-06-17,25.19,25.45,24.84,24.84,3415
2015-06-18,25.23,25.41,24.9,25.01,4355
2015-06-19,25.05,25.4,25.04,25.27,4271
2015-06-22,24.8,25.25,24.75,25.25,2150
2015-06-23,24.87,25.35,24.87,25.17,3967
2015-06-24,25.32,25.34,25.18,25.18,1500
2015-06-25,25.21,25.35,25.12,25.19,1852
2015-06-26,25.34,25.35,25.11,25.35,2442
