date,open,high,low,close,volume
2018-08-09,25.2,25.2,25.2,25.2,100
2018-08-10,24.52,24.52,24.52,24.52,157
2018-08-13,0.0,0.0,0.0,24.52,0
2018-08-14,0.0,0.0,0.0,24.52,0
2018-08-15,0.0,0.0,0.0,24.52,0
2018-08-16,0.0,0.0,0.0,24.52,0
2018-08-17,24.11,24.11,24.11,24.11,156
2018-08-20,0.0,0.0,0.0,24.11,0
2018-08-21,24.7,24.7,24.69,24.69,400
2018-08-22,0.0,0.0,0.0,24.69,0
2018-08-23,0.0,0.0,0.0,24.69,0
2018-08-24,0.0,0.0,0.0,24.69,0
2018-08-27,0.0,0.0,0.0,24.69,0
2018-08-28,0.0,0.0,0.0,24.69,0
2018-08-29,0.0,0.0,0.0,24.69,0
2018-08-30,0.0,0.0,0.0,24.69,0
2018-08-31,0.0,0.0,0.0,24.69,21
2018-09-04,24.33,24.33,24.32,24.32,390
2018-09-05,0.0,0.0,0.0,24.32,0
2018-09-06,0.0,0.0,0.0,24.32,0
2018-09-07,0.0,0.0,0.0,24.32,0
2018-09-10,24.32,24.32,24.32,24.32,121
2018-09-11,0.0,0.0,0.0,24.32,0
2018-09-12,0.0,0.0,0.0,24.32,0
2018-09-13,0.0,0.0,0.0,24.32,0
2018-09-14,24.51,24.51,24.51,24.51,101
2018-09-17,24.77,24.77,24.75,24.76,340
2018-09-18,0.0,0.0,0.0,24.76,131
2018-09-19,24.95,24.95,24.95,24.95,500
2018-09-20,25.34,25.36,25.34,25.36,200
2018-09-21,25.43,25.46,25.43,25.45,960
2018-09-24,25.5,25.5,25.5,25.5,500
2018-09-25,25.47,25.47,25.45,25.45,398
2018-09-26,25.44,25.44,25.44,25.44,100
2018-09-27,25.33,25.35,25.3,25.3,1526
2018-09-28,0.0,0.0,0.0,25.3,1
2018-10-01,24.77,24.77,24.77,24.77,196
2018-10-02,24.71,24.71,24.69,24.71,6400
2018-10-03,24.77,24.81,24.76,24.76,1875
2018-10-04,0.0,0.0,0.0,24.76,10
2018-10-05,24.66,24.66,24.53,24.53,566
2018-10-08,24.23,24.23,24.2,24.2,402
2018-10-09,0.0,0.0,0.0,24.2,40
2018-10-10,24.54,24.64,24.15,24.15,6839
2018-10-11,23.73,23.83,23.73,23.83,310
2018-10-12,0.0,0.0,0.0,23.83,0
2018-10-15,0.0,0.0,0.0,23.83,50
2018-10-16,23.95,23.95,23.95,23.95,1800
2018-10-17,0.0,0.0,0.0,23.95,0
2018-10-18,0.0,0.0,0.0,23.95,0
2018-10-19,0.0,0.0,0.0,23.95,0
2018-10-22,0.0,0.0,0.0,23.95,0
2018-10-23,0.0,0.0,0.0,23.95,0
2018-10-24,23.2,23.2,22.85,22.85,14000
2018-10-25,22.92,22.92,22.92,22.92,131
