date,open,high,low,close,volume
2019-10-08,25.34,25.37,25.33,25.37,400
2019-10-09,25.4,25.41,25.35,25.35,1308
2019-10-10,25.17,25.17,25.0,25.01,1401
2019-10-11,24.96,25.02,24.93,25.02,2401
2019-10-14,25.25,25.25,25.15,25.2,542
2019-10-15,25.0,25.0,24.85,24.85,11270
2019-10-16,24.84,24.84,24.84,24.84,0
2019-10-17,25.06,25.06,25.06,25.06,2
2019-10-18,25.01,25.07,25.01,25.07,244
2019-10-21,25.13,25.13,25.06,25.06,100
2019-10-22,25.08,25.08,25.02,25.02,102
2019-10-23,25.05,25.05,25.05,25.05,0
2019-10-24,25.42,25.42,25.42,25.42,304
2019-10-25,26.14,26.14,25.63,25.78,775
2019-10-28,25.48,25.48,25.48,25.48,11
2019-10-29,25.45,25.45,25.45,25.45,14
2019-10-30,25.31,25.53,25.26,25.53,1014
2019-10-31,25.84,25.84,25.84,25.84,0
2019-11-01,25.75,25.84,25.75,25.84,300
2019-11-04,25.76,25.76,25.76,25.76,50
2019-11-05,25.16,25.17,25.14,25.14,4316
2019-11-06,25.09,25.16,25.06,25.14,2301
2019-11-07,24.56,24.56,24.26,24.43,521
2019-11-08,23.97,23.97,23.97,23.97,0
2019-11-11,24.1,24.1,23.8,24.04,2201
2019-11-12,23.96,23.99,23.96,23.99,105
2019-11-13,24.16,24.19,24.16,24.19,1900
2019-11-14,24.13,24.27,24.13,24.27,100
2019-11-15,24.2,24.21,24.16,24.16,205
2019-11-18,24.3,24.3,24.3,24.3,0
2019-11-19,24.44,24.44,24.44,24.44,0
2019-11-20,24.48,24.48,24.48,24.48,8
2019-11-21,24.41,24.41,24.41,24.41,0
2019-11-22,24.26,24.26,24.26,24.26,100
2019-11-25,24.09,24.09,24.09,24.09,0
2019-11-26,24.4,24.4,24.4,24.4,0
2019-11-27,24.18,24.18,24.18,24.18,0
2019-11-29,24.27,24.27,24.27,24.27,0
2019-12-02,24.11,24.11,24.08,24.08,100
2019-12-03,24.47,24.47,24.47,24.47,0
2019-12-04,23.99,23.99,23.99,23.99,3
2019-12-05,24.16,24.16,24.16,24.16,3
2019-12-06,23.59,23.59,23.59,23.59,40
2019-12-09,23.62,23.62,23.62,23.62,0
2019-12-10,23.73,23.73,23.73,23.73,0
2019-12-11,24.01,24.01,24.01,24.01,0
2019-12-12,24.15,24.15,24.15,24.15,9
2019-12-13,24.12,24.12,24.12,24.12,10
2019-12-16,24.26,24.26,24.26,24.26,5
2019-12-17,24.17,24.17,24.17,24.17,0
2019-12-18,24.23,24.23,24.23,24.23,1
2019-12-19,24.31,24.31,24.31,24.31,0
2019-12-20,24.44,24.44,24.44,24.44,16
2019-12-23,24.82,24.82,24.82,24.82,0
2019-12-24,25.31,25.31,25.31,25.31,100
2019-12-26,25.54,25.54,25.54,25.54,3
2019-12-27,25.3,25.3,25.3,25.3,35
2019-12-30,25.51,25.51,25.51,25.51,0
2019-12-31,25.43,25.43,25.43,25.43,0
