date,open,high,low,close,volume
2017-11-29,25.06,25.31,25.06,25.3,1055
2017-11-30,25.3,25.56,25.3,25.56,2663
2017-12-01,25.52,25.52,25.25,25.25,520
2017-12-04,25.72,25.72,25.72,25.72,172
2017-12-05,25.56,25.56,25.56,25.56,216
2017-12-06,25.4,25.4,25.39,25.39,1226
2017-12-07,25.52,25.52,25.52,25.52,210
2017-12-08,25.68,25.72,25.68,25.69,1620
2017-12-11,25.83,25.86,25.83,25.85,10421
2017-12-12,25.96,25.96,25.94,25.94,5322
2017-12-13,25.95,25.95,25.95,25.95,178
2017-12-14,25.86,25.86,25.78,25.78,11812
2017-12-15,25.85,25.94,25.85,25.94,5895
2017-12-18,26.16,26.22,26.16,26.22,923
2017-12-19,26.24,26.24,26.04,26.06,2245
2017-12-20,26.04,26.04,26.04,26.04,258
2017-12-21,26.16,26.16,26.05,26.12,3141
2017-12-22,26.17,26.17,26.1,26.13,930
2017-12-26,26.2,26.27,26.2,26.25,620
2017-12-27,26.23,26.24,26.16,26.18,2881
2017-12-28,26.13,26.15,26.11,26.15,1710
2017-12-29,26.22,26.22,26.15,26.15,1754
2018-01-02,26.27,26.29,26.25,26.29,6180
2018-01-03,26.33,26.36,26.32,26.36,1829
2018-01-04,26.5,26.5,26.36,26.44,3267
2018-01-05,26.47,26.52,26.44,26.52,784
2018-01-08,26.76,26.76,26.65,26.69,1365
2018-01-09,0.0,0.0,0.0,26.69,110
2018-01-10,26.71,26.71,26.71,26.71,5225
2018-01-11,26.84,26.97,26.84,26.97,564
2018-01-12,27.18,27.22,27.16,27.19,1467
2018-01-16,27.42,27.42,27.3,27.3,1115
2018-01-17,27.24,27.24,27.24,27.24,407
2018-01-18,27.13,27.13,27.13,27.13,430
2018-01-19,0.0,0.0,0.0,27.13,52
2018-01-22,27.38,27.53,27.38,27.53,3675
2018-01-23,27.64,27.64,27.64,27.64,324
2018-01-24,27.89,27.89,27.64,27.67,1346
2018-01-25,27.78,27.79,27.78,27.79,5734
2018-01-26,27.85,28.19,27.85,28.19,1489
2018-01-29,0.0,0.0,0.0,28.19,208
