date,open,high,low,close,volume
2015-03-02,34.37,34.65,34.21,34.64,21637623
2015-03-03,34.53,34.65,34.35,34.41,20202426
2015-03-04,34.45,34.45,33.97,34.0,23392257
2015-03-05,34.15,34.2,33.99,34.0,14524108
2015-03-06,33.58,33.77,33.37,33.48,39761466
2015-03-09,33.45,33.59,33.31,33.35,19465163
2015-03-10,33.26,33.26,32.75,32.78,32469515
2015-03-11,32.88,32.89,32.52,32.62,29021649
2015-03-12,32.84,33.21,32.7,33.13,27016791
2015-03-13,32.99,33.03,32.6,32.76,26808003
2015-03-16,32.79,33.1,32.68,33.06,20531508
2015-03-17,32.85,33.12,32.77,32.9,23903202
2015-03-18,32.93,33.59,32.69,33.59,47849320
2015-03-19,33.51,33.51,33.18,33.2,19913718
2015-03-20,33.27,33.6,33.21,33.23,38651753
2015-03-23,33.37,33.68,33.28,33.28,23983771
2015-03-24,33.23,33.42,33.07,33.07,20127168
2015-03-25,33.02,33.11,32.62,32.62,29163095
2015-03-26,32.63,33.13,32.61,32.82,30624186
2015-03-27,32.94,32.95,32.7,32.75,20852749
2015-03-30,32.82,33.04,32.8,32.97,18904259
2015-03-31,32.97,33.03,32.65,32.65,27900236
2015-04-01,32.62,32.91,32.54,32.89,25365035
2015-04-02,32.9,33.23,32.82,33.13,19273905
2015-04-06,33.15,33.41,33.06,33.33,22972509
2015-04-07,33.35,33.45,33.16,33.16,24004977
2015-04-08,32.73,32.85,32.57,32.65,21381233
2015-04-09,32.58,32.79,32.44,32.69,21073712
2015-04-10,32.77,32.83,32.65,32.77,15063632
2015-04-13,32.76,33.07,32.7,32.88,22730981
2015-04-14,32.92,32.93,32.62,32.69,18265057
2015-04-15,32.71,32.96,32.64,32.89,19856010
2015-04-16,32.76,32.9,32.7,32.75,17597252
2015-04-17,32.65,32.7,32.37,32.51,29716225
2015-04-20,32.65,32.87,32.65,32.83,24314582
2015-04-21,32.84,32.85,32.58,32.66,19720409
2015-04-22,32.78,32.89,32.55,32.86,29775479
2015-04-23,33.45,34.4,33.33,34.23,91372881
2015-04-24,34.21,34.32,33.96,34.01,42046912
2015-04-27,34.05,34.3,34.04,34.09,24468943
2015-04-28,34.28,34.99,34.17,34.86,48688362
2015-04-29,34.58,35.23,34.54,34.76,40722497
2015-04-30,34.7,34.9,34.55,34.64,29693238
2015-05-01,34.56,34.72,34.13,34.42,34167621
2015-05-04,34.41,34.71,34.25,34.53,21304960
2015-05-05,34.49,34.58,33.66,33.72,31805035
2015-05-06,33.71,33.79,33.08,33.38,30701511
2015-05-07,33.25,33.56,33.11,33.37,22643503
2015-05-08,33.72,33.83,33.59,33.69,27681434
2015-05-11,33.65,33.7,33.38,33.49,21479715
2015-05-12,33.31,33.94,33.03,33.66,41281635
2015-05-13,33.63,34.14,33.57,33.9,34748757
2015-05-14,34.08,34.2,34.0,34.13,23908724
2015-05-15,34.11,34.39,34.01,34.33,28264128
2015-05-18,34.28,35.02,34.26,34.87,59611861
2015-05-19,34.79,34.85,34.17,34.37,38270674
2015-05-20,34.43,34.71,34.29,34.62,27280899
2015-05-21,34.55,35.22,34.52,35.07,41576038
2015-05-22,34.89,35.03,34.62,34.71,26349206
2015-05-26,34.6,34.76,34.26,34.67,40654956
2015-05-27,34.75,35.1,34.6,34.95,36633602
2015-05-28,34.96,34.97,34.64,34.8,19591680
2015-05-29,34.75,34.82,34.54,34.54,29885075
2015-06-01,34.53,34.6,34.24,34.35,28235746
2015-06-02,34.37,34.53,34.28,34.36,19508848
2015-06-03,34.45,35.17,34.36,35.03,39115938
2015-06-04,34.92,35.48,34.78,35.27,56219033
2015-06-05,35.16,35.17,34.5,34.57,36713215
2015-06-08,34.5,34.72,34.49,34.59,25928796
2015-06-09,34.59,34.79,34.5,34.51,23986602
2015-06-10,34.59,34.76,34.59,34.72,31312320
2015-06-11,34.82,34.98,34.78,34.88,30440848
2015-06-12,34.75,34.96,34.64,34.65,25869065
2015-06-15,34.54,34.57,34.4,34.41,24465457
2015-06-16,34.3,34.75,34.26,34.67,29729847
2015-06-17,34.72,34.85,34.54,34.8,30455930
2015-06-18,34.8,35.1,34.76,35.02,37333202
2015-06-19,34.92,35.06,34.88,34.99,35660954
2015-06-22,35.1,35.15,35.0,35.04,23586540
2015-06-23,35.57,36.25,35.51,35.91,69970850
2015-06-24,35.92,35.95,35.68,35.78,33443204
2015-06-25,36.13,36.45,36.04,36.18,47585217
2015-06-26,36.38,36.4,35.91,36.12,30005945
2015-06-29,35.87,36.23,35.75,35.77,28999241
2015-06-30,36.03,36.15,35.46,35.52,31390076
2015-07-01,35.59,35.63,35.27,35.57,36972230
2015-07-02,35.85,35.93,35.64,35.73,22254343
2015-07-06,35.6,35.66,35.47,35.61,25640275
2015-07-07,35.79,35.85,35.37,35.77,27143865
2015-07-08,35.28,35.32,34.74,34.79,31591717
2015-07-09,35.02,35.04,34.33,34.39,33071347
2015-07-10,34.62,34.85,34.39,34.65,30999216
2015-07-13,34.75,34.97,34.67,34.88,26803199
2015-07-14,34.74,35.13,34.66,35.12,25142412
2015-07-15,35.1,35.13,34.68,34.73,29044933
2015-07-16,34.85,35.19,34.85,35.16,18452262
2015-07-17,35.1,35.24,34.9,35.01,21900306
2015-07-20,35.04,35.06,34.71,34.9,22216806
2015-07-21,34.67,34.67,34.39,34.57,27871667
2015-07-22,34.25,34.35,34.02,34.27,51795757
2015-07-23,34.28,34.34,33.86,33.93,37054344
2015-07-24,34.66,35.09,34.29,34.29,87250857
2015-07-27,34.22,34.66,34.02,34.32,50523631
2015-07-28,34.57,34.58,34.22,34.33,52950672
2015-07-29,34.47,34.91,34.37,34.69,42986075
2015-07-30,34.86,34.89,34.68,34.8,25958774
2015-07-31,34.94,34.99,34.72,34.74,29880938
2015-08-03,34.95,35.02,34.5,34.66,29677589
2015-08-04,34.79,34.8,34.5,34.58,26249913
2015-08-05,34.79,34.83,34.51,34.57,22837624
2015-08-06,34.55,34.59,33.95,34.24,32734164
2015-08-07,34.11,34.26,34.04,34.21,25627574
2015-08-10,34.3,34.78,34.2,34.78,29179771
