date,open,high,low,close,volume
2016-12-01,12.12,12.77,12.12,12.46,1536750
2016-12-02,12.5,12.58,11.99,12.21,6587112
2016-12-05,12.22,12.33,12.09,12.23,2512074
2016-12-06,12.33,12.37,12.0,12.04,1248990
2016-12-07,12.0,12.04,11.71,11.73,2440650
2016-12-08,11.67,12.1,11.66,12.03,4109490
2016-12-09,12.13,12.2,12.03,12.11,1496256
2016-12-12,12.03,12.03,11.68,11.77,2349000
2016-12-13,11.86,12.17,11.79,11.99,1509528
2016-12-14,12.01,12.04,11.8,11.9,1595610
2016-12-15,11.79,11.89,11.44,11.44,4192548
2016-12-16,11.44,11.48,11.13,11.28,3137622
2016-12-19,11.28,11.31,11.17,11.17,1475622
2016-12-20,11.18,11.29,11.11,11.13,2521110
2016-12-21,11.08,11.19,11.02,11.16,1304742
2016-12-22,11.18,11.32,11.02,11.31,1291536
2016-12-23,11.37,11.58,11.23,11.45,1142454
2016-12-27,11.52,12.04,11.48,11.75,2021286
2016-12-28,11.81,11.98,11.69,11.74,1113660
2016-12-29,11.79,11.94,11.79,11.85,1044438
2016-12-30,11.84,11.93,11.67,11.69,2513418
2017-01-03,11.83,12.02,11.7,11.99,2333022
2017-01-04,12.05,12.5,12.01,12.33,2998338
2017-01-05,12.45,12.96,12.35,12.79,3094482
2017-01-06,12.83,12.91,12.6,12.78,2020656
2017-01-09,12.81,12.97,12.68,12.84,1899786
2017-01-10,12.85,12.88,12.64,12.73,2172258
2017-01-11,12.71,12.72,12.48,12.58,1608510
2017-01-12,12.51,12.64,12.45,12.55,1151184
2017-01-13,12.63,12.69,12.5,12.61,2419716
2017-01-17,12.62,12.8,12.58,12.61,3771870
2017-01-18,12.65,12.8,12.34,12.49,5387652
2017-01-19,12.94,13.44,12.9,13.42,10871244
2017-01-20,13.47,13.98,13.42,13.51,4290780
2017-01-23,13.5,13.51,12.95,13.13,2588940
2017-01-24,13.23,13.3,13.0,13.22,3763452
2017-01-25,13.33,13.4,13.05,13.38,2834304
2017-01-26,13.75,13.77,13.27,13.38,2740110
2017-01-27,13.42,13.53,13.27,13.49,1125414
2017-01-30,13.42,13.42,13.12,13.29,916980
2017-01-31,13.29,13.54,13.26,13.5,1499280
2017-02-01,13.56,13.58,13.32,13.53,2565762
2017-02-02,13.52,13.83,13.52,13.64,2250642
2017-02-03,13.7,13.75,13.51,13.63,1494384
2017-02-06,13.7,14.03,13.7,13.89,4007370
2017-02-07,13.88,14.03,13.88,13.96,2564388
2017-02-08,13.98,14.02,13.8,14.0,2920878
2017-02-09,14.04,14.22,14.01,14.22,2272446
2017-02-10,14.3,14.66,14.24,14.52,2822520
2017-02-13,14.6,14.64,14.45,14.53,1939146
2017-02-14,14.39,14.41,13.77,14.18,5371320
2017-02-15,14.25,14.28,14.02,14.18,2144820
2017-02-16,14.14,14.2,13.95,14.1,1943760
2017-02-17,13.98,13.99,13.83,13.94,2751192
2017-02-21,13.95,14.0,13.5,13.88,3681414
2017-02-22,13.89,14.21,13.77,13.98,3141108
2017-02-23,14.04,14.33,14.0,14.21,3397128
2017-02-24,14.09,14.28,14.04,14.21,2292588
2017-02-27,14.17,14.38,13.93,14.29,2098104
2017-02-28,14.31,14.62,14.3,14.41,2786592
2017-03-01,14.42,15.33,14.42,15.27,3898956
2017-03-02,15.16,15.18,14.84,15.0,5200002
2017-03-03,14.99,15.13,14.9,15.07,2192088
2017-03-06,15.08,15.38,14.93,15.28,2627616
2017-03-07,15.26,15.42,15.07,15.12,2301570
2017-03-08,15.21,15.28,15.08,15.09,1231512
2017-03-09,15.11,15.19,14.94,15.12,1180566
2017-03-10,15.16,15.33,15.08,15.26,1144290
2017-03-13,15.3,15.66,15.26,15.56,1344738
2017-03-14,15.51,15.61,15.39,15.49,1961244
2017-03-15,15.52,16.0,15.52,15.85,4807794
2017-03-16,15.96,16.09,15.89,15.95,1164564
2017-03-17,16.0,16.66,15.92,16.58,3255000
2017-03-20,16.67,16.95,16.58,16.71,3002262
2017-03-21,16.91,17.15,16.53,16.88,4407678
2017-03-22,16.67,17.16,16.57,17.15,2320182
2017-03-23,17.19,17.51,17.02,17.29,2350032
2017-03-24,17.26,18.08,17.26,17.73,3228336
2017-03-27,17.61,17.61,16.6,17.0,5451264
2017-03-28,16.76,17.2,16.65,17.14,2868726
2017-03-29,17.1,17.44,16.81,17.34,2982258
2017-03-30,17.34,17.34,16.87,17.12,4164468
2017-03-31,17.08,17.86,17.05,17.76,2768916
2017-04-03,17.77,17.83,17.47,17.73,1877394
2017-04-04,17.75,17.95,17.53,17.64,1588710
2017-04-05,17.73,17.82,17.4,17.47,2616162
2017-04-06,17.47,18.1,17.26,17.97,2893944
2017-04-07,17.95,17.95,17.62,17.71,1741824
2017-04-10,17.59,17.67,17.34,17.38,3801432
2017-04-11,17.36,17.4,16.93,17.06,5437512
2017-04-12,17.0,17.11,16.75,17.03,3574212
2017-04-13,17.08,17.92,17.01,17.71,2796060
2017-04-17,17.85,17.85,17.52,17.77,1210476
2017-04-18,17.77,17.99,17.36,17.6,1654098
2017-04-19,17.7,18.08,17.51,17.96,1870374
2017-04-20,18.05,18.05,17.68,17.94,1647270
2017-04-21,17.84,18.61,17.77,18.45,2921550
2017-04-24,18.56,19.06,18.51,18.79,2889216
2017-04-25,18.94,19.65,18.88,19.41,4727346
2017-04-26,19.53,19.68,19.32,19.36,3397278
2017-04-27,20.1,20.6,19.76,19.9,5383824
2017-04-28,19.9,20.13,19.49,19.85,2861670
2017-05-01,19.85,19.97,19.43,19.84,1584258
