date,open,high,low,close,volume
2015-02-17,59.18,59.9,58.83,59.83,273520
2015-02-18,59.55,59.82,58.8,59.72,294668
2015-02-19,59.58,59.93,59.22,59.92,297397
2015-02-20,59.86,60.27,59.33,60.23,269358
2015-02-23,60.1,61.34,60.1,60.94,407797
2015-02-24,61.05,62.03,60.41,61.91,504877
2015-02-25,61.92,62.49,61.79,62.27,300554
2015-02-26,62.32,62.81,62.16,62.43,294788
2015-02-27,62.52,62.56,61.59,61.66,306812
2015-03-02,61.77,62.34,61.13,61.35,414421
2015-03-03,61.79,63.03,61.54,62.41,416584
2015-03-04,62.41,62.47,61.43,62.32,295351
2015-03-05,62.5,62.5,61.1,61.37,363540
2015-03-06,63.0,63.94,60.86,61.35,789194
2015-03-09,61.5,61.58,60.79,61.43,325091
2015-03-10,61.16,61.4,60.22,60.46,404125
2015-03-11,60.64,61.01,60.1,60.66,344694
2015-03-12,60.98,61.97,60.96,61.78,455965
2015-03-13,61.77,62.37,60.79,61.66,420186
2015-03-16,62.37,62.37,61.83,62.17,515413
2015-03-17,62.24,62.35,61.87,62.28,374278
2015-03-18,62.35,62.97,62.07,62.61,656334
2015-03-19,62.62,63.5,62.51,63.39,414483
2015-03-20,63.85,63.85,63.26,63.54,845855
2015-03-23,63.71,64.12,63.5,63.9,269465
2015-03-24,63.84,64.18,63.52,63.74,317102
2015-03-25,63.76,63.79,63.11,63.19,313518
2015-03-26,62.69,62.69,62.06,62.35,410418
2015-03-27,62.43,63.4,62.17,63.29,319205
2015-03-30,63.73,64.09,63.72,63.8,450319
2015-03-31,63.78,63.96,62.87,63.21,385647
2015-04-01,63.09,63.23,62.5,62.97,309272
2015-04-02,63.22,64.34,63.22,63.95,530620
2015-04-06,63.92,64.65,63.75,64.38,1005119
2015-04-07,64.28,64.28,62.48,62.55,480955
2015-04-08,62.53,62.86,61.91,62.14,365031
2015-04-09,62.68,62.86,62.09,62.44,281274
2015-04-10,62.62,63.14,62.3,62.56,217067
2015-04-13,62.46,62.56,61.62,61.87,275159
2015-04-14,61.89,62.23,61.18,62.23,284556
2015-04-15,62.32,62.39,61.31,61.31,493397
2015-04-16,61.06,61.61,60.73,61.55,592168
2015-04-17,61.24,61.37,60.8,61.32,413066
2015-04-20,61.77,62.39,61.1,62.32,311134
2015-04-21,62.63,62.63,61.97,62.18,293152
2015-04-22,62.14,62.23,61.43,61.66,291147
2015-04-23,61.35,61.7,61.24,61.35,276356
2015-04-24,61.57,61.91,60.74,61.37,234411
2015-04-27,61.51,61.88,61.16,61.36,247941
2015-04-28,61.2,61.43,60.79,61.32,227130
2015-04-29,61.71,62.6,61.04,61.33,384973
2015-04-30,61.0,61.42,60.1,60.17,343155
2015-05-01,60.67,61.31,60.37,61.08,289481
2015-05-04,61.53,62.41,60.73,60.75,360012
2015-05-05,60.57,60.86,59.29,59.75,450469
2015-05-06,59.73,59.85,59.03,59.59,335253
2015-05-07,59.59,60.39,59.15,59.99,345509
2015-05-08,60.65,60.81,59.83,59.98,469782
2015-05-11,59.9,60.55,59.64,60.36,324841
2015-05-12,60.17,60.99,59.67,60.64,240731
2015-05-13,60.96,61.18,60.39,60.74,211200
2015-05-14,61.0,61.41,60.46,61.27,281151
2015-05-15,61.38,61.5,60.94,61.29,249351
2015-05-18,61.21,62.11,60.99,62.11,337328
2015-05-19,62.32,62.41,61.77,61.92,262015
2015-05-20,62.9,63.08,62.37,62.44,356759
2015-05-21,62.35,63.14,62.33,62.61,189728
2015-05-22,62.39,63.04,62.25,62.68,214109
2015-05-26,62.9,62.97,60.78,61.76,314410
2015-05-27,61.96,62.45,61.43,62.39,204433
2015-05-28,62.41,62.45,61.51,62.08,304527
2015-05-29,62.05,62.1,60.99,61.09,448568
2015-06-01,61.22,61.98,61.05,61.47,461123
2015-06-02,61.14,62.1,61.08,61.79,322966
2015-06-03,61.85,62.42,61.51,62.34,411292
2015-06-04,62.05,62.46,61.11,61.45,405833
2015-06-05,58.82,59.0,57.31,57.59,1649139
2015-06-08,57.41,58.32,56.7,58.01,975407
2015-06-09,57.99,58.21,57.53,57.59,538074
2015-06-10,58.06,58.24,57.59,57.75,549082
2015-06-11,57.77,58.54,57.77,58.22,528685
2015-06-12,58.08,58.71,57.96,58.63,320609
2015-06-15,58.1,58.32,57.27,57.5,616010
2015-06-16,57.65,57.82,57.33,57.79,395031
2015-06-17,57.81,58.06,57.4,57.74,411177
2015-06-18,57.83,58.57,57.67,58.17,487158
2015-06-19,57.99,58.42,57.69,57.99,547018
2015-06-22,58.5,58.5,57.59,58.0,695602
2015-06-23,58.12,58.41,57.87,58.28,420249
2015-06-24,58.06,58.49,57.38,57.46,248897
2015-06-25,57.95,58.3,57.24,57.82,466685
2015-06-26,57.98,58.11,57.74,58.01,466470
