date,open,high,low,close,volume
2015-02-17,8.88,8.9,8.88,8.89,5729
2015-02-18,8.96,8.99,8.91,8.96,3021
2015-02-19,0.0,0.0,0.0,8.96,162
2015-02-20,8.97,9.0,8.97,8.99,1559
2015-02-23,8.99,8.99,8.68,8.85,9370
2015-02-24,8.87,8.99,8.86,8.99,1657
2015-02-25,8.98,8.98,8.94,8.94,415
2015-02-26,9.0,9.0,8.91,8.91,468
2015-02-27,8.94,8.99,8.94,8.99,2622
2015-03-02,8.99,8.99,8.99,8.99,1110
2015-03-03,8.87,9.0,8.87,8.99,2460
2015-03-04,8.94,9.0,8.94,9.0,1501
2015-03-05,9.0,9.16,8.88,8.88,13651
2015-03-06,9.45,9.47,8.87,9.0,4846
2015-03-09,8.95,8.95,8.85,8.9,10787
2015-03-10,8.84,8.85,8.3,8.31,17042
2015-03-11,8.45,8.45,8.0,8.16,14772
2015-03-12,8.01,8.05,6.52,7.89,70863
2015-03-13,8.1,8.37,7.9,8.31,57634
2015-03-16,8.15,8.56,8.0,8.45,20271
2015-03-17,8.46,8.74,8.41,8.47,5091
2015-03-18,8.57,8.78,7.95,8.65,10650
2015-03-19,8.65,8.85,8.57,8.57,7960
2015-03-20,8.17,8.77,8.12,8.45,33826
2015-03-23,8.51,8.87,8.31,8.68,11792
2015-03-24,8.72,8.72,8.48,8.65,1126
2015-03-25,8.79,8.95,8.5,8.77,5246
2015-03-26,8.52,8.8,8.5,8.62,16315
2015-03-27,8.55,8.93,8.46,8.93,9676
2015-03-30,0.0,0.0,0.0,8.93,58
2015-03-31,8.66,8.86,8.61,8.86,2245
2015-04-01,8.75,8.75,8.64,8.69,2791
2015-04-02,8.61,8.79,8.56,8.79,3095
2015-04-06,8.24,8.69,8.24,8.44,2688
2015-04-07,8.83,8.83,8.6,8.61,1727
2015-04-08,0.0,0.0,0.0,8.61,113
2015-04-09,8.65,8.65,8.39,8.39,4228
2015-04-10,8.65,8.77,8.65,8.77,4613
2015-04-13,8.78,8.78,8.6,8.68,2424
2015-04-14,8.69,8.69,8.56,8.56,2177
2015-04-15,8.53,8.53,8.5,8.5,1524
2015-04-16,8.6,8.89,8.6,8.6,5281
2015-04-17,8.6,8.65,8.5,8.62,4170
2015-04-20,8.65,8.65,8.4,8.4,30021
2015-04-21,8.37,8.65,8.25,8.59,16579
2015-04-22,8.53,8.57,8.4,8.57,1484
2015-04-23,8.58,8.7,8.4,8.52,4146
2015-04-24,8.5,8.9,8.5,8.9,2193
2015-04-27,8.7,8.7,8.45,8.61,10101
2015-04-28,8.55,8.55,8.55,8.55,1954
2015-04-29,8.58,8.58,8.52,8.52,3151
2015-04-30,8.53,8.53,8.45,8.52,5799
2015-05-01,8.51,8.51,8.51,8.51,267
2015-05-04,8.45,8.52,8.44,8.44,5478
2015-05-05,8.45,8.45,8.42,8.42,7466
2015-05-06,8.43,8.69,8.43,8.52,6896
2015-05-07,8.46,8.87,8.45,8.87,7109
2015-05-08,8.52,8.84,8.52,8.78,3181
2015-05-11,8.68,8.8,8.68,8.8,6408
2015-05-12,8.83,8.83,8.42,8.49,17498
2015-05-13,8.42,8.5,8.4,8.4,2983
2015-05-14,8.7,8.7,8.41,8.41,7872
2015-05-15,8.4,8.77,8.4,8.77,6306
2015-05-18,8.74,8.74,8.53,8.53,2256
2015-05-19,8.52,8.55,8.42,8.5,4081
2015-05-20,8.52,8.55,8.5,8.5,6436
2015-05-21,8.74,8.74,8.48,8.48,755
2015-05-22,8.49,8.62,8.45,8.62,1751
2015-05-26,8.65,8.65,8.45,8.5,1042
2015-05-27,8.49,8.51,8.4,8.51,26085
2015-05-28,8.54,8.54,8.44,8.51,2129
2015-05-29,8.4,8.51,8.4,8.51,2941
2015-06-01,8.5,8.75,8.44,8.63,4130
2015-06-02,8.59,8.64,8.59,8.59,1455
2015-06-03,8.55,8.75,8.55,8.75,5110
2015-06-04,8.65,8.66,8.5,8.63,6220
2015-06-05,8.62,8.63,8.62,8.63,1418
2015-06-08,0.0,0.0,0.0,8.63,15
2015-06-09,0.0,0.0,0.0,8.63,17
2015-06-10,8.66,8.66,8.6,8.6,1937
2015-06-11,8.67,8.67,8.5,8.51,2284
2015-06-12,8.52,8.55,8.52,8.55,1255
2015-06-15,8.57,8.57,8.57,8.57,2230
2015-06-16,8.5,8.55,8.5,8.55,5198
2015-06-17,0.0,0.0,0.0,8.55,1252
2015-06-18,8.51,8.54,8.49,8.49,16148
2015-06-19,8.5,8.5,8.5,8.5,1534
2015-06-22,8.5,8.5,8.5,8.5,5569
2015-06-23,8.5,8.5,8.5,8.5,5446
2015-06-24,8.5,8.5,8.5,8.5,3471
2015-06-25,8.64,8.64,8.64,8.64,2437
2015-06-26,8.55,8.57,8.45,8.57,55492
2015-06-29,8.55,8.56,8.5,8.55,8962
2015-06-30,8.51,8.64,8.51,8.6,1060
2015-07-01,8.8,8.8,8.6,8.63,2318
2015-07-02,0.0,0.0,0.0,8.63,0
2015-07-06,8.74,8.74,8.45,8.46,3495
2015-07-07,8.45,8.47,8.27,8.36,7685
2015-07-08,8.48,8.48,8.35,8.35,957
2015-07-09,8.66,8.66,8.4,8.4,894
2015-07-10,8.4,8.4,8.4,8.4,169
2015-07-13,8.4,8.4,8.24,8.24,1101
2015-07-14,8.25,8.5,8.2,8.4,33125
2015-07-15,8.41,8.41,8.36,8.36,2489
2015-07-16,8.46,8.46,8.39,8.39,250
2015-07-17,8.43,8.49,8.38,8.39,7621
2015-07-20,8.36,8.4,8.1,8.12,16539
2015-07-21,8.09,8.2,8.09,8.14,2467
2015-07-22,8.27,8.3,8.12,8.12,8436
2015-07-23,8.31,8.31,8.15,8.3,9456
2015-07-24,8.35,8.5,8.35,8.5,5954
2015-07-27,8.16,8.49,8.16,8.4,3433
2015-07-28,8.5,8.64,8.34,8.34,6213
2015-07-29,8.36,8.48,8.36,8.45,2439
2015-07-30,8.47,8.51,8.46,8.51,1346
2015-07-31,8.5,8.51,8.37,8.48,31408
2015-08-03,8.54,8.57,8.41,8.53,17133
2015-08-04,8.43,8.5,8.41,8.41,2898
2015-08-05,8.45,8.55,8.32,8.41,7547
2015-08-06,8.15,8.54,7.05,7.66,98902
2015-08-07,7.51,7.75,7.03,7.59,22457
2015-08-10,7.62,7.8,7.5,7.68,9166
2015-08-11,7.66,7.74,7.6,7.71,1450
2015-08-12,7.6,8.06,7.6,7.99,8281
2015-08-13,7.85,8.14,7.65,8.12,13630
2015-08-14,7.96,8.17,7.76,7.99,32212
2015-08-17,7.94,8.0,7.86,7.99,623
2015-08-18,7.92,8.12,7.92,8.1,1079
2015-08-19,8.02,8.04,7.72,7.78,3332
2015-08-20,7.77,8.0,7.7,7.73,12075
2015-08-21,7.74,8.01,7.7,7.78,6713
2015-08-24,7.7,7.7,7.6,7.7,6045
2015-08-25,8.0,8.0,7.63,7.77,15783
2015-08-26,7.74,7.78,7.6,7.75,5915
2015-08-27,7.74,7.81,7.72,7.74,1521
2015-08-28,7.78,7.97,7.73,7.75,7818
2015-08-31,7.68,7.94,7.68,7.74,10100
2015-09-01,7.73,7.95,7.61,7.67,24197
2015-09-02,7.83,7.89,7.61,7.71,6432
2015-09-03,7.7,7.7,7.46,7.65,5137
2015-09-04,7.6,7.64,7.47,7.58,5560
2015-09-08,7.6,7.66,7.29,7.33,9704
2015-09-09,7.35,7.35,7.05,7.1,3855
2015-09-10,7.08,7.52,6.82,7.09,15796
2015-09-11,6.97,6.97,6.75,6.76,5471
2015-09-14,7.0,7.59,7.0,7.4,22320
2015-09-15,7.2,7.29,6.91,7.02,165543
2015-09-16,6.97,7.1,6.93,6.93,2309
2015-09-17,6.95,7.38,6.9,7.13,8159
2015-09-18,6.89,7.55,6.89,7.51,32778
2015-09-21,7.44,7.55,7.22,7.49,11692
2015-09-22,7.43,7.55,7.12,7.49,4833
2015-09-23,7.35,7.59,7.16,7.38,2103
2015-09-24,7.38,7.38,7.12,7.15,7156
2015-09-25,7.28,7.4,6.93,6.93,483486
2015-09-28,6.97,7.14,6.93,7.01,5542
2015-09-29,6.97,7.23,6.97,7.06,4076
2015-09-30,7.21,7.23,7.1,7.23,1566
2015-10-01,7.3,7.4,6.96,7.37,44632
2015-10-02,7.37,7.37,7.07,7.16,1529
2015-10-05,7.27,7.45,7.27,7.44,9201
2015-10-06,7.44,7.48,7.3,7.46,3454
2015-10-07,7.4,7.46,7.22,7.22,5634
2015-10-08,7.22,7.37,7.22,7.27,1787
2015-10-09,7.3,7.39,7.22,7.39,16997
2015-10-12,7.3,7.3,7.24,7.29,1831
2015-10-13,7.3,7.3,7.22,7.22,1403
2015-10-14,7.32,7.36,7.28,7.3,11011
2015-10-15,7.3,7.65,7.3,7.65,11436
2015-10-16,7.64,7.98,7.51,7.87,9544
2015-10-19,7.57,7.57,7.56,7.56,353
2015-10-20,7.58,7.88,7.58,7.88,250
2015-10-21,0.0,0.0,0.0,7.88,15
2015-10-22,7.86,7.89,7.63,7.86,6154
2015-10-23,7.52,7.89,7.51,7.68,2075
2015-10-26,7.68,7.8,7.68,7.74,10907
2015-10-27,7.5,7.8,7.5,7.52,981
2015-10-28,7.8,7.8,7.52,7.6,4999
2015-10-29,7.7,7.7,7.58,7.59,4795
2015-10-30,7.55,7.74,7.55,7.58,2854
2015-11-02,7.59,7.69,7.51,7.51,8889
2015-11-03,7.51,7.68,7.5,7.55,4306
2015-11-04,7.66,7.78,7.53,7.69,4562
2015-11-05,7.56,7.73,7.5,7.73,6662
2015-11-06,7.64,7.67,7.45,7.45,2258
2015-11-09,7.25,7.44,7.23,7.25,7181
2015-11-10,7.24,7.43,7.13,7.14,1728
2015-11-11,7.09,7.09,6.91,6.98,44931
2015-11-12,6.93,6.95,6.89,6.89,4911
2015-11-13,6.89,6.91,6.89,6.91,697
2015-11-16,6.89,6.91,6.85,6.91,9109
2015-11-17,6.92,6.92,6.91,6.92,2173
2015-11-18,6.97,6.99,6.9,6.9,1395
2015-11-19,6.95,7.13,6.95,6.96,1499
2015-11-20,7.01,7.03,6.99,6.99,4049
2015-11-23,6.99,6.99,6.9,6.99,7018
2015-11-24,6.94,6.99,6.86,6.86,13316
2015-11-25,6.97,6.97,6.78,6.85,2963
2015-11-27,6.95,6.95,6.91,6.91,882
2015-11-30,6.91,6.94,6.86,6.94,2763
2015-12-01,6.9,6.95,6.87,6.92,8289
2015-12-02,6.9,6.93,6.88,6.92,3878
2015-12-03,6.93,6.95,6.92,6.95,2020
2015-12-04,7.0,7.25,7.0,7.25,6208
2015-12-07,7.11,7.11,6.98,7.03,1797
2015-12-08,7.01,7.01,6.85,6.86,3969
2015-12-09,6.86,6.96,6.85,6.85,1028
2015-12-10,6.86,6.91,6.85,6.85,433
2015-12-11,6.85,6.87,6.85,6.85,737
2015-12-14,7.0,7.13,6.85,6.87,3635
2015-12-15,7.06,7.1,6.85,6.94,2162
2015-12-16,7.12,7.12,6.99,7.12,1280
2015-12-17,6.87,7.11,6.87,6.97,985
2015-12-18,6.88,7.13,6.88,7.13,4201
2015-12-21,7.13,7.13,6.89,7.05,2342
2015-12-22,7.18,7.2,7.05,7.2,5383
2015-12-23,7.2,7.28,7.2,7.26,1851
2015-12-24,7.24,7.28,7.24,7.28,372
2015-12-28,7.21,7.24,7.13,7.14,3640
2015-12-29,7.07,7.2,7.07,7.2,2287
2015-12-30,7.18,7.25,7.18,7.18,3742
2015-12-31,7.23,7.37,7.05,7.34,3019
2016-01-04,7.3,7.34,7.22,7.22,1714
2016-01-05,7.26,7.36,7.22,7.3,3766
2016-01-06,7.39,7.39,7.31,7.33,4370
2016-01-07,7.35,7.35,7.3,7.35,4119
2016-01-08,7.36,7.41,7.36,7.36,4659
2016-01-11,7.23,7.49,7.23,7.45,1892
2016-01-12,7.4,7.4,7.29,7.29,1796
2016-01-13,7.31,7.31,7.2,7.25,2671
2016-01-14,0.0,0.0,0.0,7.25,55
2016-01-15,7.18,7.3,7.13,7.13,3674
2016-01-19,7.19,7.24,7.0,7.21,12572
2016-01-20,6.84,7.01,6.76,7.0,7856
2016-01-21,7.08,7.31,7.08,7.31,8123
2016-01-22,0.0,0.0,0.0,7.31,107
2016-01-25,7.35,7.35,7.15,7.25,14972
2016-01-26,7.39,7.39,7.01,7.22,3838
2016-01-27,0.0,0.0,0.0,7.22,98
2016-01-28,7.11,7.39,7.11,7.15,29025
2016-01-29,7.33,7.5,7.23,7.5,2657
2016-02-01,7.23,7.3,7.17,7.17,2343
2016-02-02,6.86,7.15,6.86,7.1,26455
2016-02-03,7.38,7.38,7.05,7.05,1899
2016-02-04,7.0,7.09,6.81,7.0,30346
2016-02-05,6.87,7.28,6.8,7.19,15004
2016-02-08,7.0,7.26,6.8,6.8,27201
2016-02-09,6.8,7.09,6.32,6.89,29267
2016-02-10,7.0,7.42,6.97,6.97,5191
2016-02-11,7.01,7.1,6.95,7.01,14279
2016-02-12,6.84,7.1,6.6,7.1,28068
2016-02-16,6.94,7.29,6.94,7.02,12174
2016-02-17,7.02,7.18,6.95,6.99,28393
2016-02-18,7.07,7.1,6.95,7.04,22787
2016-02-19,6.71,7.22,6.71,7.03,2351
2016-02-22,6.9,7.14,6.9,7.14,26407
2016-02-23,6.9,6.9,6.9,6.9,138
2016-02-24,6.9,6.92,6.75,6.75,2474
2016-02-25,6.95,6.96,6.95,6.96,6020
2016-02-26,6.85,7.07,6.85,6.98,71322
2016-02-29,7.08,7.08,6.9,6.94,24413
2016-03-01,7.03,7.05,6.85,7.05,27687
2016-03-02,6.95,7.04,6.95,7.01,18191
2016-03-03,6.96,7.15,6.96,7.0,2719
2016-03-04,7.11,7.15,7.01,7.01,1925
2016-03-07,7.02,7.15,7.02,7.15,5224
2016-03-08,7.15,7.15,7.13,7.13,2231
2016-03-09,7.15,7.15,7.02,7.15,4372
2016-03-10,7.15,7.16,7.08,7.15,22446
2016-03-11,7.15,7.75,7.14,7.75,20217
2016-03-14,7.81,7.81,7.29,7.29,3101
2016-03-15,7.52,7.52,7.15,7.15,309054
2016-03-16,7.34,7.5,7.28,7.38,3002
2016-03-17,7.4,7.44,7.25,7.41,5491
2016-03-18,7.35,7.35,7.07,7.35,5784
2016-03-21,7.3,7.58,7.2,7.21,14368
2016-03-22,7.3,7.3,7.1,7.14,72721
2016-03-23,7.2,7.4,7.1,7.37,10716
2016-03-24,7.47,7.47,7.16,7.3,4289
2016-03-28,7.3,7.3,7.24,7.24,1247
2016-03-29,7.4,7.4,6.95,6.99,160054
2016-03-30,7.07,7.1,7.05,7.05,1114
2016-03-31,7.1,7.17,6.95,6.95,2858
2016-04-01,6.95,7.09,6.95,6.96,6083
2016-04-04,7.03,7.12,6.95,7.12,88335
2016-04-05,7.02,7.13,7.02,7.07,3823
2016-04-06,7.07,7.13,7.07,7.13,6211
2016-04-07,7.12,7.12,7.01,7.07,6247
2016-04-08,7.11,7.11,6.98,7.03,2706
2016-04-11,7.0,7.0,6.7,6.78,42477
2016-04-12,6.78,6.85,6.57,6.73,22587
2016-04-13,6.85,7.0,6.72,6.91,31236
2016-04-14,6.85,7.0,6.85,7.0,6800
2016-04-15,7.0,7.03,6.76,6.76,3301
