date,open,high,low,close,volume
2015-02-12,35.25,35.41,35.02,35.11,25281
2015-02-13,35.16,35.17,34.24,34.52,54365
2015-02-17,34.53,34.91,33.4,33.71,134240
2015-02-18,33.7,34.43,33.7,34.27,55517
2015-02-19,34.13,34.55,33.89,33.93,64392
2015-02-20,34.02,34.02,33.51,33.73,47589
2015-02-23,33.64,33.91,33.48,33.83,36263
2015-02-24,33.67,34.4,33.67,34.17,47513
2015-02-25,34.01,34.29,33.57,33.8,58038
2015-02-26,33.89,34.16,33.62,34.04,48485
2015-02-27,34.16,34.2,33.81,33.98,51159
2015-03-02,34.1,34.1,33.5,33.78,64027
2015-03-03,33.7,34.08,33.5,33.8,28920
2015-03-04,33.62,33.66,33.5,33.58,54986
2015-03-05,33.57,33.85,33.51,33.51,25426
2015-03-06,33.5,33.53,33.0,33.0,84162
2015-03-09,32.99,33.6,32.99,33.48,42041
2015-03-10,33.31,33.56,33.13,33.39,30489
2015-03-11,33.46,33.46,33.01,33.09,37038
2015-03-12,33.29,34.1,33.25,33.99,33058
2015-03-13,33.92,33.96,33.35,33.77,33767
2015-03-16,33.99,34.4,33.57,33.65,57110
2015-03-17,33.42,34.05,33.42,33.86,26431
2015-03-18,33.9,34.85,33.89,34.68,45521
2015-03-19,34.57,34.79,34.19,34.32,19574
2015-03-20,34.65,35.0,34.25,34.54,81766
2015-03-23,34.52,34.99,34.52,34.86,38243
2015-03-24,34.86,34.94,34.47,34.75,24240
2015-03-25,34.75,34.97,34.1,34.24,20856
2015-03-26,34.24,34.65,34.1,34.1,23895
2015-03-27,34.2,34.66,34.11,34.37,33904
2015-03-30,34.5,34.93,34.38,34.65,24265
2015-03-31,34.72,34.86,34.21,34.77,41740
2015-04-01,34.75,34.97,34.31,34.94,43680
2015-04-02,35.0,35.21,34.7,34.92,38214
2015-04-06,34.85,35.29,34.8,35.1,32927
2015-04-07,35.11,35.11,34.34,34.39,36339
2015-04-08,34.52,34.52,34.1,34.42,46939
2015-04-09,34.56,34.56,33.88,34.01,21730
2015-04-10,34.22,34.3,33.93,34.29,25014
2015-04-13,34.24,34.29,33.63,33.73,33513
2015-04-14,34.0,34.25,33.72,34.09,31332
2015-04-15,34.35,34.4,34.1,34.35,37542
2015-04-16,34.39,34.39,33.82,33.93,42028
2015-04-17,33.76,34.11,33.53,33.65,36386
2015-04-20,33.76,34.69,33.76,34.33,28215
2015-04-21,34.59,34.67,33.79,34.02,28903
2015-04-22,34.14,34.23,33.52,34.15,28128
2015-04-23,35.0,35.0,34.2,34.37,24411
2015-04-24,34.55,35.03,34.21,34.81,24060
2015-04-27,35.24,35.24,34.28,34.53,54616
2015-04-28,34.43,35.13,34.33,35.08,61211
2015-04-29,35.02,35.02,34.5,34.61,29559
2015-04-30,34.6,34.7,33.81,34.2,57063
2015-05-01,34.45,34.45,33.73,34.02,39832
2015-05-04,33.95,34.58,33.95,34.42,49424
2015-05-05,34.39,34.39,33.39,33.54,55407
2015-05-06,33.79,33.79,33.05,33.52,36766
2015-05-07,33.57,33.92,33.37,33.72,29910
2015-05-08,33.98,34.04,33.5,33.75,27844
2015-05-11,33.74,33.9,33.5,33.58,26528
2015-05-12,33.23,33.44,32.79,33.35,47793
2015-05-13,33.22,33.34,32.75,32.91,35909
2015-05-14,32.91,33.3,32.85,33.0,47615
2015-05-15,32.99,33.12,32.96,33.0,135180
2015-05-18,32.98,33.65,32.93,33.42,99672
2015-05-19,33.31,33.65,33.09,33.59,54428
2015-05-20,33.67,34.0,33.52,33.81,43467
2015-05-21,33.63,34.0,33.51,33.86,55273
2015-05-22,33.94,34.13,33.61,34.1,66666
2015-05-26,33.91,34.09,33.49,33.77,29760
2015-05-27,33.89,34.21,33.6,34.1,35082
2015-05-28,34.23,34.3,33.86,34.26,28647
2015-05-29,34.09,34.33,33.77,33.84,40023
2015-06-01,33.88,34.38,33.56,34.18,46862
2015-06-02,34.12,34.13,33.51,33.83,46471
2015-06-03,33.91,33.91,33.37,33.57,52877
2015-06-04,33.36,33.66,33.25,33.49,28488
2015-06-05,33.3,33.4,33.02,33.4,38664
2015-06-08,33.24,33.3,33.02,33.02,20686
2015-06-09,33.02,33.25,32.98,32.98,37579
2015-06-10,33.13,33.41,32.9,32.93,62875
2015-06-11,33.13,33.22,32.89,33.16,20304
2015-06-12,33.12,33.12,32.85,33.01,35150
2015-06-15,32.9,33.2,32.7,32.87,43481
2015-06-16,32.91,33.08,32.69,32.99,39270
2015-06-17,33.1,33.19,32.63,33.08,27808
2015-06-18,33.02,33.77,33.02,33.67,35343
2015-06-19,33.78,33.82,33.52,33.61,60390
2015-06-22,33.69,33.85,33.37,33.49,37260
2015-06-23,33.52,33.52,32.95,33.13,27976
2015-06-24,32.93,33.56,32.88,32.98,40346
2015-06-25,32.95,33.1,32.85,33.05,37907
2015-06-26,33.11,33.41,33.03,33.37,109761
2015-06-29,33.0,33.73,33.0,33.12,42245
2015-06-30,33.27,33.27,32.78,33.02,42181
2015-07-01,33.02,33.32,32.75,33.1,47262
2015-07-02,33.25,33.49,33.1,33.17,43404
2015-07-06,33.14,33.49,33.07,33.34,43653
2015-07-07,33.51,34.37,33.44,34.23,37754
2015-07-08,33.78,34.31,33.12,33.95,20461
2015-07-09,34.22,34.22,33.34,33.58,30844
2015-07-10,33.6,34.08,33.58,33.72,40697
2015-07-13,33.97,34.09,33.64,33.9,31391
2015-07-14,33.72,33.88,33.62,33.65,21260
2015-07-15,33.78,33.89,33.29,33.83,24584
2015-07-16,33.91,34.24,33.76,34.15,53485
2015-07-17,34.2,34.27,33.78,34.13,28302
2015-07-20,34.28,34.48,34.12,34.35,51481
2015-07-21,34.3,34.48,33.91,33.99,45112
2015-07-22,34.01,34.43,34.01,34.36,29552
2015-07-23,34.5,34.5,33.82,34.16,40688
2015-07-24,34.5,35.0,34.18,34.7,80271
2015-07-27,34.81,35.7,34.81,35.33,60740
2015-07-28,35.63,35.63,34.87,35.35,35265
2015-07-29,35.19,35.28,34.89,34.95,22377
2015-07-30,34.98,35.93,34.83,35.27,96605
2015-07-31,35.34,36.21,35.34,35.55,59332
2015-08-03,35.57,36.24,35.57,35.98,111407
2015-08-04,35.8,35.98,35.38,35.48,36092
2015-08-05,35.67,36.0,35.55,35.76,26251
2015-08-06,35.81,35.81,35.17,35.65,42941
2015-08-07,35.47,35.88,35.17,35.73,25859
2015-08-10,35.98,35.98,35.41,35.72,55648
2015-08-11,35.87,36.29,35.68,35.98,60741
2015-08-12,35.62,36.06,35.49,35.96,51416
2015-08-13,36.06,37.01,35.79,36.47,72976
2015-08-14,36.46,36.79,36.38,36.79,34452
2015-08-17,36.79,37.31,36.52,37.15,123642
2015-08-18,36.92,37.17,36.75,36.77,28540
2015-08-19,36.59,37.26,36.59,37.09,37419
2015-08-20,36.73,37.39,36.69,36.86,44467
2015-08-21,36.26,37.59,36.26,37.12,71457
2015-08-24,36.0,36.87,35.65,35.89,140871
2015-08-25,36.83,36.93,35.43,35.48,128302
2015-08-26,36.02,36.04,35.33,36.02,54592
2015-08-27,36.13,36.71,35.53,36.2,63085
2015-08-28,36.23,36.37,35.83,36.33,49327
2015-08-31,36.24,36.24,35.55,36.01,63463
2015-09-01,35.48,35.95,35.18,35.25,46199
2015-09-02,35.67,35.67,35.08,35.31,36735
2015-09-03,35.45,35.66,34.96,35.38,54886
2015-09-04,35.07,35.12,34.69,34.89,22940
2015-09-08,35.1,35.41,35.1,35.32,27591
2015-09-09,35.47,35.47,34.8,34.9,68002
2015-09-10,35.09,35.25,34.7,34.81,37286
2015-09-11,34.58,35.04,34.02,34.98,25973
2015-09-14,34.92,35.33,34.73,34.98,38772
2015-09-15,35.07,35.12,34.29,34.98,38910
2015-09-16,34.81,35.3,34.54,35.02,43355
2015-09-17,34.78,36.0,34.71,35.64,25092
2015-09-18,35.24,35.83,35.08,35.23,66984
2015-09-21,35.47,35.82,35.31,35.79,44864
2015-09-22,35.74,36.21,35.47,35.54,40371
2015-09-23,35.41,36.01,35.35,35.83,48872
2015-09-24,35.84,36.49,35.81,36.38,66581
2015-09-25,36.5,37.02,36.33,36.35,50882
2015-09-28,36.23,36.78,36.23,36.47,44365
2015-09-29,36.68,36.8,36.1,36.5,52613
2015-09-30,36.75,37.16,36.38,36.88,45328
2015-10-01,36.95,36.95,36.16,36.54,40268
2015-10-02,36.54,37.16,36.29,37.11,69383
2015-10-05,37.33,37.97,37.14,37.7,48310
2015-10-06,37.69,37.69,37.01,37.04,43999
2015-10-07,37.35,37.35,37.02,37.23,28638
2015-10-08,37.03,37.68,37.03,37.61,34130
2015-10-09,37.7,37.97,37.12,37.55,63171
2015-10-12,37.75,38.2,37.48,38.18,43444
2015-10-13,38.11,38.53,38.05,38.2,50441
2015-10-14,38.28,38.47,38.04,38.05,30659
2015-10-15,37.43,38.15,36.09,37.6,137594
2015-10-16,37.58,37.59,36.64,37.4,126705
2015-10-19,37.5,37.88,36.75,37.81,57360
2015-10-20,37.67,38.09,37.62,37.8,53304
2015-10-21,37.84,38.12,37.64,37.65,39181
2015-10-22,37.54,38.75,37.5,38.36,88039
2015-10-23,38.41,38.41,36.12,36.69,81759
2015-10-26,36.54,36.71,36.0,36.23,71958
2015-10-27,36.28,36.56,35.68,35.89,65381
2015-10-28,36.02,36.38,35.14,36.1,70333
2015-10-29,36.02,36.02,35.36,35.61,35053
2015-10-30,35.68,35.7,35.35,35.47,47422
2015-11-02,35.39,35.73,35.08,35.32,48541
2015-11-03,35.34,35.6,35.12,35.51,43423
2015-11-04,35.45,35.86,35.25,35.4,32497
2015-11-05,35.42,35.75,35.21,35.26,31267
2015-11-06,35.06,35.37,34.55,34.83,74285
2015-11-09,34.6,35.0,34.52,34.74,58679
2015-11-10,34.39,35.14,34.39,35.11,40379
2015-11-11,35.11,35.59,35.11,35.32,33638
2015-11-12,35.3,35.66,34.83,34.9,35193
2015-11-13,34.75,35.15,34.72,34.79,39885
2015-11-16,34.62,35.02,34.52,34.98,63516
2015-11-17,34.77,35.02,34.55,34.79,51633
2015-11-18,34.7,35.16,34.41,35.11,40128
2015-11-19,34.82,35.6,34.82,35.51,34281
2015-11-20,35.69,36.06,35.52,35.61,36354
2015-11-23,35.55,35.82,35.18,35.31,45692
2015-11-24,35.18,35.48,34.77,35.32,28695
2015-11-25,35.23,35.32,35.02,35.14,24148
2015-11-27,35.29,35.53,35.25,35.38,8904
2015-11-30,35.27,35.58,35.05,35.13,62655
2015-12-01,35.2,35.79,35.2,35.76,39286
2015-12-02,35.71,35.84,35.57,35.67,54368
2015-12-03,35.52,35.7,34.97,35.02,28881
2015-12-04,35.13,35.4,34.86,35.29,29776
2015-12-07,35.23,35.49,35.22,35.44,35204
2015-12-08,35.34,35.46,34.83,35.29,37331
2015-12-09,35.1,35.54,34.86,35.01,25473
2015-12-10,34.91,35.1,34.31,34.38,20700
2015-12-11,34.0,34.47,33.75,34.07,42283
2015-12-14,33.93,34.21,33.86,34.01,26731
2015-12-15,34.12,34.49,34.03,34.38,42434
2015-12-16,34.36,35.0,34.36,34.88,45915
2015-12-17,35.08,35.18,34.79,35.02,31337
2015-12-18,34.78,35.13,34.58,34.9,106261
2015-12-21,34.94,35.08,34.6,34.72,19721
2015-12-22,34.81,35.66,34.46,35.56,70687
2015-12-23,35.68,36.01,35.68,36.0,30566
2015-12-24,35.88,36.37,35.88,36.16,5374
2015-12-28,36.14,36.51,36.1,36.3,25861
2015-12-29,36.38,36.74,36.38,36.55,29317
2015-12-30,36.55,36.67,36.18,36.25,34720
2015-12-31,36.23,36.23,35.42,35.88,50406
2016-01-04,35.5,35.5,34.75,35.21,49662
2016-01-05,35.27,35.68,34.7,35.62,45489
2016-01-06,35.36,36.51,35.36,36.47,58294
2016-01-07,35.94,36.41,35.52,36.23,57801
2016-01-08,36.32,36.5,35.88,35.95,35231
2016-01-11,35.84,36.49,35.83,36.2,45621
2016-01-12,36.45,36.45,35.59,35.93,39067
2016-01-13,35.97,36.24,35.53,35.67,35130
2016-01-14,35.75,36.5,35.75,36.28,44492
2016-01-15,35.62,36.3,35.22,35.64,75212
2016-01-19,35.63,36.49,35.58,36.34,46036
