date,open,high,low,close,volume
2015-02-12,56.03,59.17,56.03,58.42,3046
2015-02-13,58.42,58.49,57.21,58.02,2988
2015-02-17,58.5,58.5,56.33,58.0,1748
2015-02-18,57.88,60.34,56.34,58.91,11554
2015-02-19,58.49,59.37,58.34,58.99,2929
2015-02-20,59.25,59.25,56.52,58.56,5065
2015-02-23,57.36,59.76,57.36,59.16,1675
2015-02-24,58.21,59.73,58.21,59.73,1088
2015-02-25,59.08,60.24,57.46,57.46,879
2015-02-26,58.0,60.51,57.1,59.49,7291
2015-02-27,60.77,60.77,59.36,59.4,2871
2015-03-02,59.5,59.5,57.9,59.49,2140
2015-03-03,59.9,60.77,59.56,59.84,4098
2015-03-04,59.66,60.77,59.66,60.77,785
2015-03-05,60.23,60.76,59.62,60.08,7556
2015-03-06,59.96,60.52,59.5,59.52,7666
2015-03-09,59.65,60.13,59.35,60.0,5253
2015-03-10,58.95,60.47,57.12,59.56,2931
2015-03-11,58.46,59.63,58.46,58.64,2973
2015-03-12,59.33,60.0,58.9,59.95,3024
2015-03-13,60.0,60.0,57.39,59.0,2329
2015-03-16,59.5,59.9,59.5,59.9,1399
2015-03-17,59.44,60.0,59.06,59.6,5533
2015-03-18,59.11,59.11,59.11,59.11,921
2015-03-19,57.75,59.69,57.75,59.69,2850
2015-03-20,59.69,63.98,57.75,62.69,39016
2015-03-23,62.69,62.69,59.5,60.27,11526
2015-03-24,62.48,62.48,59.71,59.71,5819
2015-03-25,58.52,61.65,57.99,58.32,9583
2015-03-26,60.36,60.36,58.9,59.03,2345
2015-03-27,58.93,60.6,57.53,59.74,3074
2015-03-30,59.17,59.95,57.02,58.4,9533
2015-03-31,57.72,61.44,57.07,59.86,11177
2015-04-01,59.01,59.01,57.35,58.0,7286
2015-04-02,58.05,59.0,57.51,58.3,4505
2015-04-06,58.3,61.19,58.16,59.05,6055
2015-04-07,58.12,59.09,58.12,58.71,4364
2015-04-08,59.47,59.54,58.06,58.33,3769
2015-04-09,58.35,58.52,58.14,58.4,2081
2015-04-10,58.55,59.0,58.2,58.8,2123
2015-04-13,59.05,59.19,58.63,58.63,1893
2015-04-14,58.98,59.18,58.98,59.18,1269
2015-04-15,59.2,59.38,59.0,59.2,2234
2015-04-16,59.4,59.4,56.11,57.0,16283
2015-04-17,56.21,57.15,53.2,53.76,19914
2015-04-20,54.17,55.98,53.54,54.97,6662
2015-04-21,54.57,55.1,53.39,55.1,1439
2015-04-22,54.41,56.0,54.41,56.0,2885
2015-04-23,56.4,58.29,56.3,57.2,4875
2015-04-24,57.15,57.2,56.82,57.2,2912
2015-04-27,56.78,57.42,56.78,57.07,3577
2015-04-28,57.93,57.93,56.48,57.5,2384
2015-04-29,56.65,56.65,56.17,56.17,1619
2015-04-30,56.21,56.21,53.63,53.91,5753
2015-05-01,53.64,54.6,53.62,53.93,4700
2015-05-04,53.75,54.75,53.68,53.96,4985
2015-05-05,53.75,53.84,52.65,52.65,3834
2015-05-06,53.0,53.98,51.69,53.6,10778
2015-05-07,53.42,54.99,53.42,54.76,2662
2015-05-08,55.24,55.97,55.24,55.92,3090
2015-05-11,54.67,55.36,54.67,55.36,1989
2015-05-12,54.0,54.48,54.0,54.48,1799
2015-05-13,54.47,54.51,53.75,54.11,3833
2015-05-14,54.3,54.94,53.75,54.94,2719
2015-05-15,55.0,55.0,53.95,54.55,2173
2015-05-18,54.32,55.48,54.28,55.47,4956
2015-05-19,55.01,55.56,54.77,55.0,3971
2015-05-20,56.0,56.01,55.0,55.21,2425
2015-05-21,54.32,59.09,54.27,55.7,3014
2015-05-22,54.6,56.0,54.12,54.17,4370
2015-05-26,54.46,56.0,54.0,54.0,2763
2015-05-27,54.49,54.88,54.49,54.88,1181
2015-05-28,54.88,54.88,53.03,53.71,2971
2015-05-29,53.3,54.87,53.3,54.73,2415
2015-06-01,54.5,54.87,53.86,54.51,3859
2015-06-02,54.73,54.76,53.96,54.36,2729
2015-06-03,54.8,54.83,54.03,54.83,2170
2015-06-04,54.0,54.78,53.99,54.0,3005
2015-06-05,54.68,54.68,54.68,54.68,640
2015-06-08,54.74,55.72,54.7,54.75,5540
2015-06-09,55.65,55.65,54.54,54.54,740
2015-06-10,56.45,56.45,55.7,55.99,1617
2015-06-11,57.83,57.83,55.2,56.65,2503
2015-06-12,56.82,57.91,56.33,57.5,4038
2015-06-15,56.5,58.34,56.14,56.57,3447
2015-06-16,56.94,57.23,56.24,56.74,2455
2015-06-17,57.0,57.3,57.0,57.3,1483
2015-06-18,57.0,58.95,57.0,58.95,4187
2015-06-19,58.05,59.45,57.6,59.01,10476
2015-06-22,58.06,59.11,57.75,58.15,5107
2015-06-23,58.2,59.0,58.05,58.57,3991
2015-06-24,58.57,59.25,58.0,58.0,8100
2015-06-25,58.39,58.95,58.1,58.87,5103
2015-06-26,59.18,60.0,58.1,59.99,19207
2015-06-29,59.7,59.7,58.71,58.71,5383
2015-06-30,59.16,60.0,59.16,59.63,3218
2015-07-01,60.0,60.0,59.26,59.72,4285
2015-07-02,59.9,59.9,58.83,59.52,1563
2015-07-06,59.16,60.0,59.16,59.33,3222
2015-07-07,58.25,60.5,58.25,59.84,4864
2015-07-08,59.8,61.43,59.0,59.65,2076
2015-07-09,60.83,60.83,58.36,59.01,4028
2015-07-10,57.55,59.58,57.55,59.58,1658
2015-07-13,59.34,61.47,59.0,59.59,4450
2015-07-14,61.48,61.48,58.02,58.63,11782
2015-07-15,58.19,58.7,53.33,57.04,18232
2015-07-16,57.02,58.74,56.0,57.52,3248
2015-07-17,57.73,58.74,57.73,58.49,2608
2015-07-20,58.74,60.25,57.96,59.3,5269
2015-07-21,59.1,59.1,58.22,58.23,1388
2015-07-22,58.48,58.48,58.3,58.3,655
2015-07-23,57.71,58.88,57.3,57.3,1617
2015-07-24,57.3,57.45,56.0,56.41,3573
2015-07-27,56.41,57.1,56.01,56.51,4952
2015-07-28,57.81,57.81,53.85,55.38,7155
2015-07-29,55.4,55.4,53.98,54.67,5388
2015-07-30,53.55,55.08,53.55,55.08,2266
2015-07-31,54.14,54.9,53.95,54.67,6483
2015-08-03,54.14,54.14,53.19,53.39,5516
2015-08-04,54.41,54.41,53.73,53.82,3719
2015-08-05,53.95,53.95,53.95,53.95,1384
2015-08-06,53.98,55.4,52.28,53.67,5255
2015-08-07,53.81,54.55,52.5,52.65,3891
2015-08-10,52.5,53.88,52.24,52.99,7053
2015-08-11,52.89,52.94,51.43,52.0,25173
2015-08-12,52.0,52.23,51.29,51.29,9483
2015-08-13,51.95,52.0,51.5,51.8,2747
2015-08-14,51.49,51.8,50.8,51.64,3137
2015-08-17,51.8,55.0,51.64,53.9,18711
2015-08-18,54.57,57.16,54.57,56.54,5997
2015-08-19,57.86,57.86,54.78,54.97,9925
2015-08-20,54.42,55.5,53.12,54.62,8349
2015-08-21,52.65,52.65,51.61,51.96,7009
2015-08-24,50.58,52.01,50.58,51.0,10282
2015-08-25,51.3,51.66,50.0,50.99,9771
2015-08-26,51.86,52.02,50.59,50.95,3449
2015-08-27,51.25,53.47,50.05,50.63,7389
2015-08-28,50.55,52.92,50.55,52.89,3211
2015-08-31,51.0,53.96,51.0,53.39,6413
2015-09-01,52.11,52.69,51.65,52.1,4275
2015-09-02,53.33,53.33,52.52,53.15,2355
2015-09-03,53.17,53.17,52.25,52.33,3902
2015-09-04,52.5,53.21,52.02,53.21,2617
2015-09-08,54.0,54.0,53.23,53.61,2967
2015-09-09,53.61,53.61,51.7,52.0,2972
2015-09-10,50.05,53.3,50.05,52.02,3092
2015-09-11,51.98,52.57,51.5,52.29,2640
2015-09-14,50.99,52.56,50.99,52.56,1776
2015-09-15,52.75,52.75,52.75,52.75,625
2015-09-16,50.4,54.6,50.4,51.6,3116
2015-09-17,52.27,54.36,52.1,53.34,4404
2015-09-18,52.57,53.64,52.35,53.64,6363
2015-09-21,54.05,54.1,53.4,53.45,3745
2015-09-22,52.8,52.9,52.75,52.76,3455
2015-09-23,52.96,52.96,52.75,52.76,2065
2015-09-24,52.77,53.28,52.3,53.28,4294
2015-09-25,53.48,53.48,52.29,52.29,7581
2015-09-28,53.5,53.5,51.52,51.52,2307
2015-09-29,51.0,53.93,51.0,53.09,4579
2015-09-30,53.1,53.87,53.1,53.87,5482
2015-10-01,53.8,54.0,52.7,52.7,3324
2015-10-02,52.42,52.99,52.42,52.99,4001
2015-10-05,52.77,54.88,52.77,53.94,7125
2015-10-06,53.86,53.87,52.74,53.8,5355
2015-10-07,53.8,53.8,52.88,52.98,2988
2015-10-08,53.25,53.25,52.84,52.84,3024
2015-10-09,52.82,53.14,52.82,53.14,821
2015-10-12,52.71,53.24,52.51,53.24,2788
2015-10-13,53.25,54.0,53.25,53.7,2207
2015-10-14,53.98,54.75,53.26,54.2,8559
2015-10-15,54.26,54.89,54.0,54.88,8096
2015-10-16,54.83,55.22,53.5,54.8,18103
2015-10-19,54.0,54.64,54.0,54.61,4740
2015-10-20,54.75,55.49,54.75,55.49,2259
2015-10-21,55.31,56.76,55.31,55.42,16162
2015-10-22,55.86,57.01,55.8,57.01,3380
2015-10-23,57.2,57.95,57.2,57.95,3066
2015-10-26,57.41,57.96,55.29,57.2,5715
2015-10-27,57.04,57.55,55.34,56.89,8286
2015-10-28,56.99,59.0,55.99,58.05,6662
2015-10-29,57.0,57.07,56.58,57.0,2085
2015-10-30,57.51,59.37,56.16,58.97,20281
2015-11-02,58.6,60.24,56.27,57.97,29994
2015-11-03,57.08,61.19,57.08,60.57,33940
2015-11-04,60.42,60.75,59.66,59.99,4489
2015-11-05,60.03,60.5,59.26,59.74,7688
2015-11-06,59.25,59.71,57.2,58.35,34914
2015-11-09,58.3,58.3,56.68,56.87,11311
2015-11-10,57.0,58.69,56.38,58.0,16073
2015-11-11,57.7,58.0,57.5,57.5,4564
2015-11-12,56.56,57.79,56.5,57.15,20961
2015-11-13,56.89,58.88,56.89,57.8,19720
2015-11-16,57.11,58.81,57.11,57.5,8615
2015-11-17,57.27,57.39,55.64,57.11,20363
2015-11-18,57.06,58.36,56.71,58.01,18727
2015-11-19,57.81,58.11,57.81,57.9,2900
2015-11-20,58.4,58.4,56.1,57.11,13051
2015-11-23,57.0,57.23,55.25,55.95,20712
2015-11-24,55.56,55.99,53.28,55.63,26405
2015-11-25,55.89,56.53,55.4,56.15,8088
2015-11-27,56.37,56.49,55.8,56.49,3836
2015-11-30,55.99,57.0,55.99,56.49,9223
2015-12-01,57.0,57.2,56.02,57.2,10715
2015-12-02,57.0,57.71,56.7,57.52,10901
2015-12-03,57.41,58.06,56.5,56.75,17466
2015-12-04,57.43,57.67,57.09,57.55,13026
2015-12-07,57.67,57.69,57.1,57.55,6900
2015-12-08,57.44,57.52,55.57,56.0,15452
2015-12-09,55.5,56.15,54.72,56.15,14422
2015-12-10,55.68,57.5,55.68,56.99,14667
2015-12-11,56.5,58.05,56.04,56.07,12894
2015-12-14,56.17,56.81,54.43,56.05,6034
2015-12-15,55.31,57.82,55.31,56.4,4610
2015-12-16,56.23,57.25,53.7,56.9,6834
2015-12-17,57.29,57.85,56.9,56.95,3207
2015-12-18,56.72,59.0,56.22,58.15,26425
2015-12-21,57.7,58.54,57.5,57.59,5126
2015-12-22,58.0,58.5,56.86,58.2,2537
2015-12-23,58.26,59.04,58.18,58.6,3689
2015-12-24,58.55,60.0,58.08,59.1,18066
2015-12-28,59.33,59.33,57.2,57.96,16139
2015-12-29,58.29,61.2,58.29,59.49,16268
2015-12-30,60.55,60.55,58.07,59.08,19018
2015-12-31,59.36,59.51,58.03,58.54,21071
2016-01-04,58.02,58.86,56.62,58.66,39849
2016-01-05,57.86,58.63,57.52,58.37,5356
2016-01-06,57.8,58.56,57.76,58.1,13628
2016-01-07,57.5,58.8,57.28,57.87,32964
2016-01-08,58.06,59.11,57.69,58.22,16929
2016-01-11,58.42,59.08,57.65,58.39,10584
2016-01-12,58.37,58.37,57.55,57.72,7461
2016-01-13,57.56,58.82,57.49,58.23,19128
2016-01-14,58.4,59.04,58.26,58.85,9719
2016-01-15,57.72,58.28,57.0,58.13,9932
2016-01-19,58.0,59.6,57.85,58.3,32539
2016-01-20,58.86,59.0,57.1,58.89,14641
2016-01-21,59.0,59.0,55.52,56.42,15617
2016-01-22,57.14,59.14,57.0,58.69,26932
2016-01-25,58.25,59.01,55.65,55.65,36326
2016-01-26,56.05,57.03,54.68,55.7,17864
2016-01-27,56.0,56.8,54.93,55.6,22837
2016-01-28,56.0,58.05,55.62,56.7,54314
2016-01-29,56.55,57.3,55.53,56.37,11078
2016-02-01,56.8,57.99,56.16,57.21,4576
2016-02-02,57.04,57.99,56.0,57.02,3776
2016-02-03,57.34,58.48,57.34,57.73,3736
2016-02-04,57.44,58.2,57.44,58.13,2432
2016-02-05,57.78,58.0,55.52,55.52,9396
2016-02-08,55.7,57.77,54.63,56.0,5721
2016-02-09,56.73,56.73,54.28,55.51,1907
2016-02-10,55.81,57.99,54.2,57.52,11029
2016-02-11,56.47,59.21,55.25,58.58,4888
2016-02-12,59.13,59.28,57.5,58.07,4311
2016-02-16,58.46,58.46,56.5,57.56,6043
2016-02-17,57.42,58.35,56.94,58.14,5971
2016-02-18,57.62,58.35,57.38,57.76,4100
2016-02-19,57.86,58.3,56.86,58.06,5472
2016-02-22,57.95,61.21,57.95,60.5,34815
2016-02-23,60.7,60.7,57.39,57.7,27941
2016-02-24,57.5,59.65,57.5,59.0,18412
2016-02-25,58.8,58.8,57.21,57.7,24774
2016-02-26,58.22,60.59,58.22,59.98,21164
2016-02-29,60.0,60.2,58.89,59.25,16265
2016-03-01,59.45,59.5,57.42,58.12,35297
2016-03-02,58.15,59.34,58.09,59.1,21393
2016-03-03,59.69,60.0,59.48,59.99,5720
2016-03-04,59.9,60.3,59.0,60.04,3632
2016-03-07,59.77,61.88,59.77,61.78,12122
2016-03-08,61.32,61.8,60.51,60.6,13058
2016-03-09,60.5,61.89,59.83,60.86,23301
2016-03-10,60.65,61.6,60.64,60.99,9625
2016-03-11,61.38,61.39,60.7,61.29,15825
2016-03-14,61.5,62.0,61.48,61.83,4205
2016-03-15,61.04,61.93,60.84,60.86,7476
2016-03-16,60.25,63.48,60.25,62.76,44505
2016-03-17,63.4,63.4,60.03,61.39,36160
2016-03-18,61.9,63.61,61.47,62.14,33687
2016-03-21,62.4,62.4,61.84,62.0,5788
2016-03-22,62.0,62.01,61.51,61.8,9445
2016-03-23,61.25,61.25,60.53,60.67,4171
2016-03-24,60.5,61.65,58.54,61.34,30287
2016-03-28,61.69,62.48,61.27,62.02,35014
2016-03-29,61.72,61.72,60.05,61.01,36130
2016-03-30,61.48,62.81,60.68,62.35,22811
