date,open,high,low,close,volume
2015-02-17,119.98,120.25,119.51,120.07,520880
2015-02-18,119.81,120.42,119.63,120.41,309365
2015-02-19,120.18,120.62,119.86,120.35,301204
2015-02-20,120.19,121.02,119.48,121.01,278747
2015-02-23,120.72,120.98,120.14,120.98,379510
2015-02-24,121.05,121.31,120.65,121.11,366780
2015-02-25,121.06,121.46,120.83,121.21,267261
2015-02-26,121.22,121.41,120.8,121.25,294121
2015-02-27,121.19,121.29,120.75,120.78,283281
2015-03-02,120.85,121.7,120.75,121.65,549109
2015-03-03,121.32,121.33,120.61,121.04,562484
2015-03-04,120.55,120.72,119.9,120.57,320898
2015-03-05,120.79,120.93,120.24,120.74,393505
2015-03-06,120.17,120.55,118.97,119.2,333688
2015-03-09,119.54,119.75,119.14,119.56,298803
2015-03-10,118.59,118.64,117.91,118.17,402762
2015-03-11,118.57,118.99,117.92,118.86,264340
2015-03-12,119.52,120.57,119.41,120.51,449849
2015-03-13,120.39,120.6,118.86,119.88,438861
2015-03-16,120.51,120.98,120.26,120.9,293174
2015-03-17,120.65,121.27,120.47,121.23,322046
2015-03-18,120.9,122.79,120.57,122.41,318506
2015-03-19,122.16,122.46,121.86,122.29,1172772
2015-03-20,122.93,123.51,122.53,123.44,521084
2015-03-23,123.38,123.68,123.23,123.26,315141
2015-03-24,123.17,123.35,122.77,122.95,1311594
2015-03-25,123.03,123.12,120.46,120.53,428136
2015-03-26,120.2,120.78,119.61,120.27,459259
2015-03-27,120.24,121.0,119.87,120.96,346305
2015-03-30,121.73,122.75,121.6,122.57,439759
2015-03-31,122.12,123.9,121.81,122.56,536757
2015-04-01,122.16,122.37,120.9,121.96,1594972
2015-04-02,121.93,122.87,121.89,122.37,453357
2015-04-06,121.8,123.28,121.5,123.14,466627
2015-04-07,123.08,123.32,122.31,122.31,287728
2015-04-08,122.48,123.25,122.28,123.11,407055
2015-04-09,123.11,123.36,121.92,122.84,322667
2015-04-10,123.18,123.46,123.02,123.28,414152
2015-04-13,123.37,123.77,123.07,123.11,399638
2015-04-14,123.28,123.41,122.34,123.2,456678
