date,open,high,low,close,volume
2016-07-19,960.0,960.0,960.0,960.0,31
2016-07-20,960.0,1040.0,960.0,1038.4,20
2016-07-21,1040.0,1040.0,1040.0,1040.0,1
2016-07-22,1040.0,1040.0,1040.0,1040.0,7
2016-07-25,0.0,0.0,0.0,1040.0,0
2016-07-26,984.0,984.0,984.0,984.0,1
2016-07-27,0.0,0.0,0.0,984.0,0
2016-07-28,0.0,0.0,0.0,984.0,0
2016-07-29,0.0,0.0,0.0,984.0,0
2016-08-01,0.0,0.0,0.0,984.0,0
2016-08-02,0.0,0.0,0.0,984.0,0
2016-08-03,840.0,840.0,840.0,840.0,1
2016-08-04,0.0,0.0,0.0,840.0,0
2016-08-05,0.0,0.0,0.0,840.0,0
2016-08-08,0.0,0.0,0.0,840.0,0
2016-08-09,0.0,0.0,0.0,840.0,0
2016-08-10,0.0,0.0,0.0,840.0,0
2016-08-11,840.0,880.0,840.0,880.0,13
2016-08-12,0.0,0.0,0.0,880.0,0
2016-08-15,840.0,840.0,840.0,840.0,3
2016-08-16,800.0,800.0,800.0,800.0,3
2016-08-17,800.0,800.0,800.0,800.0,3
2016-08-18,0.0,0.0,0.0,800.0,0
2016-08-19,0.0,0.0,0.0,800.0,0
2016-08-22,0.0,0.0,0.0,800.0,0
2016-08-23,920.0,920.0,920.0,920.0,6
2016-08-24,880.0,880.0,880.0,880.0,3
2016-08-25,0.0,0.0,0.0,880.0,0
2016-08-26,0.0,0.0,0.0,880.0,0
2016-08-29,920.0,920.0,880.0,880.0,3
2016-08-30,0.0,0.0,0.0,880.0,0
2016-08-31,0.0,0.0,0.0,880.0,0
2016-09-01,0.0,0.0,0.0,880.0,0
2016-09-02,0.0,0.0,0.0,880.0,0
2016-09-06,0.0,0.0,0.0,880.0,0
2016-09-07,880.0,880.0,880.0,880.0,1
2016-09-08,0.0,0.0,0.0,880.0,0
2016-09-09,0.0,0.0,0.0,880.0,0
2016-09-12,0.0,0.0,0.0,880.0,0
2016-09-13,0.0,0.0,0.0,880.0,0
2016-09-14,0.0,0.0,0.0,880.0,0
2016-09-15,0.0,0.0,0.0,880.0,0
2016-09-16,918.4,998.4,918.4,998.4,29
2016-09-19,1000.0,1000.0,1000.0,1000.0,1
2016-09-20,992.0,992.0,960.0,960.0,11
2016-09-21,0.0,0.0,0.0,960.0,0
2016-09-22,0.0,0.0,0.0,960.0,0
2016-09-23,0.0,0.0,0.0,960.0,0
2016-09-26,1000.0,1000.0,1000.0,1000.0,16
2016-09-27,0.0,0.0,0.0,1000.0,0
2016-09-28,1000.0,1000.0,1000.0,1000.0,6
2016-09-29,992.0,992.0,960.0,960.0,7
2016-09-30,0.0,0.0,0.0,960.0,0
