date,open,high,low,close,volume
2015-02-13,79.66,79.99,79.0,79.87,1095841
2015-02-17,79.9,80.89,79.67,80.76,910621
2015-02-18,80.64,81.2,80.33,81.07,576235
2015-02-19,80.98,82.24,80.68,81.26,850451
2015-02-20,81.25,81.41,79.92,80.98,998603
2015-02-23,81.01,81.19,79.88,80.22,1051856
2015-02-24,80.37,81.1,80.07,80.73,966552
2015-02-25,80.78,82.59,80.53,82.38,1801569
2015-02-26,83.0,83.49,82.23,82.39,1291863
2015-02-27,82.39,83.19,82.21,83.0,852652
2015-03-02,83.52,84.54,82.76,84.5,1186554
2015-03-03,84.1,84.8,83.45,84.77,1344692
2015-03-04,84.28,84.99,84.0,84.6,1835416
2015-03-05,84.74,85.36,84.45,84.97,1161341
2015-03-06,84.52,85.8,84.34,84.75,1669683
2015-03-09,85.07,85.07,84.12,84.35,1791859
2015-03-10,83.63,83.78,82.41,82.43,1082347
2015-03-11,82.58,83.43,82.27,83.24,887079
2015-03-12,83.73,85.3,83.63,85.1,1141615
2015-03-13,84.92,84.95,83.85,84.61,914134
2015-03-16,84.62,85.36,84.62,85.11,716796
2015-03-17,84.56,85.6,84.52,85.1,727460
2015-03-18,84.62,86.25,84.0,85.77,761649
2015-03-19,85.57,85.88,83.96,84.2,930054
2015-03-20,84.62,85.25,84.01,84.05,1257873
2015-03-23,84.05,85.24,83.94,84.31,1084806
2015-03-24,84.48,85.51,84.2,85.14,1431783
2015-03-25,85.48,86.02,83.94,83.94,1116946
2015-03-26,83.46,84.32,83.02,84.01,738420
2015-03-27,83.79,84.63,83.79,84.17,565465
2015-03-30,84.58,85.64,84.5,85.39,601411
2015-03-31,85.0,85.47,84.3,84.3,847423
2015-04-01,84.36,84.46,83.46,84.22,1149944
2015-04-02,84.0,85.01,83.66,84.31,870809
2015-04-06,84.06,85.05,84.05,84.47,601642
2015-04-07,84.5,84.82,83.12,83.23,1109527
2015-04-08,82.97,83.23,81.73,83.2,1469863
2015-04-09,82.83,83.61,82.31,82.79,767422
2015-04-10,83.09,83.66,82.54,83.34,786508
2015-04-13,83.0,83.57,82.11,83.03,855403
2015-04-14,84.26,84.37,82.52,83.25,1092560
2015-04-15,83.5,84.74,83.16,83.81,829786
2015-04-16,83.7,83.74,82.36,82.75,1148228
2015-04-17,82.02,82.6,81.29,81.93,1000071
2015-04-20,82.26,82.47,81.53,81.77,651816
2015-04-21,81.89,82.14,81.2,81.37,625657
2015-04-22,81.46,81.66,80.58,80.91,807090
2015-04-23,80.88,82.6,80.66,82.33,1050939
2015-04-24,82.45,83.49,82.12,83.47,1105980
2015-04-27,83.96,84.03,82.92,83.12,689397
2015-04-28,82.78,83.14,81.82,83.09,867640
2015-04-29,82.43,83.38,81.78,83.07,723968
2015-04-30,83.08,86.23,83.08,85.52,1937474
2015-05-01,86.12,88.57,85.69,88.33,1859639
2015-05-04,88.24,89.57,87.97,88.1,1862285
2015-05-05,85.54,87.52,84.72,85.5,1773405
2015-05-06,86.48,88.0,85.16,87.35,997298
2015-05-07,86.95,89.93,86.84,89.5,1422511
2015-05-08,90.0,91.1,89.67,90.47,947107
2015-05-11,90.13,91.79,89.98,91.29,977835
2015-05-12,90.65,91.19,90.15,90.23,1042417
2015-05-13,90.57,91.53,90.12,90.87,1094891
2015-05-14,91.57,92.85,90.78,92.72,1105949
2015-05-15,92.82,93.07,91.44,91.99,860862
2015-05-18,91.55,92.54,91.55,92.18,897863
2015-05-19,92.2,92.74,91.89,92.34,849649
2015-05-20,92.39,92.39,91.6,91.94,515079
2015-05-21,91.86,92.24,91.34,91.85,545969
2015-05-22,92.1,92.71,91.53,91.58,583363
2015-05-26,91.11,91.59,89.92,90.28,1147702
2015-05-27,90.64,91.19,90.11,90.97,1059771
2015-05-28,90.48,90.78,89.79,90.5,513894
2015-05-29,90.6,91.02,89.46,89.93,1290703
2015-06-01,90.0,90.13,89.14,89.57,940771
2015-06-02,89.34,90.73,89.34,90.2,688392
2015-06-03,90.62,90.75,88.64,89.14,1236494
2015-06-04,88.39,88.98,87.64,88.62,1242082
2015-06-05,88.34,89.94,88.13,89.12,657067
2015-06-08,88.94,89.45,88.5,88.55,755115
2015-06-09,88.66,89.09,87.96,88.08,866661
2015-06-10,88.76,90.0,88.32,89.62,897131
2015-06-11,89.8,90.25,89.22,89.46,563082
2015-06-12,89.11,89.44,88.44,88.89,642762
2015-06-15,88.35,88.41,87.53,87.78,726192
2015-06-16,87.52,87.95,86.89,87.79,931611
2015-06-17,87.95,88.14,86.64,87.47,616946
2015-06-18,87.86,89.02,87.52,88.88,647917
2015-06-19,88.79,89.67,88.79,89.29,870313
2015-06-22,89.75,90.15,89.17,89.84,431738
2015-06-23,89.67,90.19,88.9,89.17,380116
2015-06-24,89.24,89.33,87.21,87.74,600354
2015-06-25,88.03,88.03,86.38,86.58,624918
2015-06-26,86.89,87.37,86.13,86.48,814524
2015-06-29,85.78,86.43,84.12,84.15,644972
2015-06-30,84.84,85.0,83.91,83.93,714045
2015-07-01,84.74,85.72,84.31,85.32,924216
2015-07-02,85.77,85.97,84.76,85.37,528542
2015-07-06,84.44,86.39,84.1,85.85,710466
2015-07-07,85.79,86.47,84.15,86.45,1156092
2015-07-08,85.88,87.66,85.11,85.39,883415
2015-07-09,86.48,87.01,85.78,85.92,891647
2015-07-10,87.09,90.62,86.99,90.36,1149328
2015-07-13,90.63,91.0,90.05,90.43,732612
2015-07-14,90.18,90.53,89.83,89.99,749988
2015-07-15,89.9,89.97,88.51,89.03,623993
2015-07-16,89.46,91.02,88.96,90.7,1117837
2015-07-17,90.6,91.75,90.48,91.67,651846
2015-07-20,91.78,94.12,91.13,94.03,1223222
2015-07-21,93.87,94.07,92.74,93.5,764484
2015-07-22,93.35,95.23,92.88,93.89,1065503
2015-07-23,94.12,94.22,91.51,91.89,1004444
2015-07-24,91.84,91.99,88.98,89.79,1104962
2015-07-27,89.4,89.93,87.95,88.24,1122810
2015-07-28,88.62,89.63,87.68,89.15,891824
2015-07-29,89.04,91.48,89.04,91.12,844608
2015-07-30,90.74,91.55,90.19,91.5,624459
2015-07-31,91.31,92.16,90.83,91.02,661630
2015-08-03,91.07,91.07,89.5,89.66,1208646
2015-08-04,90.19,97.24,90.19,96.05,2840736
2015-08-05,96.98,98.0,96.01,97.43,1482548
2015-08-06,97.75,97.75,94.47,95.3,1276826
2015-08-07,94.81,95.45,93.69,94.51,893687
2015-08-10,95.57,96.8,95.22,95.98,1180628
2015-08-11,95.5,96.79,94.81,96.23,1262188
2015-08-12,95.75,97.34,95.15,97.26,1157268
2015-08-13,97.57,97.75,96.19,96.89,517331
2015-08-14,96.88,98.2,96.76,97.77,658284
2015-08-17,98.62,99.04,97.27,98.81,857442
2015-08-18,98.79,99.41,98.35,99.05,713018
2015-08-19,98.39,98.86,96.24,96.8,698885
2015-08-20,95.9,96.38,93.17,93.39,1268205
2015-08-21,92.5,93.05,90.8,91.66,1316682
2015-08-24,87.06,91.92,86.59,88.34,2603624
2015-08-25,91.25,91.25,85.93,86.01,1686483
2015-08-26,88.0,88.12,85.11,87.43,1773736
2015-08-27,88.44,92.08,88.13,91.61,2617448
2015-08-28,91.18,92.59,90.55,92.42,1412678
2015-08-31,92.0,95.33,91.65,93.62,1464957
2015-09-01,91.2,93.0,91.0,91.92,1516557
2015-09-02,92.79,95.61,92.12,95.6,1350090
2015-09-03,96.52,99.2,95.26,97.43,2390556
2015-09-04,96.22,96.51,94.03,95.31,1319681
2015-09-08,96.8,98.57,96.09,98.51,863300
2015-09-09,99.41,101.0,98.47,98.64,1376465
2015-09-10,98.67,99.72,97.89,98.25,1276192
2015-09-11,97.88,99.18,97.57,99.13,700874
2015-09-14,99.14,99.94,98.37,99.84,1124224
2015-09-15,100.36,100.49,99.66,100.09,1096873
2015-09-16,100.02,101.72,99.86,101.28,900923
2015-09-17,101.28,102.65,100.5,101.2,822484
2015-09-18,100.18,101.17,98.37,98.95,1910400
2015-09-21,99.72,100.46,99.11,99.83,819384
2015-09-22,98.19,98.75,96.3,97.26,1157672
2015-09-23,97.49,97.49,92.0,93.71,2306830
2015-09-24,92.5,92.96,89.32,92.33,2265440
2015-09-25,93.2,93.81,91.01,92.02,1359909
2015-09-28,91.58,91.6,85.86,86.66,2178023
2015-09-29,87.04,88.81,84.37,85.15,2072230
2015-09-30,86.31,89.33,86.31,89.2,1730378
2015-10-01,89.57,93.16,89.37,92.93,1977670
2015-10-02,91.48,95.61,90.97,95.61,1724102
2015-10-05,96.66,97.99,94.29,95.42,1608019
2015-10-06,95.25,95.7,91.49,92.96,1560397
2015-10-07,93.74,95.07,93.23,94.45,1491419
2015-10-08,93.96,96.05,93.22,95.49,1000002
2015-10-09,95.66,96.0,94.67,94.9,1050223
2015-10-12,94.92,95.56,94.17,94.2,781348
2015-10-13,93.57,94.48,90.9,91.01,1225238
2015-10-14,90.96,91.52,88.88,89.89,2230798
2015-10-15,90.79,92.25,89.7,91.49,1973491
2015-10-16,91.97,92.37,90.84,91.42,852451
2015-10-19,91.09,92.1,88.69,89.42,1176482
2015-10-20,89.23,90.21,88.73,89.18,990182
2015-10-21,90.06,90.28,87.4,88.1,1180605
2015-10-22,88.63,93.55,87.84,93.31,1859094
2015-10-23,93.91,95.02,93.3,94.5,1304693
2015-10-26,94.22,94.74,91.46,92.0,1314154
2015-10-27,91.0,91.72,89.85,91.6,956146
2015-10-28,92.14,95.58,91.56,94.76,842645
2015-10-29,94.22,95.02,93.68,94.84,649752
2015-10-30,94.86,97.59,94.85,96.58,1382063
2015-11-02,96.58,97.58,95.22,96.68,1564000
