date,open,high,low,close,volume
2015-03-02,29.29,29.3,28.75,29.12,1398381
2015-03-03,28.94,29.23,28.63,28.74,1303107
2015-03-04,28.5,28.5,27.91,28.2,1546710
2015-03-05,28.08,28.18,27.72,28.11,1153460
2015-03-06,27.7,27.95,27.07,27.18,2880291
2015-03-09,27.48,27.48,26.77,26.84,1750282
2015-03-10,26.42,26.69,25.93,26.01,2692111
2015-03-11,26.08,26.37,25.72,26.34,2049256
2015-03-12,26.49,26.7,26.26,26.38,1264633
2015-03-13,26.23,26.24,25.54,25.92,2923526
2015-03-16,26.02,26.02,25.41,25.83,1175349
2015-03-17,25.57,25.82,25.51,25.72,2443466
2015-03-18,25.5,26.95,25.5,26.88,3773274
2015-03-19,26.53,26.56,26.1,26.28,2008711
2015-03-20,26.41,26.73,26.25,26.64,1955760
2015-03-23,26.6,27.25,26.59,27.12,2434738
2015-03-24,27.04,27.2,26.85,27.2,1373721
2015-03-25,27.23,27.5,26.84,26.88,1723860
2015-03-26,27.09,27.31,26.43,26.49,2717254
2015-03-27,26.32,26.34,25.99,26.17,3126034
2015-03-30,26.07,26.85,26.07,26.69,2275091
2015-03-31,26.45,27.19,25.77,27.19,1941255
2015-04-01,26.14,26.33,26.04,26.25,2432326
2015-04-02,26.12,26.65,26.03,26.49,1530417
2015-04-06,26.77,26.94,26.62,26.84,991991
2015-04-07,26.8,27.09,26.74,26.89,1255926
2015-04-08,27.1,27.24,26.57,26.64,1383286
2015-04-09,26.46,26.79,26.33,26.78,1737367
2015-04-10,26.69,26.94,26.69,26.8,1140763
2015-04-13,26.65,26.71,26.39,26.57,1552811
2015-04-14,26.78,27.14,26.57,27.02,2539369
2015-04-15,27.15,28.11,27.15,27.96,2369863
2015-04-16,28.17,28.17,27.51,27.54,2012316
2015-04-17,27.33,27.46,27.03,27.24,1132438
2015-04-20,27.27,27.72,27.17,27.34,1536079
2015-04-21,27.37,27.58,26.99,27.16,1668118
2015-04-22,27.26,27.26,26.8,27.03,1248832
2015-04-23,27.02,27.71,26.95,27.61,2384409
2015-04-24,27.99,28.18,27.67,27.72,2110710
2015-04-27,28.14,28.44,27.92,27.92,3332791
2015-04-28,28.03,28.63,28.0,28.51,2415403
2015-04-29,28.22,28.34,28.01,28.14,1683017
2015-04-30,28.06,28.45,27.77,28.27,2163550
2015-05-01,28.3,28.77,28.21,28.52,2216057
2015-05-04,28.71,29.0,28.62,28.74,3207938
2015-05-05,29.0,29.17,28.62,28.72,1858825
2015-05-06,28.9,29.05,28.36,28.53,2477877
2015-05-07,28.46,28.56,27.97,28.41,2407506
2015-05-08,28.69,28.86,28.46,28.64,1447777
2015-05-11,28.8,29.12,28.65,28.9,2068672
2015-05-12,29.0,29.09,28.67,28.84,1367073
2015-05-13,29.06,29.26,28.9,28.99,1434410
2015-05-14,29.29,29.57,29.06,29.13,1854461
2015-05-15,29.33,29.33,28.81,29.04,1208944
2015-05-18,29.1,29.1,28.63,28.73,2430009
2015-05-19,28.49,28.57,27.82,27.9,3206587
2015-05-20,28.06,28.16,27.64,27.99,1267568
2015-05-21,27.99,28.09,27.73,27.84,1097891
2015-05-22,27.73,28.02,27.54,27.88,1787482
2015-05-26,27.75,27.76,27.05,27.17,2305446
2015-05-27,27.2,27.38,26.96,27.35,1585354
2015-05-28,27.37,27.37,26.96,27.33,903958
2015-05-29,27.34,27.34,27.0,27.15,1396319
2015-06-01,27.11,27.17,26.73,26.92,1646804
2015-06-02,26.96,27.86,26.93,27.72,2264338
2015-06-03,27.77,28.24,27.59,27.67,1220947
2015-06-04,27.79,27.79,27.3,27.44,1039784
2015-06-05,27.25,27.35,27.0,27.22,1447856
2015-06-08,27.1,27.29,26.77,26.88,1067408
2015-06-09,27.01,27.2,26.72,26.73,1092700
2015-06-10,27.11,27.24,26.93,26.97,976285
2015-06-11,26.97,27.0,26.68,26.75,1305750
2015-06-12,26.77,26.77,26.36,26.56,1230457
2015-06-15,26.32,26.42,26.04,26.21,1376050
2015-06-16,26.33,26.33,25.99,26.17,1185590
2015-06-17,26.21,26.3,25.8,26.27,1355664
2015-06-18,26.3,26.52,26.1,26.45,1083557
2015-06-19,26.42,26.42,26.01,26.01,1273903
2015-06-22,26.05,26.07,25.71,25.73,1941588
2015-06-23,25.77,26.16,25.69,26.12,1278830
2015-06-24,26.06,26.22,25.8,25.88,732015
2015-06-25,25.9,25.95,25.44,25.5,1436322
2015-06-26,25.35,25.57,25.29,25.5,1634593
2015-06-29,25.16,25.45,25.05,25.07,2540929
2015-06-30,25.16,25.25,24.24,24.33,5361052
2015-07-01,24.32,24.4,23.81,23.97,1410682
2015-07-02,23.98,24.07,23.57,23.87,1764338
2015-07-06,23.54,23.81,23.32,23.47,1925712
2015-07-07,23.26,23.3,22.37,23.19,2552674
2015-07-08,23.15,23.15,22.37,22.44,3199660
2015-07-09,22.92,23.03,22.52,22.54,1835741
2015-07-10,22.88,22.99,22.51,22.54,1541091
2015-07-13,22.72,23.23,22.39,23.2,5033513
2015-07-14,23.28,23.28,22.82,23.05,1802903
2015-07-15,22.9,22.9,22.09,22.2,3314889
2015-07-16,22.22,22.35,21.98,22.03,1160626
2015-07-17,21.87,21.97,21.48,21.52,2291898
2015-07-20,21.28,21.37,20.6,20.62,2626689
2015-07-21,20.69,21.24,20.65,20.83,3333622
2015-07-22,20.57,20.85,20.26,20.66,1784266
2015-07-23,20.8,20.9,20.28,20.4,2122632
